ID	所属城市ID	怪物ID列表	所属GroupID列表	指示存活Group变量	是否追踪group中心	解锁父任务	解锁世界任务列表	关联活动ID	奖励展示ID	地图标记创建类型	[地图标记创建条件]条件类型	[地图标记创建条件]条件参数	所属分类
1	1	23030101,23040101	133001229,133003412,133004217,133102520,133103376,133105009,133105223,133106094,133008640,133108039						15503	1			2
2	1	22010101,22010201,22010301	133004369,133103031,133103326,133103327,133103331,133104441,133105113,133001430,133106234,133106084,133103342,133103424,133108027,133104260						15501	1			2
3	1	24010101,24010301	133003317,133004131,133007059,133104031,133105049,133106088,133220065,133220492,133103347,133007041	boss_exist					15504	1			2
4	1	21020101,21020201,21020301,21020601,21020601	133007239,133102337,133102619,133102729,133102734,133103328,133003097,133004018,133007201,133104363,133008209						15500	1			2
5	1	23010101,23010201,23010301,23010401,23010501,23010601	133001233,133001406,133002421,133102676,133106124,133106249,133107116						16007	1			1
6	1	20040101	133001313						15100	2	1	20	3
7	1	20040201	133003482						15110	2	1	20	3
8	1	26020101	133003543						15130	2	1	20	3
9	1	29020102	133002259	boss_exist		454			15010	0			3
10	1	23020101	133104268,133105259,133106110,133106135,133106143,133106147,133008551,133108001						15502	1			2
11	1	24010201	133103325,133105219,133106087,133106148,133106502,133220437						15504	1			2
12	1	26010101,26010201	133002398,133102643,133104322,133104338,133105222,133107062,133104647,133001176						16008	1			1
13	1	20040301	133108020						15120	2	1	20	3
14	1	20050101	133102769	boss_exist					15150	2	1	20	3
15	1	26020201	133104394						15140	2	1	20	3
16	1	26030101	133102504,133102056,133106215,133103542,133103541,133106305,133106306						15505	1			2
17	1	21010401,21010501,21010901,21011001	133001021,133001359,133001369,133103083,133103025,133004289,133004299,133004308,133007020,133007022						16005	1			1
18	1	21010101,21010201,21010301,21010601,21010701,21011201,21011301,21011401	133001097,133001254,133002346,133102540,133102074,133105153,133105131,133105145,133106108,133108043,133107054,133002426,133008236,133105327						16004	1			1
19	1	21030101,21030201,21030301,21030401,21030501	133002342,133004289,133007021,133007022,133007134,133007144,133007145,133007164,133007197,133007198,133007238,133008435						16006	1			1
20	1	20010101,20010201,20010301,20010401,20010501,20010601,20010701,20010801,20010901,20011001,20011101,20011201,20011301,20011401,20011501	133001358,133002323,133103344,133106643,133004195,133004246,133003308,133102502,133102669,133105266,133103382,133003326,133102670,133103421,133106216,133106242,133102741						16000	1			1
21	1	25010201,25010301,25010401,25010501,25010601,25010701,25020201,25030201,25030301,25060101,25070101	133102652,133102672,133102721,133103349,133103383,133103384,133106223,133104552,133106044						16003	1			1
22	1	21020501,21020401	133104304						15506	1			2
23	1	26050101,26050201,26050301,26050401	133103640	boss_exist					15160	2	1	20	3
24	1	26040101,26040102,26040103,26040104	133101249,133101250,133103645,133103646,133103647,133103648,133103649,133104150						15509	1			2
25	1	20040501	133008657	boss_exist		396	70141		15170	0			3
26	1	25090101	133212378						15171	2	1	30	3
27	1	20040601	133213187						15173	2	1	30	3
28	1	24021101	133220037						15172	2	1	30	3
29	1	25080101,25080201,25080301,25100101,25100201	133220657,133212313,133212522,133217214,133217218,133220593,133210008,133210132,133220514,133220361						16009	1			1
30	1	23050101	133220497,133220549,133220281,133212388,133210036,133210062,133210117,133210315						15511	1			2
31	1	24020101,24020201,24020301,24020401	133220660,133212269,133210169,133210256,133210258,133210259						15510	1			2
32	1	20040401	133210237						15174	2	1	30	3
33	1	20070101	133222181			18000	2011,2012,2013,72155,72156,72157,72158		15175	0	1	30	3
34	1	20060101,20060201,20060301,20060701	133210023,133210064,133210090,133210091,133210178,133210255,133217207,133222127,133222129						16011	1			1
35	1	22050101,22050201,22040101,22040201	133225105,133223055,133223488,133225230,133225214,133225213,133225178,133225210						15513	1			2
36	1	22060101	133225275	boss_exist					15176	2	1	30	3
37	1	26050701	155005095	boss_exist	1	18000	72145,72146,72147,72148,72149,72233,72242,72177		15177	2	1	30	3
38	1	26050601,26050901,26051001,26051101	155005321,155007108,155007107,155007094						15509	1			2
39	1	24010401	166001287			1025	71044		15178	2	1	28	3
40	1	22070101,22070102,22070201,22070202,22070301,22070302	166001112,166001114,166001115,166001116,166001118,166001119						15515	1			2
41	1	26020301	133315043						15180	2	1	20	3
42	1	26110101	133301272						15179	2	1	20	3
43	1	24030101,24030201	133302494,133315160,133304240,133304241,133304014,133304242,133303528,133301003,133301328,133301493						15518	1			2
44	1	25210101,25210102,25210103,25210201,25210202,25210203,25210301,25210302,25210303,25210401,25210402,25210403,25210501,25210502,25210503,25310101,25310201,25310301	133302054,133302182,133304295,133303108,133303109,133303146,133301478,133301014,133301385,133301413						16014	1			1
45	1	26090201,26090401,26090501,26090701,26090801,26090901,26120101,26120201,26120301	133302462,133315055,133302485,133315118,133303208,133303398,133303096,133304024,133304362,133304443,133301538,133301552						15516	1			1
46	1	24030301	133304253						15181	2	1	20	3
47	1	24050101	133309053						15182	2	1	20	3
48	1	24040101,24040201,24040301	133309050,133309440,133310047,133309424,133309420,133309315,133309591,133307085,133310297,133310329						15519	1			2
49	1	20040701	133305051						15183	2	1	20	3
