ID	刷怪资源包列表
1	32008, 32009, 32010, 32001, 32002, 32003, 32004, 32005, 32006
2	32001, 32002, 32003, 32004, 32005, 32006
3	
4	32021, 32022, 32024, 32025, 32027
5	32021, 32022, 32023, 32025, 32026, 32028
6	
7	32041, 32042, 32043, 32044
8	32046, 32047
9	
10	32061, 32062, 32066
11	32064, 32066, 32067
12	32065
13	
14	32088, 32089, 32090, 32081, 32082, 32083, 32084, 32085, 32086
15	32081, 32082, 32083, 32084, 32085, 32086
16	
17	32101, 32102, 32104, 32105, 32107
18	32101, 32102, 32103, 32105, 32106, 32108
19	
20	32121,32122,32123,32124,32131
21	32128,32130,32127
22	
23	32141,32142,32148,32150
24	32144,32147,32150
25	32145,32149
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	
63	
64	
65	
66	
67	
68	
69	
70	
