道具类型,道具索引,产出来源,产出上限,超出1倍上限是否不报警,超出2倍上限是否禁止产出,是否允许未配置的途径产出
1,201,14,10000,,,
1,201,16,10000,,,
1,201,19,20000,,,
1,201,15,5000,,,
1,201,28,100,,,
1,201,29,100,,,
1,201,3,20000,,,
1,201,8,2000,,,
1,201,7,2000,,,
1,201,4,3000,,,
1,201,5,2000,,,
1,201,6,1000,,,
1,201,74,10000,,,
1,201,44,1500,,,
1,201,71,3000,,,
1,201,9,1000,,,
1,201,10,5000,,,
1,201,45,2000,,,
1,201,46,1000,,,
1,201,65,3000,,,
1,201,61,999999999,,,
1,201,41,999999999,,,
1,201,1513,30000,,,
1,201,48,999999999,,,
1,201,72,100,,,
1,201,68,10000,,,
1,201,1403,3000,,,
1,201,92,700,,,
1,201,12,5000,,,
1,201,84,1000,,,
1,201,86,1000,,,
1,201,1407,1000,,,
1,201,1503,1000,,,
1,201,1601,1000,,,
1,201,2003,1000,,,
1,201,2101,1000,,,
1,201,2104,1000,,,
1,201,2200,1000,,,
1,201,2301,1000,,,
1,201,2402,1000,,,
1,201,2500,1000,,,
1,201,2501,1000,,,
1,201,2603,1000,,,
1,201,2701,1000,,,
1,201,2801,1000,,,
1,201,62,200,,,
1,201,63,1000,,,
1,201,94,1000,,,
1,201,60,1000,,,
1,201,76,1000,,,
1,201,83,1000,,,
1,201,91,1000,,,
1,201,95,1000,,,
1,201,99,1000,,,
1,201,1402,1000,,,
1,201,1404,1000,,,
1,201,97,1000,,,
1,201,1502,1000,,,
1,201,1504,1000,,,
1,201,1505,1000,,,
1,201,1602,1000,,,
1,201,1606,1000,,,
1,201,1507,600,,,
1,201,1605,3000,,,
1,201,1607,1000,,,
1,201,2005,1000,,,
1,201,2100,1000,,,
1,201,2103,1000,,,
1,201,2202,1000,,,
1,201,2203,1000,,,
1,201,2205,1000,,,
1,201,2304,1000,,,
1,201,2400,1000,,,
1,201,2401,1000,,,
1,201,2503,1000,,,
1,201,2502,1000,,,
1,201,2601,1000,,,
1,201,2605,1000,,,
1,201,2602,1000,,,
1,201,2700,1000,,,
1,201,2703,1000,,,
1,201,2804,1000,,,
1,201,2803,1000,,,
1,201,3000,1000,,,
1,201,3003,1000,,,
1,201,3004,1000,,,
1,201,3005,1000,,,
1,201,3102,1000,,,
1,201,3100,1000,,,
1,201,3101,1000,,,
1,201,3201,1000,,,
1,201,3203,1000,,,
1,201,3204,1000,,,
1,203,64,999999999,,,
1,203,65,3000,,,
1,204,1512,10000,,1,
1,204,7,100,,1,
1,204,41,5000,,,
4,4,47,10000,,,
4,4,3,20,,,
4,4,14,5,,,
4,4,8,5,,,
4,4,86,1,,,
4,4,2101,1,,,
4,4,2301,1,,,
4,4,2500,1,,,
4,4,2701,1,,,
4,4,3102,1,,,
4,4,41,10,,,
4,4,54,10,,,
4,4,52,100,,,
4,4,48,16,,,
4,4,92,1,,,
4,5,47,1000,,,
3,5,14,100,,,
3,5,7,10,,,
3,5,8,10,,,
3,5,53,10000,,,
3,5,34,10000,,,
3,5,35,10000,,,
3,5,33,10000,,,
3,5,27,10000,,,
3,5,1603,10000,,,
3,5,74,100,,,
2,101101,48,1,,,
2,101101,3,1,,,
2,101101,35,6,,,
2,101101,2002,1,,,
2,101101,54,5,,,
2,101101,51,100,,,
2,101102,48,1,,,
2,101102,35,6,,,
2,101102,2002,1,,,
2,101102,54,5,,,
2,101102,51,100,,,
2,101103,48,1,,,
2,101103,14,1,,,
2,101103,35,6,,,
2,101103,2002,1,,,
2,101103,54,5,,,
2,101103,51,100,,,
2,101104,48,1,,,
2,101104,7,1,,,
2,101104,35,6,,,
2,101104,2002,1,,,
2,101104,54,5,,,
2,101104,51,100,,,
2,101105,48,1,,,
2,101105,71,1,,,
2,101105,89,1,,,
2,101105,35,6,,,
2,101105,2002,1,,,
2,101105,54,5,,,
2,101105,51,100,,,
2,101111,35,4,,,
2,101111,2002,2,,,
2,101111,54,5,,,
2,101111,51,100,,,
2,101112,35,4,,,
2,101112,2002,2,,,
2,101112,54,5,,,
2,101112,51,100,,,
2,101113,35,4,,,
2,101113,2002,2,,,
2,101113,54,5,,,
2,101113,51,100,,,
2,101114,35,4,,,
2,101114,2002,2,,,
2,101114,54,5,,,
2,101114,51,100,,,
2,101115,35,4,,,
2,101115,2002,2,,,
2,101115,54,5,,,
2,101115,51,100,,,
2,1006,3,1,,,
2,1015,3,1,,,
2,1021,42,1,,,
2,1106,3,1,,,
2,1115,3,1,,,
2,1121,42,1,,,
2,1023,43,1,,,
2,1123,43,1,,,
2,1014,43,1,,,
2,1114,43,1,,,
2,1067,43,1,,,
2,1167,43,1,,,
2,1014,41,1,,,
2,1114,41,1,,,
2,1031,84,1,,,
2,1131,84,1,,,
2,1023,101,1,,,
2,1123,101,1,,,
2,1024,101,1,,,
2,1124,101,1,,,
2,1025,101,1,,,
2,1125,101,1,,,
2,1027,101,1,,,
2,1127,101,1,,,
2,1036,101,1,,,
2,1136,101,1,,,
2,1044,101,1,,,
2,1144,101,1,,,
2,1039,1511,1,,,
2,1139,1511,1,,,
2,1024,2004,1,,,
2,1124,2004,1,,,
2,1044,2201,1,,,
2,1144,2201,1,,,
2,1023,2403,1,,,
2,1123,2403,1,,,
2,1024,2403,1,,,
2,1124,2403,1,,,
2,1025,2403,1,,,
2,1125,2403,1,,,
2,1027,2403,1,,,
2,1127,2403,1,,,
2,1036,2403,1,,,
2,1136,2403,1,,,
2,1044,2403,1,,,
2,1144,2403,1,,,
2,1064,2403,1,,,
2,1164,2403,1,,,
2,1048,2403,1,,,
2,1148,2403,1,,,
2,1025,2604,1,,,
2,1125,2604,1,,,
2,1031,2802,1,,,
2,1131,2802,1,,,
2,1067,3001,1,,,
2,1167,3001,1,,,
2,1068,3202,1,,,
2,1168,3202,1,,,
2,1002,47,10000,,,
2,1003,47,10000,,,
2,1006,47,10000,,,
2,1014,47,10000,,,
2,1015,47,10000,,,
2,1016,47,10000,,,
2,1020,47,10000,,,
2,1021,47,10000,,,
2,1022,47,10000,,,
2,1023,47,10000,,,
2,1024,47,10000,,,
2,1025,47,10000,,,
2,1026,47,10000,,,
2,1027,47,10000,,,
2,1029,47,10000,,,
2,1030,47,10000,,,
2,1031,47,10000,,,
2,1032,47,10000,,,
2,1033,47,10000,,,
2,1034,47,10000,,,
2,1035,47,10000,,,
2,1036,47,10000,,,
2,1037,47,10000,,,
2,1038,47,10000,,,
2,1039,47,10000,,,
2,1041,47,10000,,,
2,1042,47,10000,,,
2,1043,47,10000,,,
2,1044,47,10000,,,
2,1045,47,10000,,,
2,1046,47,10000,,,
2,1047,47,10000,,,
2,1048,47,10000,,,
2,1049,47,10000,,,
2,1050,47,10000,,,
2,1051,47,10000,,,
2,1052,47,10000,,,
2,1053,47,10000,,,
2,1054,47,10000,,,
2,1055,47,10000,,,
2,1056,47,10000,,,
2,1057,47,10000,,,
2,1063,47,10000,,,
2,1064,47,10000,,,
2,1058,47,10000,,,
2,1066,47,10000,,,
2,1060,47,10000,,,
2,1065,47,10000,,,
2,1059,47,10000,,,
2,1067,47,10000,,,
2,1068,47,10000,,,
2,1069,47,10000,,,
2,1070,47,10000,,,
2,1071,47,10000,,,
2,1072,47,10000,,,
2,1073,47,10000,,,
2,1074,47,10000,,,
2,1102,47,10000,,,
2,1103,47,10000,,,
2,1106,47,10000,,,
2,1114,47,10000,,,
2,1115,47,10000,,,
2,1116,47,10000,,,
2,1120,47,10000,,,
2,1121,47,10000,,,
2,1122,47,10000,,,
2,1123,47,10000,,,
2,1124,47,10000,,,
2,1125,47,10000,,,
2,1126,47,10000,,,
2,1127,47,10000,,,
2,1129,47,10000,,,
2,1130,47,10000,,,
2,1131,47,10000,,,
2,1132,47,10000,,,
2,1133,47,10000,,,
2,1134,47,10000,,,
2,1135,47,10000,,,
2,1136,47,10000,,,
2,1137,47,10000,,,
2,1138,47,10000,,,
2,1139,47,10000,,,
2,1141,47,10000,,,
2,1142,47,10000,,,
2,1143,47,10000,,,
2,1144,47,10000,,,
2,1145,47,10000,,,
2,1146,47,10000,,,
2,1147,47,10000,,,
2,1148,47,10000,,,
2,1149,47,10000,,,
2,1150,47,10000,,,
2,1151,47,10000,,,
2,1152,47,10000,,,
2,1153,47,10000,,,
2,1154,47,10000,,,
2,1155,47,10000,,,
2,1156,47,10000,,,
2,1157,47,10000,,,
2,1163,47,10000,,,
2,1164,47,10000,,,
2,1158,47,10000,,,
2,1166,47,10000,,,
2,1160,47,10000,,,
2,1165,47,10000,,,
2,1159,47,10000,,,
2,1167,47,10000,,,
2,1168,47,10000,,,
2,1169,47,10000,,,
2,1170,47,10000,,,
2,1171,47,10000,,,
2,1172,47,10000,,,
2,1173,47,10000,,,
2,1174,47,10000,,,
2,101301,3002,50,,,1
2,101302,3002,50,,,1
2,101303,3002,50,,,1
2,101304,3002,50,,,1
2,101305,3002,50,,,1
2,101307,3002,50,,,1
2,101308,3002,50,,,1
2,101309,3002,50,,,1
2,101310,3002,50,,,1
2,101311,3002,50,,,1
2,101312,3002,50,,,1
2,101313,3002,50,,,1
2,101314,3002,50,,,1
2,101315,3002,50,,,1
2,101316,3002,50,,,1
2,101317,3002,50,,,1
