ID	道具ID	交付完台词	错误交付吐槽	交付完对话
690020101	101720,101737,101744,101746,101750			6900213
690020102	101715,101719,101738,101739,101740,101742,101743,101745,101749,101751,101752,101753			6900214
690020103	101741,101747,101748			6900215
690031701	101742,101746,101747			6900318
690031702	101715,101719,101720,101737,101738,101739,101741,101743,101744,101745,101748,101749,101750,101751,101752,101753			6900319
690031703	101740			6900320
690061501	101715,101737,101745			6900616
690061502	101719,101720,101738,101739,101740,101741,101742,101743,101744,101746,101750,101752,101753			6900617
690061503	101747,101748,101749,101751			6900618
690141501	101719,101739,101740,101741			6901416
690141502	101715,101720,101737,101738,101742,101743,101744,101746,101747,101748,101749,101750,101751,101752,101753			6901417
690141503	101745			6901418
690151501	101719,101741,101742			6901516
690151502	101715,101720,101738,101739,101740,101744,101745,101746,101747,101748,101749,101751,101753			6901517
690151503	101737,101743,101750,101752			6901518
690161501	101720,101744,101753			6901616
690161502	101715,101737,101738,101739,101740,101743,101745,101746,101747,101748,101749,101750,101751,101752			6901617
690161503	101719,101741,101742			6901618
690201501	101741,101742,101746,101748			6902016
690201502	101720,101737,101738,101740,101743,101744,101747,101749			6902017
690201503	101715,101719,101739,101745,101750,101751,101752,101753			6902018
690211001	101741,101748			6902111
690211002	101715,101720,101737,101738,101739,101740,101742,101743,101744,101745,101746,101747,101749,101750,101751,101752,101753			6902112
690211003	101719			6902113
690221001	101742,101751,101752,101753			6902211
690221002	101715,101719,101720,101737,101738,101739,101740,101741,101744,101745,101746,101748			6902212
690221003	101743,101747,101749,101750			6902213
690231001	101719,101720,101739,101740,101741			6902311
690231002	101715,101737,101738,101742,101743,101744,101745,101746,101747,101748,101750,101751,101752,101753			6902312
690231003	101749			6902313
690241001	101739,101740,101741,101748			6902411
690241002	101715,101737,101738,101742,101744,101747,101749,101750,101751,101753			6902412
690241003	101719,101720,101743,101745,101746,101752			6902413
690251001	101720,101737,101738,101743,101752,101753			6902511
690251002	101715,101719,101739,101740,101741,101742,101744,101745,101746,101747,101749,101751			6902512
690251003	101748,101750			6902513
690261001	101742,101752			6902611
690261002	101715,101719,101720,101737,101738,101739,101740,101743,101745,101746,101747,101749,101750,101751,101753			6902612
690261003	101741,101744,101748			6902613
690271001	101720,101737,101738,101743,101746,101748,101752			6902711
690271002	101715,101719,101739,101740,101741,101742,101745,101747,101749,101750,101751,101753			6902712
690271003	101744			6902713
690291001	101740,101742,101749			6902911
690291002	101715,101719,101720,101737,101738,101739,101741,101743,101745,101746,101747,101748,101750,101751,101752,101753			6902912
690291003	101744			6902913
690301001	101720,101746,101751			6903011
690301002	101715,101719,101739,101740,101741,101743,101745,101747,101748,101749,101750,101752,101753			6903012
690301003	101737,101738,101742,101744			6903013
690311001	101738,101750,101752			6903111
690311002	101715,101719,101737,101739,101740,101741,101742,101743,101744,101745,101746,101747,101748,101749,101751,101753			6903112
690311003	101720			6903113
690321001	101737,101744,101746,101747,101748			6903211
690321002	101715,101720,101738,101742,101743,101745,101749,101750,101751,101752,101753			6903212
690321003	101719,101739,101740,101741			6903213
690331001	101740,101741,101746			6903311
690331002	101719,101720,101737,101738,101739,101742,101743,101744,101745,101747,101748,101749,101750,101752,101753			6903312
690331003	101715,101751			6903313
690341001	101715,101737,101739,101745,101750,101751,101752			6903411
690341002	101719,101720,101740,101741,101742,101743,101744,101753			6903412
690341003	101738,101746,101747,101748,101749			6903413
690351001	101719,101752			6903511
690351002	101715,101720,101737,101738,101739,101743,101744,101745,101748,101749,101750,101751,101753			6903512
690351003	101740,101741,101742,101746,101747			6903513
690361001	101752			6903611
690361002	101715,101720,101737,101738,101742,101743,101744,101745,101748,101749,101750,101751,101753,101746,101747			6903612
690361003	101719,101739,101740,101741			6903613
690371001	101715,101745,101750,101751			6903711
690371002	101719,101739			6903712
