进度条ID	完美区间	进度条长度	进度条类型	颜色条范围
10011	44,51	100	1	90,450
10012	49,56	100	3	
10013	23,30	100	2	
10021	36,43	100	1	90,450
10022	82,89	100	3	
10023	41,48	100	2	
10031	46,53	100	1	90,450
10032	49,56	100	3	
10033	61,68	100	2	
10034	68,75	100	4	
10041	66,73	100	1	90,450
10042	11,18	100	3	
10043	93,100	100	2	
10044	41,48	100	4	
10051	49,56	100	1	90,450
10052	78,85	100	3	
10053	41,48	100	2	
10054	41,48	100	4	
10055	66,73	100	5	
10061	74,81	100	1	90,450
10062	60,67	100	3	
10063	49,56	100	2	
10064	60,67	100	4	
10065	74,81	100	5	
