ID	LevelTagName	关联SceneID	增加的SceneTag	移除的SceneTag	LevelTag变动冻结环境时间	加载动态group列表
1	2_4_Day	5		120	8	
2	2_4_Night	5	120		20	
3	2_5_Day	7		123	8	
4	2_5_Night	7	123		20	
5	2_8_BuDing_MDLY	9	1021,1026,1082	1020,1023,1025,1022,1024,1077,1078,1079,1080,1081,1083,1084,1085		199004045
6	2_8_BuDing_MDDQ	9	1021,1024,1080	1020,1023,1025,1022,1026,1077,1078,1079,1081,1082,1083,1084,1085		199004041
7	2_8_BuDing_DQLY	9	1023,1026,1084	1020,1021,1025,1022,1024,1077,1078,1079,1080,1081,1082,1083,1085		199004047
8	2_8_BuDing_DQMD	9	1023,1022,1079	1020,1021,1025,1024,1026,1077,1078,1080,1081,1082,1083,1084,1085		199004042
9	2_8_BuDing_LYMD	9	1025,1022,1083	1020,1021,1023,1024,1026,1077,1078,1079,1080,1081,1082,1084,1085		199004044
10	2_8_BuDing_LYDQ	9	1025,1024,1085	1020,1021,1023,1022,1026,1077,1078,1079,1080,1081,1082,1083,1084		199004046
11	2_8_BuDing_MDMD	9	1021,1022,1077	1020,1023,1025,1024,1026,1078,1079,1080,1081,1082,1083,1084,1085		199004038
12	2_8_BuDing_LYLY	9	1025,1026,1081	1020,1021,1023,1022,1024,1077,1078,1079,1080,1082,1083,1084,1085		199004043
13	2_8_BuDing_DQDQ	9	1023,1024,1078	1020,1021,1025,1022,1026,1077,1079,1080,1081,1082,1083,1084,1085		199004039
14	2_8_BuDing_Default	9	1020	1021,1022,1023,1024,1025,1026,1077,1078,1079,1080,1081,1082,1083,1084,1085		199004117
15	2_8_PoPo_Default	9	1014	1015,1016		
16	2_8_PoPo_01	9	1015	1014,1016		199001022
17	2_8_PoPo_02	9	1016	1014,1015		199001026
18	2_8_Shuang_Default	9	1017	1018,1019,1060		
19	2_8_Shuang_01	9	1018	1017,1019,1060		199002183
20	2_8_Shuang_02	9	1019	1017,1018,1060		199002184
21	2_8_WeiWei_01	9	1012	1013		199003035
22	2_8_WeiWei_02	9	1013	1012		199003038
23	2_8_Kazuha_01	20142	1050,1051	1052,1053,1054,1055,1056,1057,1058,1059		
24	2_8_Kazuha_02	20142	1050,1052,1053	1051,1054,1055,1056,1057,1058,1059		
25	2_8_Kazuha_03	20142	1050,1052,1054	1051,1053,1055,1056,1057,1058,1059		
26	2_8_Kazuha_04	20142	1050,1052,1055,1059	1051,1053,1054,1056,1057,1058		
27	2_8_Kazuha_05	20142	1050,1052,1055,1056	1051,1053,1054,1059,1057,1058		
28	2_8_Kazuha_06	20142	1050,1052,1055,1057	1051,1053,1054,1059,1056,1058		
29	2_8_Kazuha_07	20142	1050,1052,1055,1058	1051,1053,1054,1059,1056,1057		
30	2_8_Kazuha03_01	20140	1069	1070,1071,1086		
31	2_8_Kazuha03_02	20140	1069,1070	1071,1086		
32	2_8_Kazuha03_03	20140	1069,1070,1071	1086		
33	2_8_Shuang_03	9	1060	1017,1018,1019		199002185
34	2_8_Kazuha02_01	20135	1072,1073			
35	2_8_Kazuha02_02	20135	1073	1072		
36	2_8_Kazuha02_03	20135	1072	1073		
37	2_8_Kazuha02_04	20135		1072,1073		
38	3.0_Dream	3	1094	1093		133301164
39	3.0_Reality	3	1093	1094		133301163
40	2_8_Kazuha03_05	20140	1069,1070,1071,1086			
41	2_8_Fischel03_02	20139	1047			
42	2_8_Mona_01	20136	1065	1066,1067		
43	2_8_Mona_02	20136	1066	1065,1067		
44	2_8_Mona_03	20136	1067	1065,1066		
45	2_8_Mona_04	20136	1074	1075		
46	2_8_Mona_05	20136	1075	1074		
47	2_8_Fischel03_01	20139	1046	1047		
48	3_1_Cyno_1_01	20157				
49	3_1_Cyno_1_02	20157				
50	3_1_Cyno_2_01	20157				
51	3_1_Cyno_2_02	20157				
52	3_1_Cyno_3_01	20157				
53	3_1_Cyno_3_02	20157				
54	3_1_Cyno_3_03	20157				
55	3.0_CaveForest_Dream	3	1121	1120		133303437
56	3.0_CaveForest_Reality	3	1120	1121		133303438
57	3.0_Mdg_real	3	1110	1111		133301564
58	3.0_Mdg_dream	3	1111	1110		133301563
61	3_1_Cyno_3_04	20157				
62	3_1_LSK_Af	3	1092	1091		
63	3_1_XST_Af	3	1170	1137		
64	3_1_CWL_Af	3	1166	1165		
65	3_1_LSK_Be	3	1091			
66	3_1_XST_Be	3	1137			
67	3_1_CWL_Be	3	1165			
68	3_1_XSM_Be	3	1168			
69	3_1_XSM_Af	3		1168		
100000	2_7_CY_Rogue_1_000	20128				
100001	2_7_CY_Rogue_1_001	20128				
100002	2_7_CY_Rogue_1_002	20128				
100003	2_7_CY_Rogue_1_003	20128				
100010	2_7_CY_Rogue_1_010	20128				
100011	2_7_CY_Rogue_1_011	20128				
100012	2_7_CY_Rogue_1_012	20128				
100013	2_7_CY_Rogue_1_013	20128				
100020	2_7_CY_Rogue_1_020	20128				
100021	2_7_CY_Rogue_1_021	20128				
100022	2_7_CY_Rogue_1_022	20128				
100023	2_7_CY_Rogue_1_023	20128				
100030	2_7_CY_Rogue_1_030	20128				
100031	2_7_CY_Rogue_1_031	20128				
100032	2_7_CY_Rogue_1_032	20128				
100033	2_7_CY_Rogue_1_033	20128				
100100	2_7_CY_Rogue_1_100	20128				
100101	2_7_CY_Rogue_1_101	20128				
100102	2_7_CY_Rogue_1_102	20128				
100103	2_7_CY_Rogue_1_103	20128				
100110	2_7_CY_Rogue_1_110	20128				
100111	2_7_CY_Rogue_1_111	20128				
100112	2_7_CY_Rogue_1_112	20128				
100113	2_7_CY_Rogue_1_113	20128				
100120	2_7_CY_Rogue_1_120	20128				
100121	2_7_CY_Rogue_1_121	20128				
100122	2_7_CY_Rogue_1_122	20128				
100123	2_7_CY_Rogue_1_123	20128				
100130	2_7_CY_Rogue_1_130	20128				
100131	2_7_CY_Rogue_1_131	20128				
100132	2_7_CY_Rogue_1_132	20128				
100133	2_7_CY_Rogue_1_133	20128				
100200	2_7_CY_Rogue_1_200	20128				
100201	2_7_CY_Rogue_1_201	20128				
100202	2_7_CY_Rogue_1_202	20128				
100203	2_7_CY_Rogue_1_203	20128				
100210	2_7_CY_Rogue_1_210	20128				
100211	2_7_CY_Rogue_1_211	20128				
100212	2_7_CY_Rogue_1_212	20128				
100213	2_7_CY_Rogue_1_213	20128				
100220	2_7_CY_Rogue_1_220	20128				
100221	2_7_CY_Rogue_1_221	20128				
100222	2_7_CY_Rogue_1_222	20128				
100223	2_7_CY_Rogue_1_223	20128				
100230	2_7_CY_Rogue_1_230	20128				
100231	2_7_CY_Rogue_1_231	20128				
100232	2_7_CY_Rogue_1_232	20128				
100233	2_7_CY_Rogue_1_233	20128				
100300	2_7_CY_Rogue_1_300	20128				
100301	2_7_CY_Rogue_1_301	20128				
100302	2_7_CY_Rogue_1_302	20128				
100303	2_7_CY_Rogue_1_303	20128				
100310	2_7_CY_Rogue_1_310	20128				
100311	2_7_CY_Rogue_1_311	20128				
100312	2_7_CY_Rogue_1_312	20128				
100313	2_7_CY_Rogue_1_313	20128				
