ID	LevelTagGroup1内容	LevelTagGroup2内容	LevelTagGroup3内容	初始LevelTags	切换CD
1	1,2			1	5
2	3,4			4	5
3	5,6,7,8,9,10,11,12,13,14			14	5
4	15,16,17			15	5
5	18,19,20,33			18	5
6	21,22			21	5
7	23,24,25,26,27,28,29			23	5
8	100000,100001,100002,100003,100010,100011,100012,100013,100020,100021,100022,100023,100030,100031,100032,100033,100100,100101,100102,100103,100110,100111,100112,100113,100120,100121,100122,100123,100130,100131,100132,100133,100200,100201,100202,100203,100210,100211,100212,100213,100220,100221,100222,100223,100230,100231,100232,100233,100300,100301,100302,100303,100310,100311,100312,100313,100320,100321,100322,100323,100330,100331,100332,100333			100000	5
9	200000,200001,200002,200003,200010,200011,200012,200013,200020,200021,200022,200023,200030,200031,200032,200033,200100,200101,200102,200103,200110,200111,200112,200113,200120,200121,200122,200123,200130,200131,200132,200133,200200,200201,200202,200203,200210,200211,200212,200213,200220,200221,200222,200223,200230,200231,200232,200233,200300,200301,200302,200303,200310,200311,200312,200313,200320,200321,200322,200323,200330,200331,200332,200333			200000	5
10	30,31,32,40			30	5
11	34,35,36,37			34	5
12	38,39			38	5
13	204000,204001,204002,204003,204010,204011,204012,204013			204000	3
14	204100,204101,204102,204103,204110,204111,204112,204113			204100	3
15	204200,204201,204202,204203,204210,204211,204212,204213			204200	3
16	204300,204301,204302,204303,204310,204311,204312,204313			204300	3
17	41,47			47	3
18	42,43,44,45,46			42	3
19	55,56			56	5
20	57,58			57	5
22	62,65			65	5
23	63,66			66	5
24	64,67			67	5
25	68,69			68	5
26	48,49			48	3
27	50,51			50	3
28	52,53,54			52	3
