ID	stageID	开始时间	结束时间	minLevel	maxLevel	前置openstate	前置父任务	前置子任务	失效子任务	特定关卡ID	权重
1001	1,2										10
1003	1,2										10
1002	3,4										10
1004	3,4										10
1006	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			7							10
1007	1			7							10
1008	3			7							10
1009	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			8							10
1010	1,3,15			8							10
1011	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			15		OPEN_STATE_COMBINE					10
1012	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			15		OPEN_STATE_COMBINE					10
1013	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			15		OPEN_STATE_COMBINE					10
1014	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1015	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1016	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1017	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1018	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			4							10
1019	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			4							10
1020	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			4							10
1021	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			4							10
1022	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39			4							10
1023	1			4							10
1024	3										10
1025	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			9							10
1026	1,2			9							10
1027	3,4			15							10
