父任务ID,合集ID,父任务组,任务类型,启用模式,Lua脚本路径,推荐等级,可重复,任务奖励RewardID,章节ID,事件ID,关联活动ID,活动类型,VideoKey
347,,,7,1,,,,,,,,,
348,,,7,1,,,1,,,,,,
349,,,7,1,,,1,,,,,,
350,,,7,1,Actor/Quest/AQ350,,,,,,,,
351,1001,1001,0,1,Actor/Quest/AQ351,,,100351,,,,,
362,,,7,1,Actor/Quest/MQ362,,,,,,,,
352,1001,1001,0,1,Actor/Quest/AQ352,,,100352,1001,,,,
353,1001,1001,0,1,Actor/Quest/AQ353,,,100353,1001,,,,
361,,1001,7,1,Actor/Quest/AQ361,,,,,,,,
355,1001,1001,0,1,Actor/Quest/AQ355,,,100355,1001,,,,
354,1001,1001,0,1,Actor/Quest/AQ354,,,100354,1001,,,,
360,1001,1001,0,1,Actor/Quest/AQ360,,,100360,1001,,,,
356,1001,1001,0,1,Actor/Quest/AQ356,,,100356,1001,,,,
357,1001,1001,0,1,Actor/Quest/AQ357,,,100357,1001,,,,
358,1001,1001,0,1,Actor/Quest/AQ358,,,100358,1001,,,,
359,1001,1001,0,1,Actor/Quest/AQ359,,,,,,,,
306,1001,1001,0,1,Actor/Quest/AQ306,,,100306,1001,,,,
307,1001,1001,0,1,Actor/Quest/AQ307,,,100307,1001,,,,
308,1001,1001,0,1,Actor/Quest/AQ308,,,100308,1001,,,,
309,1001,1001,0,1,Actor/Quest/AQ309,,,,1001,,,,
310,,,7,1,,,,,,,,,
311,1001,1001,0,1,Actor/Quest/AQ311,,,,1001,,,,
312,1001,1001,0,1,,,,100312,,,,,
363,1001,1001,0,1,,,,,1001,,,,
370,1002,1002,0,1,Actor/Quest/MQ370,,,100370,1002,,,,
371,1002,1002,0,1,Actor/Quest/MQ371,,,100371,1002,,,,
372,1002,1002,0,1,Actor/Quest/MQ372,,,100372,1002,,,,
373,1002,1002,0,1,Actor/Quest/MQ373,,,100373,1002,,,,
374,1002,1002,0,1,Actor/Quest/MQ374,,,100374,1002,,,,
375,1002,1002,0,1,Actor/Quest/MQ375,,,100375,1002,,,,
376,1002,1002,0,1,Actor/Quest/MQ376,,,100376,1002,,,,
377,1002,1002,0,1,Actor/Quest/MQ377,,,100377,1002,,,,
20101,1002,1002,0,1,Actor/Quest/IQ20101,,,120101,1002,,,,
379,1002,1002,0,1,Actor/Quest/MQ379,,,100379,1002,,,,
385,8001,,0,1,Actor/Quest/MQ385,,,,,,,,
380,1002,1002,0,1,Actor/Quest/MQ380,,,100380,1002,,,,
381,1002,1002,0,1,Actor/Quest/MQ381,,,100381,1002,,,,
382,1002,1002,0,1,Actor/Quest/MQ382,,,100382,1002,,,,
383,1002,1002,0,1,Actor/Quest/MQ383,,,100383,1002,,,,
384,1002,1002,0,1,Actor/Quest/MQ384,,,100384,1002,,,,
397,1003,1003,0,1,Actor/Quest/MQ397,,,100397,1003,,,,
388,1003,1003,0,1,Actor/Quest/MQ388,,,100388,1003,,,,
389,1003,1003,0,1,Actor/Quest/MQ389,,,100389,1003,,,,
