父任务ID,合集ID,父任务组,任务类型,启用模式,Lua脚本路径,推荐等级,可重复,任务奖励RewardID,章节ID,事件ID,关联活动ID,活动类型,VideoKey
800,,,7,1,Actor/Quest/WQ800,,,,,,,,
1019,1014,1207,,1,Actor/Quest/AQ1019,,,101019,1207,,,,
1027,1014,1207,,1,Actor/Quest/AQ1027,,,,,,,,
1028,1014,1207,,1,Actor/Quest/AQ1028,,,101028,1207,,,,
1029,1014,1207,,1,Actor/Quest/AQ1029,,,101029,1207,,,,
1030,1014,1207,,1,Actor/Quest/AQ1030,,,101030,1207,,,,
1031,1014,1207,,1,Actor/Quest/AQ1031,,,101031,1207,,,,3303136414174011
1032,1014,1207,,1,Actor/Quest/AQ1032,,,,,,,,
1033,1014,1207,,1,Actor/Quest/AQ1033,,,,,,,,
2000,1008,1201,,1,Actor/Quest/AQ2000,,,102000,1201,,,,
2001,1008,1201,,1,Actor/Quest/AQ2001,,,102001,1201,,,,
2002,1008,1201,,1,Actor/Quest/AQ2002,,,102002,1201,,,,
2003,1009,1201,,1,Actor/Quest/AQ2003,,,102003,1202,,,,
2004,1009,1201,,1,Actor/Quest/AQ2004,,,102004,1202,,,,
2005,1009,1201,,1,Actor/Quest/AQ2005,,,102005,1202,,,,
2006,1009,1201,,1,Actor/Quest/AQ2006,,,102006,1202,,,,
2007,1009,1201,,1,Actor/Quest/AQ2007,,,102007,1202,,,,
2008,1010,1201,,1,Actor/Quest/AQ2008,,,102008,1203,,,,
2009,1010,1201,,1,Actor/Quest/AQ2009,,,102009,1203,,,,
2010,1011,1210,,1,Actor/Quest/AQ2010,,,102010,1204,,,,
2011,1009,,,1,Actor/Quest/AQ2011,,,102011,1202,,,,
2012,1009,,,1,Actor/Quest/AQ2012,,,102012,1202,,,,
2013,1009,,,1,Actor/Quest/AQ2013,,,102013,1202,,,,
2014,1011,1210,,1,Actor/Quest/AQ2014,,,102014,1204,,,,
2015,1011,1210,,1,Actor/Quest/AQ2015,,,102015,1204,,,,
2016,1011,1210,,1,Actor/Quest/AQ2016,,,102016,1204,,,,
2017,1011,1210,,1,Actor/Quest/AQ2017,,,102017,1204,,,,
2018,1011,1210,,1,Actor/Quest/AQ2018,,,102018,1204,,,,
2019,1011,1210,,1,Actor/Quest/AQ2019,,,102019,1204,,,,
2020,1011,1210,,1,Actor/Quest/AQ2020,,,102020,1204,,,,
2021,1011,1210,,1,Actor/Quest/AQ2021,,,102021,1204,,,,
2022,1010,,,1,Actor/Quest/AQ2022,,,,,,,,
2023,1009,,,,Actor/Quest/AQ2023,,,,,,,,
2024,8003,1210,,,Actor/Quest/AQ2024,,,,1204,,,,
2025,1009,,,,Actor/Quest/AQ2025,,,,,,,,
3000,1015,1301,,1,Actor/Quest/AQ3000,,,103000,1301,,,,
3001,1015,1301,,1,Actor/Quest/AQ3001,,,103001,1301,,,,
3002,1015,1301,,1,Actor/Quest/AQ3002,,,103002,1301,,,,
3003,1015,1301,,1,Actor/Quest/AQ3003,,,103003,1301,,,,
3004,1015,1301,,1,Actor/Quest/AQ3004,,,103004,1301,,,,
3005,1015,1301,,1,Actor/Quest/AQ3005,,,103005,1301,,,,
3006,1015,1301,,1,Actor/Quest/AQ3006,,,103006,1301,,,,5515318060794455
3007,1015,1302,,1,Actor/Quest/AQ3007,,,103007,1302,,,,
3008,1015,1302,,1,Actor/Quest/AQ3008,,,103008,1302,,,,
3009,1015,1302,,1,Actor/Quest/AQ3009,,,103009,1302,,,,
3010,1015,1302,,1,Actor/Quest/AQ3010,,,103010,1302,,,,
3011,1015,1302,,1,Actor/Quest/AQ3011,,,103011,1302,,,,
3012,1015,1302,,1,Actor/Quest/AQ3012,,,103012,1302,,,,2690561074476991
3013,1015,1302,,1,Actor/Quest/AQ3013,,,103013,1306,,,,
3014,1015,1302,,1,Actor/Quest/AQ3014,,,103014,1302,,,,
3015,1015,1302,,1,Actor/Quest/AQ3015,,,,1302,,,,
3016,1016,1303,,1,Actor/Quest/AQ3016,,,103016,1303,,,,8823377679488754
3017,1016,1303,,1,Actor/Quest/AQ3017,,,103017,1303,,,,6971018813708261
