属性值,[店铺]1升级花费属性1,[店铺]1升级花费属性2,[店铺]1升级花费属性3,[店铺]2升级花费属性1,[店铺]2升级花费属性2,[店铺]2升级花费属性3,[店铺]3升级花费属性1,[店铺]3升级花费属性2,[店铺]3升级花费属性3
0,400,400,400,400,400,400,400,400,400
5,400,400,400,400,400,400,400,400,400
10,400,400,400,400,400,400,400,400,400
15,400,400,400,400,400,400,400,400,400
20,400,400,400,400,400,400,400,400,400
25,400,400,400,400,400,400,400,400,400
30,400,400,400,400,400,400,400,400,400
35,400,400,400,400,400,400,400,400,400
40,400,400,400,400,400,400,400,400,400
45,400,400,400,400,400,400,400,400,400
50,450,450,450,450,450,450,450,450,450
55,450,450,450,450,450,450,450,450,450
60,450,450,450,450,450,450,450,450,450
65,450,450,450,450,450,450,450,450,450
70,450,450,450,450,450,450,450,450,450
75,450,450,450,450,450,450,450,450,450
80,450,450,450,450,450,450,450,450,450
85,450,450,450,450,450,450,450,450,450
90,450,450,450,450,450,450,450,450,450
95,450,450,450,450,450,450,450,450,450
100,550,550,550,550,550,550,550,550,550
105,550,550,550,550,550,550,550,550,550
110,550,550,550,550,550,550,550,550,550
115,550,550,550,550,550,550,550,550,550
120,550,550,550,550,550,550,550,550,550
125,550,550,550,550,550,550,550,550,550
130,550,550,550,550,550,550,550,550,550
135,550,550,550,550,550,550,550,550,550
140,550,550,550,550,550,550,550,550,550
145,550,550,550,550,550,550,550,550,550
150,700,700,700,700,700,700,700,700,700
155,700,700,700,700,700,700,700,700,700
160,700,700,700,700,700,700,700,700,700
165,700,700,700,700,700,700,700,700,700
170,700,700,700,700,700,700,700,700,700
175,700,700,700,700,700,700,700,700,700
180,700,700,700,700,700,700,700,700,700
185,700,700,700,700,700,700,700,700,700
190,700,700,700,700,700,700,700,700,700
195,700,700,700,700,700,700,700,700,700
200,900,900,900,900,900,900,900,900,900
205,900,900,900,900,900,900,900,900,900
210,900,900,900,900,900,900,900,900,900
215,900,900,900,900,900,900,900,900,900
220,900,900,900,900,900,900,900,900,900
225,900,900,900,900,900,900,900,900,900
230,900,900,900,900,900,900,900,900,900
235,900,900,900,900,900,900,900,900,900
240,900,900,900,900,900,900,900,900,900
245,900,900,900,900,900,900,900,900,900
250,1250,1250,1250,1250,1250,1250,1250,1250,1250
255,1250,1250,1250,1250,1250,1250,1250,1250,1250
260,1250,1250,1250,1250,1250,1250,1250,1250,1250
265,1250,1250,1250,1250,1250,1250,1250,1250,1250
270,1250,1250,1250,1250,1250,1250,1250,1250,1250
275,1250,1250,1250,1250,1250,1250,1250,1250,1250
280,1250,1250,1250,1250,1250,1250,1250,1250,1250
285,1250,1250,1250,1250,1250,1250,1250,1250,1250
290,1250,1250,1250,1250,1250,1250,1250,1250,1250
295,1250,1250,1250,1250,1250,1250,1250,1250,1250
300,1600,1600,1600,1600,1600,1600,1600,1600,1600
305,1600,1600,1600,1600,1600,1600,1600,1600,1600
310,1600,1600,1600,1600,1600,1600,1600,1600,1600
315,1600,1600,1600,1600,1600,1600,1600,1600,1600
320,1600,1600,1600,1600,1600,1600,1600,1600,1600
325,1600,1600,1600,1600,1600,1600,1600,1600,1600
330,1600,1600,1600,1600,1600,1600,1600,1600,1600
335,1600,1600,1600,1600,1600,1600,1600,1600,1600
340,1600,1600,1600,1600,1600,1600,1600,1600,1600
345,1600,1600,1600,1600,1600,1600,1600,1600,1600
350,2150,2150,2150,2150,2150,2150,2150,2150,2150
355,2150,2150,2150,2150,2150,2150,2150,2150,2150
360,2150,2150,2150,2150,2150,2150,2150,2150,2150
365,2150,2150,2150,2150,2150,2150,2150,2150,2150
370,2150,2150,2150,2150,2150,2150,2150,2150,2150
375,2150,2150,2150,2150,2150,2150,2150,2150,2150
380,2150,2150,2150,2150,2150,2150,2150,2150,2150
385,2150,2150,2150,2150,2150,2150,2150,2150,2150
390,2150,2150,2150,2150,2150,2150,2150,2150,2150
395,2150,2150,2150,2150,2150,2150,2150,2150,2150
400,2750,2750,2750,2750,2750,2750,2750,2750,2750
405,2750,2750,2750,2750,2750,2750,2750,2750,2750
410,2750,2750,2750,2750,2750,2750,2750,2750,2750
415,2750,2750,2750,2750,2750,2750,2750,2750,2750
420,2750,2750,2750,2750,2750,2750,2750,2750,2750
425,2750,2750,2750,2750,2750,2750,2750,2750,2750
430,2750,2750,2750,2750,2750,2750,2750,2750,2750
435,2750,2750,2750,2750,2750,2750,2750,2750,2750
440,2750,2750,2750,2750,2750,2750,2750,2750,2750
445,2750,2750,2750,2750,2750,2750,2750,2750,2750
450,3600,3600,3600,3600,3600,3600,3600,3600,3600
455,3600,3600,3600,3600,3600,3600,3600,3600,3600
460,3600,3600,3600,3600,3600,3600,3600,3600,3600
465,3600,3600,3600,3600,3600,3600,3600,3600,3600
470,3600,3600,3600,3600,3600,3600,3600,3600,3600
475,3600,3600,3600,3600,3600,3600,3600,3600,3600
480,3600,3600,3600,3600,3600,3600,3600,3600,3600
485,3600,3600,3600,3600,3600,3600,3600,3600,3600
490,3600,3600,3600,3600,3600,3600,3600,3600,3600
495,3600,3600,3600,3600,3600,3600,3600,3600,3600
500,4900,4900,4900,4900,4900,4900,4900,4900,4900
