回合数,[店铺]1下限系数属性1,[店铺]1下限系数属性2,[店铺]1下限系数属性3,[店铺]1随机增长ID,[店铺]1达成buff系数,[店铺]1固定收入,[店铺]1收入系数,[店铺]2下限系数属性1,[店铺]2下限系数属性2,[店铺]2下限系数属性3,[店铺]2随机增长ID,[店铺]2达成buff系数,[店铺]2固定收入,[店铺]2收入系数,[店铺]3下限系数属性1,[店铺]3下限系数属性2,[店铺]3下限系数属性3,[店铺]3随机增长ID,[店铺]3达成buff系数,[店铺]3固定收入,[店铺]3收入系数
1,0.5,0.5,0.5,101,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
2,0.5,0.5,0.5,102,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
3,0.5,0.5,0.5,110,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
4,0.5,0.5,0.5,110,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
5,0.5,0.5,0.5,120,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
6,0.5,0.5,0.5,103,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
7,0.5,0.5,0.5,110,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
8,0.5,0.5,0.5,130,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
9,0.5,0.5,0.5,104,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
10,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
11,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,201,1.5,,0.5,0.5,0.5,0.5,301,1.5,0,0.5
12,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,210,1.5,,0.5,0.5,0.5,0.5,305,1.5,0,0.5
13,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,205,1.5,,0.5,0.5,0.5,0.5,310,1.5,0,0.5
14,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,210,1.5,,0.5,0.5,0.5,0.5,305,1.5,0,0.5
15,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,220,1.5,,0.5,0.5,0.5,0.5,320,1.5,0,0.5
16,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,205,1.5,,0.5,0.5,0.5,0.5,310,1.5,0,0.5
17,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,210,1.5,,0.5,0.5,0.5,0.5,305,1.5,0,0.5
18,0.5,0.5,0.5,140,1.5,1500,0.5,0.5,0.5,0.5,230,1.5,,0.5,0.5,0.5,0.5,330,1.5,0,0.5
19,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,205,1.5,,0.5,0.5,0.5,0.5,305,1.5,0,0.5
20,0.5,0.5,0.5,105,1.5,1500,0.5,0.5,0.5,0.5,205,1.5,,0.5,0.5,0.5,0.5,305,1.5,0,0.5
21,0.5,0.5,0.5,106,1.5,10000,0.5,0.5,0.5,0.5,206,1.5,,0.5,0.5,0.5,0.5,306,1.5,0,0.5
22,0.5,0.5,0.5,106,1.5,10000,0.5,0.5,0.5,0.5,206,1.5,,0.5,0.5,0.5,0.5,306,1.5,0,0.5
23,0.5,0.5,0.5,106,1.5,20000,0.5,0.5,0.5,0.5,206,1.5,,0.5,0.5,0.5,0.5,306,1.5,0,0.5
24,0.6,0.6,0.6,106,1.5,20000,0.5,0.6,0.6,0.6,206,1.5,,0.5,0.6,0.6,0.6,306,1.5,0,0.5
25,0.6,0.6,0.6,106,1.5,20000,0.5,0.6,0.6,0.6,206,1.5,,0.5,0.6,0.6,0.6,306,1.5,0,0.5
26,0.6,0.6,0.6,999,1.5,20000,0.5,0.6,0.6,0.6,999,1.5,,0.5,0.6,0.6,0.6,999,1.5,0,0.5
27,0.7,0.7,0.7,999,1.5,40000,0.5,0.7,0.7,0.7,999,1.5,,0.5,0.7,0.7,0.7,999,1.5,0,0.5
28,0.7,0.7,0.7,999,1.5,40000,0.5,0.7,0.7,0.7,999,1.5,,0.5,0.7,0.7,0.7,999,1.5,0,0.5
29,0.7,0.7,0.7,999,1.5,40000,0.5,0.7,0.7,0.7,999,1.5,,0.5,0.7,0.7,0.7,999,1.5,0,0.5
30,0.8,0.8,0.8,999,1.5,40000,0.5,0.8,0.8,0.8,999,1.5,,0.5,0.8,0.8,0.8,999,1.5,0,0.5
31,0.8,0.8,0.8,999,1.5,40000,0.5,0.8,0.8,0.8,999,1.5,,0.5,0.8,0.8,0.8,999,1.5,0,0.5
32,0.8,0.8,0.8,999,1.5,40000,0.5,0.8,0.8,0.8,999,1.5,,0.5,0.8,0.8,0.8,999,1.5,0,0.5
33,0.9,0.9,0.9,999,1.5,60000,0.5,0.9,0.9,0.9,999,1.5,,0.5,0.9,0.9,0.9,999,1.5,0,0.5
34,0.9,0.9,0.9,999,1.5,60000,0.5,0.9,0.9,0.9,999,1.5,,0.5,0.9,0.9,0.9,999,1.5,0,0.5
35,0.9,0.9,0.9,999,1.5,60000,0.5,0.9,0.9,0.9,999,1.5,,0.5,0.9,0.9,0.9,999,1.5,0,0.5
36,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
37,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
38,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
39,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
40,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
41,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
42,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
43,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
44,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
45,0.99,0.99,0.99,999,1.5,60000,0.5,0.99,0.99,0.99,999,1.5,,0.5,0.99,0.99,0.99,999,1.5,0,0.5
