图鉴ID	类型	物品ID	序号	名称$text_name_Title	描述$text_name_Desc	图标	已废弃	解锁才显示	名称1$text_name_Title1	描述1$text_name_Desc1	任务1	名称2$text_name_Title2	描述2$text_name_Desc2	任务2
40100001	0	101001	1		铁的矿石原石，在拥有相应技能的工匠手中能绽放光采。通常来说，地表上的矿石昭示着此地深处丰富的矿脉。									
40100002	0	101002	2		白铁的矿石原石，在拥有相应技能的工匠手中能大放异彩。矿石当中寄宿着大地中流淌的战斗的记忆，正是这种记忆让它们成为武器的良材。									
40100003	0	101003	3		未经削切的晶体。在专门处理后，才能真正展现价值。这种通称为「水晶」的清澈物体是大地析出的珍贵结晶，能成为制造武器的宝贵材料。									
40100004	0	101004	4		受地脉的能量侵蚀的水晶，无法通过寻常手段处理。但通过原粹树脂提纯的话，可以转化为十分珍贵的材料。									
40100005	0	101006	5											
40100006	0	101008	6											
40101001	0	100001	101		爽脆可口的酸甜果实，无论生食或是酿酒都很是美味。也可以制成清爽的无酒精饮料。									
40101002	0	100002	102											
40101003	0	100011	103											
40101004	0	100012	104		香气浓郁的植株。即便在黑暗中，也能循着芬芳的气息找到的花朵。在提瓦特大陆上，是制糖的常用材料。									
40101005	0	100013	105											
40101006	0	100014	106											
40101007	0	100015	107											
40101008	0	100016	108		饱含清凉成分的植物叶子。清爽冰凉的滋味能将暑气荡涤一空。薄荷广袤分布在大陆各处，拥有旺盛的生命力。									
40101009	0	100020	109											
40101010	0	100051	110											
40101011	0	100063	111											
40101012	0	100062	112											
40101013	0	101210	113											
40101014	0	101211	114		有着艳丽外皮的果实，其中的果肉可以在烹饪后转化为口感独特的食物。\n在稻妻，存在着利用这种果实的外皮加工成染料的传统工艺。据说在过去，绀田村曾经种植堇瓜，以秘不外传的「绀田染」工艺生产着色泽明丽的布匹。									
40101015	0	101212	115											
40101016	0	101216	116		生长在炎热潮湿的雨林当中，有着特殊辛香的果实。磨成粉末后可以制成香辛料，是须弥最重要的香料植物。\n在其他国家的传说中，香辛果生长在无人能够攀爬的绝崖断壁之上，由飞蛇与巨鸟守护。唯有那些可以役使镇灵的勇士，通过秘传的方法，在树王的庇佑之下才能采集得到。不过只要到过须弥的人就会知道，这些故事其实不过是须弥商人为了抬高香料价格而刻意编造出来的罢了。					生长在炎热潮湿的雨林当中，有着特殊辛香的果实。磨成粉末后可以制成香辛料，是须弥最重要的香料植物。\n在其他国家的传说中，香辛果生长在无人能够攀爬的绝崖断壁之上，由飞蛇与巨鸟守护。唯有那些可以役使镇灵的勇士，通过秘传的方法，在神明的庇佑之下才能采集得到。不过只要到过须弥的人就会知道，这些故事其实不过是须弥商人为了抬高香料价格而刻意编造出来的罢了。	302819			
40101017	0	101218	117		林中灌木结出的果实。肉质敦实，味道香甜可口。据说食用后还有宁心安神的功效。\n在过去，墩墩桃因为外形可爱曾被当成一种观赏性植物。不过随着其药用价值被发现，如今已经成为了一种常见的商业作物，反而鲜少有人注意到它的观赏价值了。									
40101018	0	101219	118		明艳而深沉的紫色花卉，散发出使行人驻足的馥郁芬芳。虽然被称作蔷薇但其实严格来说应该算作玫瑰。\n从很早的时代开始，须弥蔷薇就被人们用来制作香精和香水。每到节日之时，集市中总会弥漫着玫瑰的馨香。在那些享誉须弥的诗文当中，须弥蔷薇常与美酒被一同提及，成为须弥文学中的经典意象。「快抛弃无聊的苦修，与玫瑰和美酒相伴，这时节没有比这更重要的事了！」 									
40101019	0	101228	119		没有种子的花卉。\n只要大地重新记起，毗波耶就会绽放。\n须弥的丛林是梦想的苗床，森林的孩子们有一部分的生命行走在梦中。后来，有一些孩子离开了森林的梦，但森林并不会忘记。									
40101020	0	101221	120		沙漠绿洲中的常绿乔木结出的果实。坚硬果皮下的果肉肉质绵厚，甘甜可口，对沙海子民而言是重要的食物来源。\n或许是因为沙漠地区特殊的地理条件影响，含糖量极高，无论是单独制成果脯还是做成各种糖果都很好吃。据说枣椰种植的历史相当悠久，在那些关于古老国度的歌谣中已常常会提到它们。传说在烈日君王夜夜不休的宴席上，枣椰所制成的蜜饯便是第一道开胃的美食。									
40102001	0	100021	201		带着勾刺的莓果，会挂在狼的毛皮上来迁徙。看见它时，仿佛能听见狼的凄嚎在林间回荡…钩钩果能入药，可以治疗病痛。虽然本身也会为不小心的人或走兽带来伤痛就是了…									
40102002	0	100022	202											
40102003	0	100023	203											
40102004	0	100024	204											
40102005	0	100025	205											
