ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]1参数4	[使用]1参数5	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	饱食度参数	摧毁规则	摧毁返还道具	摧毁返还数量	组ID	强制获得提示
101	1		12					角色经验							1											3								
102	1		13					冒险阅历							1											3								
103	2		10					废弃道具							1											3								
104	2		20					废弃道具							1											4								
105	1		11					好感经验							1											3								
106	1		10					体力							1											3								
107	1		10					传说钥匙							1											4								
108	1							活动代币																		4	1							
109	1							活动代币																		3	1							
110	1							活动代币																		4	1							
111	1							活动代币																		3	1							
112	1							活动代币																		3	1							
113	1							活动代币																		4	1							
114	1			70590029				活动代币	23																	3	1							
115	1							活动代币																		3	1							
116	1							活动代币																		3								
117	1							活动代币																		3								
118	1							活动代币																		3								
119	1							活动代币																		3								
120	1							活动代币																		3								
121	1							家园经验																		3								
122	1							活动代币																		3								
123	1							活动代币																		3								
124	1							活动代币																		4	1							
125	1							活动代币																		4								
126	1							活动代币																		4								
127	1																									4								
128	1																									4								
129	1																									3								
130	1																									4								
131	1														1											3								
132	1							活动代币																		3								
133	1							活动代币																		4	1							
134	1							活动代币																		4	1							
135	1							活动代币																		4								
136	1							活动代币																		4								
137	1																									4	1							
138	1																									4	1							1
139	1																									4	1							
140	1							活动代币																		4								
141	1							活动代币																		4								
142	1							活动代币																		4								
143	1							活动代币																		4								
144	1							活动代币																		3								
145	1			70590029				活动代币	23																	3	1							
147	1							活动代币							1											3								
148	1							活动代币																		3								
149	1							活动代币																		3								
150	1							活动代币																		3								
151	1							活动代币																		3								
152	1							活动代币																		3								
153	1							活动代币																		3								
201	1		30	70590012				原石	8						1											5	1							
202	1		10	70590011				摩拉	8						1											3								
203	1		30					礼包币							1											5	1							
204	1		10					家园币							1											3								
210	2		10					废弃道具	5			8														2								
211	2		10					废弃道具	5			3														3								
221	2		410001	70900001				扭蛋兑换券	5			1000000														5								
222	2		410002	70900001				扭蛋兑换券	5			1000000														4								
223	2		410003	70900001				扭蛋券	5			1000000														5								
224	2		410004	70900001				扭蛋券	5			1000000														5								
301	2		430001	70590016				七国徽印	5			9999														3	1							
302	2		430001	70590017				七国徽印	5			9999														3	1							
303	2		430001	70590019				七国徽印	5			9999														3	1							
304	2		430001	70590020				七国徽印	5			9999														3	1							
305	2		430001	70590014				七国徽印	5			9999														3	1							
306	2		430001	70590018				七国徽印	5			9999														3	1							
307	2		430001	70590015				七国徽印	5			9999														3	1							
315	1							城市声望																		3								
317	1							城市声望																		3								
314	1							城市声望																		3								
316	1							城市声望																		3								
911	2		10					命之座	20			1000														5								
912	2		10					命之座	20			1000														5								
913	2		10					命之座	20			1000														5								
914	2		10					命之座	20			1000														5								
915	2		10					命之座	20			1000														5								
916	2		10					命之座	20			1000														5								
917	2		10					命之座	20			1000														5								
1002	2							角色	7			1000	99	1			3	10000002								5								
1003	2							角色	7			1000	99	1			3	10000003								5								
1005	2							角色	7			1000	99	1			3	10000005								5								
1006	2							角色	7			1000	99	1			3	10000006								4								
1007	2							角色	7			1000	99	1			3	10000007								5								
1014	2							角色	7			1000	99	1			3	10000014								4								
1015	2							角色	7			1000	99	1			3	10000015								4								
1016	2							角色	7			1000	99	1			3	10000016								5								
1020	2							角色	7			1000	99	1			3	10000020								4								
1021	2							角色	7			1000	99	1			3	10000021								4								
1022	2							角色	7			1000	99	1			3	10000022								5								
1023	2							角色	7			1000	99	1			3	10000023								4								
1024	2							角色	7			1000	99	1			3	10000024								4								
1025	2							角色	7			1000	99	1			3	10000025								4								
1026	2							角色	7			1000	99	1			3	10000026								5								
1027	2							角色	7			1000	99	1			3	10000027								4								
1029	2							角色	7			1000	99	1			3	10000029								5								
1030	2							角色	7			1000	99	1			3	10000030								5								
1031	2							角色	7			1000	99	1			3	10000031								4								
1032	2							角色	7			1000	99	1			3	10000032								4								
1033	2							角色	7			1000	99	1			3	10000033								5								
1034	2							角色	7			1000	99	1			3	10000034								4								
