ID,目标类型,目标参数列表,效果类型,效果字符串参数,效果参数1,效果参数2,效果参数3
1,2,70350102,1,SGV_TDAttackDamage_A,1,,
2,2,70350099,1,SGV_TDAttackDamage_A,1,,
3,2,70350103,1,SGV_TDAttackDamage_A,1,,
4,2,70350100,1,SGV_TDAttackDamage_A,1,,
5,2,70350101,1,SGV_TDAttackDamage_A,1,,
6,2,70350108,1,SGV_TDAttackDamage_A,1,,
7,2,70350102,1,SGV_TDAttackSpeed_A,1,,
8,2,70350099,1,SGV_TDAttackSpeed_A,1,,
9,2,70350103,1,SGV_TDAttackSpeed_A,1,,
10,2,70350100,1,SGV_TDAttackSpeed_A,1,,
11,2,70350101,1,SGV_TDAttackSpeed_A,1,,
12,2,70350108,1,SGV_TDAttackSpeed_A,1,,
13,2,70350103,1,SGV_TDAttackRange_A,1,,
14,2,70350100,1,SGV_TDAttackRange_A,1,,
15,2,70350101,1,SGV_TDAttackRange_A,1,,
16,2,70350108,1,SGV_TDAttackRange_A,1,,
17,2,70350102,1,SGV_TDElementMastery,1,,
18,2,70350099,1,SGV_TDElementMastery,1,,
19,2,70350103,1,SGV_TDElementMastery,1,,
20,2,70350100,1,SGV_TDElementMastery,1,,
21,2,70350101,1,SGV_TDElementMastery,1,,
22,2,70350102,2,,-2000,,
23,2,70350099,2,,-2000,,
24,2,70350103,2,,-2000,,
25,2,70350100,2,,-2000,,
26,2,70350101,2,,-2000,,
27,2,70350108,2,,-2000,,
28,2,70350129,2,,-1000,,
29,2,70350158,2,,-1000,,
30,2,70350111,2,,-6000,,
31,2,70330045,2,,-2000,,
32,1,,3,,5000,,
33,1,,2,,0,,
34,1,,2,,0,,
35,2,70350102,1,SGV_TDUpGrade_Special,1,,
36,2,70350099,1,SGV_TDUpGrade_Special,1,,
37,2,70350103,1,SGV_TDUpGrade_Special,1,,
38,2,70350100,1,SGV_TDUpGrade_Special,1,,
39,2,70350101,1,SGV_TDUpGrade_Special,1,,
40,2,70350108,1,SGV_TDUpGrade_Special,1,,
41,2,70350129,13,SGV_TDAttackSpeed_C,1,8,
42,2,70350158,1,SGV_TDUpGrade_Special,1,,
43,2,70350111,1,SGV_TDUpGrade_Special,1,,
44,0,,10,,250,,
45,0,,4,,5,,
46,0,,6,,5,,
47,0,,8,,1,,
48,2,70350102,1,SGV_TDAttackDamage_B,1,,
49,2,70350099,1,SGV_TDAttackDamage_B,1,,
50,2,70350103,1,SGV_TDAttackDamage_B,1,,
51,2,70350100,1,SGV_TDAttackDamage_B,1,,
52,2,70350101,1,SGV_TDAttackDamage_B,1,,
53,2,70350108,1,SGV_TDAttackDamage_B,1,,
54,2,70350102,1,SGV_TDAttackSpeed_B,1,,
55,2,70350099,1,SGV_TDAttackSpeed_B,1,,
56,2,70350103,1,SGV_TDAttackSpeed_B,1,,
57,2,70350100,1,SGV_TDAttackSpeed_B,1,,
58,2,70350101,1,SGV_TDAttackSpeed_B,1,,
59,2,70350108,1,SGV_TDAttackSpeed_B,1,,
60,2,70350103,1,SGV_TDAttackRange_B,1,,
61,2,70350100,1,SGV_TDAttackRange_B,1,,
62,2,70350101,1,SGV_TDAttackRange_B,1,,
63,2,70350108,1,SGV_TDAttackRange_B,1,,
64,1,,2,,-6000,,
65,0,,2,,0,,
66,0,,2,,0,,
67,0,,2,,0,,
68,0,,2,,0,,
69,0,,2,,0,,
70,0,,2,,0,,
71,0,,2,,0,,
72,0,,2,,0,,
73,0,,2,,0,,
74,0,,7,,-2500,,
75,0,,2,,3000,,
76,0,,2,,0,,
77,2,70350102,1,SGV_TDCanDoAttack,0,,
78,2,70350099,1,SGV_TDCanDoAttack,0,,
79,2,70350103,1,SGV_TDCanDoAttack,0,,
80,2,70350100,1,SGV_TDCanDoAttack,0,,
81,2,70350101,1,SGV_TDCanDoAttack,0,,
82,2,70350108,1,SGV_TDCanDoAttack,0,,
83,0,,5,,1,,
84,0,,9,,1,,
85,0,,2,,0,,
86,0,,2,,0,,
87,0,,7,,-10000,,
88,0,,8,,-1,,
89,0,,2,,0,,
90,2,,2,,1000,,
91,0,,3,,1000,,
92,0,,10,,10,,
93,0,,4,,5,,
94,0,,5,,1,,
95,0,,6,,10,,
96,0,,7,,0,,
97,0,,8,,2,,
98,0,,9,,2,,
99,0,,12,,6,4,
100,0,,12,,8,4,
101,0,,12,,8,6,
