编号,所属机关塔ID,机关塔等级,升级所需塔防币,建造值消耗,拆毁建造值返还,SGV参数1键,SGV参数1值,SGV参数2键,SGV参数2值,被动效果列表
1,1,1,0,100,20,SGV_TDLevel,1,,,
2,1,2,75,120,24,SGV_TDLevel,2,,,
3,1,3,100,140,28,SGV_TDLevel,3,,,
4,1,4,150,160,32,SGV_TDLevel,4,,,
5,1,5,200,180,36,SGV_TDLevel,5,,,
6,1,6,250,180,36,SGV_TDLevel,6,,,
7,1,7,300,180,36,SGV_TDLevel,7,,,
8,1,8,350,180,36,SGV_TDLevel,8,,,
9,1,9,400,180,36,SGV_TDLevel,9,,,
10,1,10,450,180,36,SGV_TDLevel,10,,,
11,2,1,0,100,20,SGV_TDLevel,1,,,
12,2,2,75,120,24,SGV_TDLevel,2,,,
13,2,3,100,140,28,SGV_TDLevel,3,,,
14,2,4,150,160,32,SGV_TDLevel,4,,,
15,2,5,200,180,36,SGV_TDLevel,5,,,
16,2,6,250,180,36,SGV_TDLevel,6,,,
17,2,7,300,180,36,SGV_TDLevel,7,,,
18,2,8,350,180,36,SGV_TDLevel,8,,,
19,2,9,400,180,36,SGV_TDLevel,9,,,
20,2,10,450,180,36,SGV_TDLevel,10,,,
21,3,1,0,100,20,SGV_TDLevel,1,,,
22,3,2,75,120,24,SGV_TDLevel,2,,,
23,3,3,100,140,28,SGV_TDLevel,3,,,
24,3,4,150,160,32,SGV_TDLevel,4,,,
25,3,5,200,180,36,SGV_TDLevel,5,,,
26,3,6,250,180,36,SGV_TDLevel,6,,,
27,3,7,300,180,36,SGV_TDLevel,7,,,
28,3,8,350,180,36,SGV_TDLevel,8,,,
29,3,9,400,180,36,SGV_TDLevel,9,,,
30,3,10,450,180,36,SGV_TDLevel,10,,,
31,4,1,50,100,20,SGV_TDLevel,1,,,
32,4,2,75,120,24,SGV_TDLevel,2,,,
33,4,3,100,140,28,SGV_TDLevel,3,,,
34,4,4,150,160,32,SGV_TDLevel,4,,,
35,4,5,200,180,36,SGV_TDLevel,5,,,
36,4,6,250,180,36,SGV_TDLevel,6,,,
37,4,7,300,180,36,SGV_TDLevel,7,,,
38,4,8,350,180,36,SGV_TDLevel,8,,,
39,4,9,400,180,36,SGV_TDLevel,9,,,
40,4,10,450,180,36,SGV_TDLevel,10,,,
41,5,1,0,100,20,SGV_TDLevel,1,,,
42,5,2,75,120,24,SGV_TDLevel,2,,,
43,5,3,100,140,28,SGV_TDLevel,3,,,
44,5,4,150,160,32,SGV_TDLevel,4,,,
45,5,5,200,180,36,SGV_TDLevel,5,,,
46,5,6,250,180,36,SGV_TDLevel,6,,,
47,5,7,300,180,36,SGV_TDLevel,7,,,
48,5,8,350,180,36,SGV_TDLevel,8,,,
49,5,9,400,180,36,SGV_TDLevel,9,,,
50,5,10,450,180,36,SGV_TDLevel,10,,,
51,6,1,50,100,20,SGV_TDLevel,1,,,
52,6,2,75,100,20,SGV_TDLevel,2,,,
53,6,3,100,100,20,SGV_TDLevel,3,,,
54,6,4,150,100,20,SGV_TDLevel,4,,,
55,6,5,200,100,20,SGV_TDLevel,5,,,
56,6,6,250,100,20,SGV_TDLevel,6,,,
57,6,7,300,100,20,SGV_TDLevel,7,,,
58,6,8,350,100,20,SGV_TDLevel,8,,,
59,6,9,400,100,20,SGV_TDLevel,9,,,
60,6,10,450,100,20,SGV_TDLevel,10,,,
61,7,1,200,150,30,SGV_TDLevel,1,,,
62,7,2,300,150,30,SGV_TDLevel,2,,,
63,7,3,400,150,30,SGV_TDLevel,3,,,
71,8,1,0,50,10,SGV_TDLevel,1,,,99
72,8,2,300,50,10,SGV_TDLevel,2,,,100
73,8,3,400,50,10,SGV_TDLevel,3,,,101
81,9,1,50,20,4,SGV_TDLevel,1,,,
82,9,2,75,20,4,SGV_TDLevel,2,,,
83,9,3,100,10,2,SGV_TDLevel,3,,,
84,9,4,150,10,2,SGV_TDLevel,4,,,
85,9,5,200,10,2,SGV_TDLevel,5,,,
86,9,6,250,10,2,SGV_TDLevel,6,,,
87,9,7,300,10,2,SGV_TDLevel,7,,,
88,9,8,350,10,2,SGV_TDLevel,8,,,
89,9,9,400,10,2,SGV_TDLevel,9,,,
90,9,10,450,10,2,SGV_TDLevel,10,,,
91,10,1,400,40,8,SGV_TDLevel,1,,,
