地图编号	地图名称$text_name_Name	地图描述$text_name_Desc	解锁描述$text_name_UnlockDesc	地图缩略图	建造机关数量上限	对应地城编号
1	苇风可凋井边桐	如果能对此棋阵中央的空井善加利用，或许能更有效地面对来袭的魔物…	机关棋谭·壹阶解锁	UI_TheatreMechanicusMap_03	14	7001
2	解鞍倚枕画仙桥	如果能对此棋阵中的「仙桥」机关善加利用，或许能更有效地面对来袭的魔物…	机关棋谭·壹阶解锁	UI_TheatreMechanicusMap_02	14	7002
3	去年双燕来还去	本次棋阵中，魔物将于两条道路不断来袭，如果想要获得胜利，需要仔细思考如何同时抵挡住这两路魔物…	机关棋谭·贰阶解锁	UI_TheatreMechanicusMap_01	14	7003
4	三星参差争电光	本次棋阵中，魔物将于三条道路不断来袭，如果想要获得胜利，需要更仔细地观察棋阵，优先对付最需要对付的那一路魔物…	机关棋谭·叁阶解锁	UI_TheatreMechanicusMap_04	14	7004
5	春水蛾眉各分飞	本次棋阵中，需要同时抵挡魔物前往两个不同的地点，巧妙地设置奇术机关，或许是制胜的关键…	机关棋谭·肆阶解锁	UI_TheatreMechanicusMap_07	14	7005
6	霓裳一曲复登楼	本次棋阵中，魔物也许会欺骗性地走向另一条道路。仔细分辨出它们真正的目标，或许是制胜的关键…	机关棋谭·伍阶解锁	UI_TheatreMechanicusMap_05	14	7006
7	金锁重门华堂空	在本次棋阵中，大量魔物将同时来袭。巧妙地运用棋阵内的各种资源，方能制胜。	机关棋谭·陆阶解锁	UI_TheatreMechanicusMap_06	14	7007
8	溪山兴无尽，不见白驹来	在本次棋阵中，大量魔物将会不断来袭，只有巧妙地运用所有资源，才能寻得胜机…	机关棋谭·陆阶解锁	UI_TheatreMechanicusMap_07	14	7008
9	解鞍倚枕画仙桥	如果能对此棋阵中的「仙桥」机关善加利用，或许能更有效地面对来袭的魔物…	机关棋谭·贰阶解锁	UI_TheatreMechanicusMap_02	14	7009
10	去年双燕来还去	本次棋阵中，魔物将于两条道路不断来袭，如果想要获得胜利，需要仔细思考如何同时抵挡住这两路魔物…	机关棋谭·叁阶解锁	UI_TheatreMechanicusMap_01	14	7010
11	三星参差争电光	本次棋阵中，魔物将于三条道路不断来袭，如果想要获得胜利，需要更仔细地观察棋阵，优先对付最需要对付的那一路魔物…	机关棋谭·肆阶解锁	UI_TheatreMechanicusMap_04	14	7011
12	春水蛾眉各分飞	本次棋阵中，需要同时抵挡魔物前往两个不同的地点，巧妙地设置奇术机关，或许是制胜的关键…	机关棋谭·伍阶解锁	UI_TheatreMechanicusMap_07	14	7012
13	霓裳一曲复登楼	本次棋阵中，魔物也许会欺骗性地走向另一条道路。仔细分辨出它们真正的目标，或许是制胜的关键…	机关棋谭·陆阶解锁	UI_TheatreMechanicusMap_05	14	7013
14	苇风可凋井边桐	如果能对此棋阵中央的空井善加利用，或许能更有效地面对来袭的魔物…	机关棋谭·教学关	UI_TheatreMechanicusMap_03	14	7000
