ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	奖励塔防币数量
90001	609				1		60
90002	610	5			1		30
90003	610	3			1	1	10
90005	610	0			1		60
90006	611	200			1	1	5
90007	611	400			1	1	10
90008	611	600			1	1	15
90009	612	10			1	1	5
90010	612	12			1	1	10
90011	612	14			1		20
90012	613				1	1	10
90013	614	2	48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64		1		20
90016	614	2	65,66,67,68,69,70,71,72,73,74,75		1		20
90019	615	4	1,2,3,4,5,6,48,49,50,51,52,53		1		20
90022	615	4	7,8,9,10,11,12,54,55,56,57,58,59		1		20
90025	615	4	13,14,15,60,61,62		1		20
90028	615	4	35,36,37,38,39,40		1		20
90031	622	2			1		20
90032	622	4			1	1	10
90033	622	6			1	1	15
90034	617	20			1		30
90035	617	40			1		30
90036	617	60			1		30
90043	617	80			1		30
90042	618	1			1		30
90037	618	2			1		30
90044	618	3			1		30
90039	619				1		30
90041	620	1			1		20
90045	620	2			1		20
90046	620	3			1		20
