索引ID,ScheduleID,统计值名,参数1,参数2,参数3
1,5022001,1,1#2#3#101#201#301#401,,
2,5022001,2,,,
3,5022001,3,FallingAttack,,
4,5022001,1,1#2#3#101#201#301#401,,
5,5022001,4,,,
6,5022001,3,Elemental_Burst,,
7,5022001,1,1#2#3#101#201#301#401,,
8,5022001,5,50004002#50004012#50004022#50004023#50004054#50004055,,
9,5022001,3,ExtraAttack#NormalAttack_01#NormalAttack_02#NormalAttack_03#NormalAttack_04#NormalAttack_05#NormalAttack_06,,
10,5022001,1,1#2#3#101#201#301#401,,
11,5022001,6,,,
12,5022001,1,1#2#3#101#201#301#401,,
13,5022001,6,,,
14,5022001,7,,,
15,5022001,1,1#2#3#101#201#301#401,,
16,5022001,8,70350215#70350216#70350217#70350218#70900012#70900013,,
17,5022001,9,1#2#3#7#8#12#16#17#18#19#20#27#28#29#30,,
18,5054001,10,8,,
19,5054001,10,12,,
20,5054001,10,2#7,,
21,5054001,10,1#16#17#18#19#20#27#28#29#30,,
22,5054001,11,,,
23,5054001,10,17#18#19#20,,
24,5054001,12,,,
