索引ID	ScheduleID	挑战任务watcher	地城内显示内容	显示辅助参数1	是否需求提示进度
1	5022001	1502201	1		
2	5022001	1502202	2	1	
3	5022001	1502205	1		
4	5022001	1502204	2	2	
5	5022001	1502203	3	999	
6	5022001	1502206	1		
7	5022001	1502207	2	4	
8	5022001	1502209	1		
9	5022001	1502210	1		
10	5022001	1502208	3	999	
11	5022001	1502211	1		
12	5022001	1502212	2	7	
13	5022001	1502215	1		
14	5022001	1502214	1		
15	5022001	1502213	3	999	
16	5022001	1502216	1		
17	5022001	1502217	2	10	
18	5022001	1502220	1		
19	5022001	1502219	2	11	
20	5022001	1502218	3	999	
21	5022001	1502221	1		
22	5022001	1502222	2	12	
23	5022001	1502225	1		
24	5022001	1502224	2	13	
25	5022001	1502223	3	999	
26	5022001	1502226	1		
27	5022001	1502227	2	15	
28	5022001	1502230	1		
29	5022001	1502229	2	17	
30	5022001	1502228	3	999	
31	5054001	1505401	1		0
32	5054001	1505402	1		1
33	5054001	1505403	1		0
34	5054001	1505404	1		1
35	5054001	1505405	1		0
36	5054001	1505406	1		1
37	5054001	1505407	1		0
38	5054001	1505408	1		1
39	5054001	1505409	1		0
40	5054001	1505410	1		1
41	5054001	1505411	1		0
42	5054001	1505412	1		1
43	5054001	1505413	1		0
44	5054001	1505414	1		1
