等级,[曲线]1类型,[曲线]1运算,[曲线]1值,[曲线]2类型,[曲线]2运算,[曲线]2值,[曲线]3类型,[曲线]3运算,[曲线]3值,[曲线]4类型,[曲线]4运算,[曲线]4值,[曲线]5类型,[曲线]5运算,[曲线]5值,[曲线]6类型,[曲线]6运算,[曲线]6值,[曲线]7类型,[曲线]7运算,[曲线]7值,[曲线]8类型,[曲线]8运算,[曲线]8值,[曲线]9类型,[曲线]9运算,[曲线]9值,[曲线]10类型,[曲线]10运算,[曲线]10值,[曲线]11类型,[曲线]11运算,[曲线]11值,[曲线]12类型,[曲线]12运算,[曲线]12值
1,1,2,5.367859,2,2,2.02052,12,2,1.01,4,1,0,9,1,0,10,1,0,11,2,1,14,2,1,18,2,1,19,2,1,23,2,5.404888,24,2,2.020524
2,1,2,6.818905,2,2,2.32577,12,2,1.02,4,1,0,9,1,0,10,1,0,11,2,1.011236,14,2,1,18,2,4.3771,19,2,1.648215,23,2,6.867565,24,2,2.32577
3,1,2,8.421231,2,2,2.65371,12,2,1.03,4,1,0,9,1,0,10,1,0,11,2,1.022472,14,2,1,18,2,7.7542,19,2,2.296429,23,2,8.483289,24,2,2.653707
4,1,2,10.17484,2,2,3.00456,12,2,1.04,4,1,0,9,1,0,10,1,0,11,2,1.033708,14,2,1,18,2,11.1313,19,2,2.944644,23,2,10.252208,24,2,3.004556
5,1,2,12.07987,2,2,3.37863,12,2,1.05,4,1,0,9,1,0,10,1,0,11,2,1.044944,14,2,1,18,2,14.5084,19,2,3.592859,23,2,12.174544,24,2,3.378627
6,1,2,14.13796,2,2,3.77619,12,2,1.06,4,1,0,9,1,0,10,1,0,11,2,1.05618,14,2,1,18,2,17.8855,19,2,4.241074,23,2,14.251988,24,2,3.776185
7,1,2,16.34828,2,2,4.19745,12,2,1.07,4,1,0,9,1,0,10,1,0,11,2,1.067416,14,2,1,18,2,21.2626,19,2,4.889288,23,2,16.483804,24,2,4.197452
8,1,2,17.50736,2,2,4.58077,12,2,1.08,4,1,0,9,1,0,10,1,0,11,2,1.078652,14,2,1,18,2,24.6397,19,2,5.537503,23,2,17.65636,24,2,4.580768
9,1,2,19.26782,2,2,4.98102,12,2,1.09,4,1,0,9,1,0,10,1,0,11,2,1.089888,14,2,1,18,2,28.0168,19,2,6.185718,23,2,19.436101,24,2,4.981024
10,1,2,21.09865,2,2,5.39831,12,2,1.1,4,1,0,9,1,0,10,1,0,11,2,1.101124,14,2,1,18,2,31.3939,19,2,6.833933,23,2,21.287471,24,2,5.39831
11,1,2,24.06383,2,2,5.95895,12,2,1.11,4,1,0,9,1,0,10,1,0,11,2,1.11236,14,2,1,18,2,34.771,19,2,7.482147,23,2,24.350191,24,2,5.958953
12,1,2,27.14657,2,2,6.54609,12,2,1.12,4,1,0,9,1,0,10,1,0,11,2,1.123596,14,2,1,18,2,38.1481,19,2,8.130362,23,2,27.538501,24,2,6.54609
13,1,2,30.34872,2,2,7.16003,12,2,1.13,4,1,0,9,1,0,10,1,0,11,2,1.134831,14,2,1,18,2,41.5252,19,2,8.778577,23,2,30.854608,24,2,7.160032
14,1,2,33.90172,2,2,7.829,12,2,1.14,4,1,0,9,1,0,10,1,0,11,2,1.146067,14,2,1,18,2,44.9023,19,2,9.426792,23,2,34.542476,24,2,7.828999
15,1,2,37.58709,2,2,8.5272,12,2,1.15,4,1,0,9,1,0,10,1,0,11,2,1.157303,14,2,1,18,2,48.2794,19,2,10.075006,23,2,38.372718,24,2,8.527203
16,1,2,41.4068,2,2,9.255,12,2,1.16,4,1,0,9,1,0,10,1,0,11,2,1.168539,14,2,1,18,2,51.6565,19,2,10.723221,23,2,42.347909,24,2,9.254998
17,1,2,46.00103,2,2,10.24456,12,2,1.17,4,1,0,9,1,0,10,1,0,11,2,1.179775,14,2,1,18,2,55.0336,19,2,11.371436,23,2,47.130227,24,2,10.244559
18,1,2,50.05359,2,2,11.26446,12,2,1.18,4,1,0,9,1,0,10,1,0,11,2,1.191011,14,2,1,18,2,58.4107,19,2,12.019651,23,2,51.37316,24,2,11.264464
19,1,2,54.18154,2,2,12.31476,12,2,1.19,4,1,0,9,1,0,10,1,0,11,2,1.202247,14,2,1,18,2,61.7878,19,2,12.667865,23,2,57.933083,24,2,12.314756
20,1,2,65.1649,2,2,13.31608,12,2,1.2,4,1,0,9,1,0,10,1,0,11,2,1.213483,14,2,1,18,2,65.1649,19,2,13.31608,23,2,62.656434,24,2,13.316083
21,1,2,68.61109,2,2,14.26676,12,2,1.21,4,1,0,9,1,0,10,1,0,11,2,1.224719,14,2,1,18,2,74.801622,19,2,14.276127,23,2,67.499706,24,2,14.266764
22,1,2,72.10564,2,2,15.24058,12,2,1.22,4,1,0,9,1,0,10,1,0,11,2,1.235955,14,2,1,18,2,84.438343,19,2,15.236175,23,2,72.46275,24,2,15.240579
23,1,2,75.35814,2,2,16.20382,12,2,1.23,4,1,0,9,1,0,10,1,0,11,2,1.247191,14,2,1,18,2,94.075065,19,2,16.196222,23,2,77.453622,24,2,16.203822
24,1,2,79.78938,2,2,17.18874,12,2,1.24,4,1,0,9,1,0,10,1,0,11,2,1.258427,14,2,1,18,2,103.711786,19,2,17.15627,23,2,82.533054,24,2,17.188738
25,1,2,84.30028,2,2,18.19528,12,2,1.25,4,1,0,9,1,0,10,1,0,11,2,1.269663,14,2,1,18,2,113.348508,19,2,18.116318,23,2,87.702665,24,2,18.195285
26,1,2,88.9361,2,2,18.885,12,2,1.26,4,1,0,9,1,0,10,1,0,11,2,1.280899,14,2,1,18,2,122.985229,19,2,19.076365,23,2,92.404373,24,2,18.884996
27,1,2,93.66512,2,2,19.58528,12,2,1.27,4,1,0,9,1,0,10,1,0,11,2,1.292135,14,2,1,18,2,132.621951,19,2,20.036413,23,2,97.388693,24,2,19.58528
28,1,2,98.48837,2,2,20.29613,12,2,1.28,4,1,0,9,1,0,10,1,0,11,2,1.303371,14,2,1,18,2,142.258672,19,2,20.99646,23,2,102.556758,24,2,20.296134
29,1,2,103.4069,2,2,21.0176,12,2,1.29,4,1,0,9,1,0,10,1,0,11,2,1.314607,14,2,1,18,2,151.895394,19,2,21.956508,23,2,109.563825,24,2,21.017604
30,1,2,108.4217,2,2,21.74973,12,2,1.3,4,1,0,9,1,0,10,1,0,11,2,1.325843,14,2,1,18,2,161.532115,19,2,22.916555,23,2,116.679181,24,2,21.749735
31,1,2,114.4719,2,2,22.61761,12,2,1.31,4,1,0,9,1,0,10,1,0,11,2,1.337079,14,2,1,18,2,171.168837,19,2,23.876603,23,2,123.905551,24,2,22.617613
32,1,2,120.6543,2,2,23.50049,12,2,1.32,4,1,0,9,1,0,10,1,0,11,2,1.348315,14,2,1,18,2,180.805558,19,2,24.83665,23,2,131.393036,24,2,23.500487
33,1,2,125.744,2,2,24.3984,12,2,1.33,4,1,0,9,1,0,10,1,0,11,2,1.359551,14,2,1,18,2,190.44228,19,2,25.796698,23,2,139.203033,24,2,24.398399
34,1,2,148.7045,2,2,25.37062,12,2,1.34,4,1,0,9,1,0,10,1,0,11,2,1.370787,14,2,1,18,2,200.079001,19,2,26.756745,23,2,147.342314,24,2,25.370621
35,1,2,153.7546,2,2,26.19798,12,2,1.35,4,1,0,9,1,0,10,1,0,11,2,1.382022,14,2,1,18,2,209.715722,19,2,27.716793,23,2,156.631994,24,2,26.197983
36,1,2,158.886,2,2,27.03764,12,2,1.36,4,1,0,9,1,0,10,1,0,11,2,1.393258,14,2,1,18,2,219.352444,19,2,28.67684,23,2,166.419906,24,2,27.037642
37,1,2,165.88,2,2,28.30728,12,2,1.37,4,1,0,9,1,0,10,1,0,11,2,1.404494,14,2,1,18,2,228.989165,19,2,29.636888,23,2,176.602768,24,2,28.307281
38,1,2,173.5809,2,2,29.66658,12,2,1.38,4,1,0,9,1,0,10,1,0,11,2,1.41573,14,2,1,18,2,238.625887,19,2,30.596935,23,2,187.12581,24,2,29.666578
39,1,2,181.4102,2,2,31.05228,12,2,1.39,4,1,0,9,1,0,10,1,0,11,2,1.426966,14,2,1,18,2,248.262608,19,2,31.556983,23,2,198.114252,24,2,31.052282
40,1,2,198.3841,2,2,32.51703,12,2,1.4,4,1,0,9,1,0,10,1,0,11,2,1.438202,14,2,1,18,2,257.89933,19,2,32.51703,23,2,209.499926,24,2,32.517029
41,1,2,207.9781,2,2,34.0855,12,2,1.41,4,1,0,9,1,0,10,1,0,11,2,1.449438,14,2,1,18,2,294.363932,19,2,34.775003,23,2,221.358289,24,2,33.693383
42,1,2,217.7367,2,2,35.68458,12,2,1.42,4,1,0,9,1,0,10,1,0,11,2,1.460674,14,2,1,18,2,330.828533,19,2,37.032977,23,2,234.313678,24,2,34.892693
43,1,2,227.0249,2,2,37.24761,12,2,1.43,4,1,0,9,1,0,10,1,0,11,2,1.47191,14,2,1,18,2,367.293135,19,2,39.29095,23,2,248.218566,24,2,36.064966
44,1,2,236.4653,2,2,38.8393,12,2,1.44,4,1,0,9,1,0,10,1,0,11,2,1.483146,14,2,1,18,2,403.757736,19,2,41.548924,23,2,263.037912,24,2,37.258736
45,1,2,264.514,2,2,40.45966,12,2,1.45,4,1,0,9,1,0,10,1,0,11,2,1.494382,14,2,1,18,2,440.222338,19,2,43.806897,23,2,281.447806,24,2,38.474003
46,1,2,273.7571,2,2,41.71497,12,2,1.46,4,1,0,9,1,0,10,1,0,11,2,1.505618,14,2,1,18,2,476.686939,19,2,46.064871,23,2,300.164605,24,2,39.415483
47,1,2,289.6475,2,2,43.60169,12,2,1.47,4,1,0,9,1,0,10,1,0,11,2,1.516854,14,2,1,18,2,513.151541,19,2,48.322844,23,2,319.937058,24,2,40.830525
48,1,2,305.8628,2,2,45.52411,12,2,1.48,4,1,0,9,1,0,10,1,0,11,2,1.52809,14,2,1,18,2,549.616142,19,2,50.580818,23,2,340.796525,24,2,42.272337
49,1,2,322.4075,2,2,47.48235,12,2,1.49,4,1,0,9,1,0,10,1,0,11,2,1.539326,14,2,1,18,2,586.080744,19,2,52.838791,23,2,362.845112,24,2,43.741021
50,1,2,367.8213,2,2,50.14548,12,2,1.5,4,1,0,9,1,0,10,1,0,11,2,1.550562,14,2,1,18,2,622.545345,19,2,55.096765,23,2,386.007951,24,2,45.738367
51,1,2,384.5919,2,2,51.97996,12,2,1.51,4,1,0,9,1,0,10,1,0,11,2,1.561798,14,2,1,18,2,659.009946,19,2,57.354738,23,2,405.819862,24,2,47.114229
52,1,2,401.5548,2,2,53.83439,12,2,1.52,4,1,0,9,1,0,10,1,0,11,2,1.573034,14,2,1,18,2,695.474548,19,2,59.612712,23,2,426.750883,24,2,48.505054
53,1,2,418.7124,2,2,55.7086,12,2,1.53,4,1,0,9,1,0,10,1,0,11,2,1.58427,14,2,1,18,2,731.939149,19,2,61.870685,23,2,448.336057,24,2,49.910706
54,1,2,436.0667,2,2,57.60231,12,2,1.54,4,1,0,9,1,0,10,1,0,11,2,1.595506,14,2,1,18,2,768.403751,19,2,64.128659,23,2,470.60851,24,2,51.330989
55,1,2,452.5111,2,2,59.40968,12,2,1.55,4,1,0,9,1,0,10,1,0,11,2,1.606742,14,2,1,18,2,804.868352,19,2,66.386632,23,2,500.874926,24,2,52.686516
56,1,2,466.241,2,2,60.96815,12,2,1.56,4,1,0,9,1,0,10,1,0,11,2,1.617978,14,2,1,18,2,841.332954,19,2,68.644606,23,2,529.129932,24,2,53.855372
57,1,2,483.8348,2,2,63.18038,12,2,1.57,4,1,0,9,1,0,10,1,0,11,2,1.629213,14,2,1,18,2,877.797555,19,2,70.90258,23,2,558.18566,24,2,55.514541
58,1,2,503.1843,2,2,65.56533,12,2,1.58,4,1,0,9,1,0,10,1,0,11,2,1.640449,14,2,1,18,2,914.262157,19,2,73.160553,23,2,588.083628,24,2,57.303255
59,1,2,522.7799,2,2,67.97952,12,2,1.59,4,1,0,9,1,0,10,1,0,11,2,1.651685,14,2,1,18,2,950.726758,19,2,75.418527,23,2,619.623012,24,2,59.113898
60,1,2,616.9946,2,2,70.615,12,2,1.6,4,1,0,9,1,0,10,1,0,11,2,1.662921,14,2,1,18,2,987.19136,19,2,77.6765,23,2,652.160115,24,2,61.09051
61,1,2,637.3271,2,2,72.87743,12,2,1.61,4,1,0,9,1,0,10,1,0,11,2,1.674157,14,2,1,18,2,1074.505292,19,2,81.317826,23,2,685.428224,24,2,62.787332
62,1,2,659.6903,2,2,75.3163,12,2,1.62,4,1,0,9,1,0,10,1,0,11,2,1.685393,14,2,1,18,2,1161.819224,19,2,84.959153,23,2,725.285998,24,2,64.616485
63,1,2,682.2833,2,2,77.77995,12,2,1.63,4,1,0,9,1,0,10,1,0,11,2,1.696629,14,2,1,18,2,1249.133156,19,2,88.600479,23,2,766.455168,24,2,66.464216
64,1,2,711.7287,2,2,80.84824,12,2,1.64,4,1,0,9,1,0,10,1,0,11,2,1.707865,14,2,1,18,2,1336.447088,19,2,92.241806,23,2,808.564929,24,2,68.765437
65,1,2,734.9008,2,2,83.39035,12,2,1.65,4,1,0,9,1,0,10,1,0,11,2,1.719101,14,2,1,18,2,1423.76102,19,2,95.883132,23,2,857.394435,24,2,70.672019
66,1,2,753.9569,2,2,85.24774,12,2,1.66,4,1,0,9,1,0,10,1,0,11,2,1.730337,14,2,1,18,2,1511.074952,19,2,99.524458,23,2,899.702297,24,2,72.065065
67,1,2,829.3079,2,2,89.40919,12,2,1.67,4,1,0,9,1,0,10,1,0,11,2,1.741573,14,2,1,18,2,1598.388884,19,2,103.165785,23,2,943.454358,24,2,75.186151
68,1,2,855.3966,2,2,92.12469,12,2,1.68,4,1,0,9,1,0,10,1,0,11,2,1.752809,14,2,1,18,2,1685.702816,19,2,106.807111,23,2,987.485571,24,2,77.222775
69,1,2,879.7074,2,2,94.70249,12,2,1.69,4,1,0,9,1,0,10,1,0,11,2,1.764045,14,2,1,18,2,1773.016748,19,2,110.448438,23,2,1032.847836,24,2,79.156128
70,1,2,960.8343,2,2,97.48067,12,2,1.7,4,1,0,9,1,0,10,1,0,11,2,1.775281,14,2,1,18,2,1860.33068,19,2,114.089764,23,2,1078.628975,24,2,81.23976
71,1,2,987.2563,2,2,100.11726,12,2,1.71,4,1,0,9,1,0,10,1,0,11,2,1.786517,14,2,1,18,2,1947.644612,19,2,117.73109,23,2,1125.08591,24,2,84.917177
