ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	怪物说明	类型	描述	安全等级	服务器脚本	战斗Config	精英词缀	AI	是否AI校验	装备1	装备2	会游泳	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	是否离线重置	不在指定天气下出生	特性组ID	联机动态属性ID	外观	生物大类ID	安全检测	战斗音乐	entityBudget档位
21010101	丘丘人	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01_Remote	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01_Remote	4001	13.584	22.608	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	丘丘人	1	空手	0		ConfigMonster_Hili_None_01		sentry02	1				22010010	60	0	0	0	0	22010010					21010101	1		10101		1	8
21020101	木盾丘丘暴徒	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield_Remote	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield_Remote	4001	40.752	30.144	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	木盾丘丘暴徒	1	木盾	1		ConfigMonster_Brute_None_Shield		scout01			50004012		22010010	75	22010010	50	22010010	25	22010030			1		21020101	1		10201		2	4
21020201	火斧丘丘暴徒	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe_Remote	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe_Remote	4001	40.752	60.288	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	火斧丘丘暴徒	1	火斧	1		ConfigMonster_Brute_None_Axe	2001	scout01		50004013			22010010	75	22010010	50	22010010	25	22010030			1		21020201	1		10202		2	4
21020202	(test)火斧丘丘暴徒-强攻强化	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe_Remote	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe_Remote	4001	40.752	60.288	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	火斧丘丘暴徒-强攻强化	1	强攻强化	1		ConfigMonster_Brute_None_Axe	2001,5001	scout01		50004013			22010010	75	22010010	50	22010010	25	22010030			1		21020201	1		10202		2	4
21020301	岩盾丘丘暴徒	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield_Remote	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield_Remote	4001	40.752	30.144	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	岩盾丘丘暴徒	1	岩盾	1		ConfigMonster_Brute_None_Shield		scout01			50004022		22010010	75	22010010	50	22010010	25	22010030			1		21020101	1		10203		2	4
21020401	丘丘霜铠王	ART/Char/Monster/Monster_Brute_Ice_None/Monster_Brute_Ice_None	ART/Char/Monster/Monster_Brute_Ice_None/Monster_Brute_Ice_None_Remote	ART/Char/Monster/Monster_Brute_Ice_None/Monster_Brute_Ice_None	ART/Char/Monster/Monster_Brute_Ice_None/Monster_Brute_Ice_None_Remote	4001	122.256	150.72	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.7	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.5	0	丘丘霜铠王	1		1		ConfigMonster_Brute_Ice_None		scout01					22010050	75	22010050	50	22010050	25	22010050			1		21020401	1		10204	1	4	2
21020501	丘丘岩盔王	ART/Char/Monster/Monster_Brute_Rock_None/Monster_Brute_Rock_None	ART/Char/Monster/Monster_Brute_Rock_None/Monster_Brute_Rock_None_Remote	ART/Char/Monster/Monster_Brute_Rock_None/Monster_Brute_Rock_None	ART/Char/Monster/Monster_Brute_Rock_None/Monster_Brute_Rock_None_Remote	4001	122.256	113.04	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.7	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.5	0	丘丘岩盔王	1		1		ConfigMonster_Brute_Rock_None		scout01					22010050	75	22010050	50	22010050	25	22010050			1		21020501	1		10205	1	4	2
21020601	冰盾丘丘暴徒	ART/Char/Monster/Monster_Brute_Ice_Shield/Monster_Brute_Ice_Shield	ART/Char/Monster/Monster_Brute_Ice_Shield/Monster_Brute_Ice_Shield_Remote	ART/Char/Monster/Monster_Brute_Ice_Shield/Monster_Brute_Ice_Shield	ART/Char/Monster/Monster_Brute_Ice_Shield/Monster_Brute_Ice_Shield_Remote	4001	40.752	30.144	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	冰盾丘丘暴徒	1	冰盾	1		ConfigMonster_Brute_Ice_Shield		scout01			50004054		22010010	75	22010010	50	22010010	25	22010030			1		21020101	1		10206		2	4
21020701	雷斧丘丘暴徒	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe_Remote	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe_Remote	4001	40.752	60.288	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	雷斧丘丘暴徒	1	雷斧	1		ConfigMonster_Brute_Electric_Axe		scout01		50004071			22010010	75	22010010	50	22010010	25	22010030			1		21020701	1		10207		2	4
21020703	雷斧丘丘暴徒-强攻强化	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe_Remote	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe	ART/Char/Monster/Monster_Brute_Electric_Axe/Monster_Brute_Electric_Axe_Remote	4001	40.752	60.288	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.3	0	雷斧丘丘暴徒-强攻强化	1	强攻强化	1		ConfigMonster_Brute_Electric_Axe	5001	scout01		50004071			22010010	75	22010010	50	22010010	25	22010030			1		21020701	1		10207		2	4
21020801	丘丘雷兜王	ART/Char/Monster/Monster_Brute_Electric_None/Monster_Brute_Electric_None	ART/Char/Monster/Monster_Brute_Electric_None/Monster_Brute_Electric_None_Remote	ART/Char/Monster/Monster_Brute_Electric_None/Monster_Brute_Electric_None	ART/Char/Monster/Monster_Brute_Electric_None/Monster_Brute_Electric_None_Remote	4001	122.256	150.72	500	0	0	0	0.1	0.1	0.1	0.7	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.5	0	丘丘雷兜王	1		1		ConfigMonster_Brute_Electric_None		scout01					22010050	75	22010050	50	22010050	25	22010050			1		21020801	1		10208	1	4	2
20010101	草史莱姆	ART/Char/Monster/Monster_Slime_Grass_02/Monster_Slime_Grass_02	ART/Char/Monster/Monster_Slime_Grass_02/Monster_Slime_Grass_02_Remote	ART/Char/Monster/Monster_Slime_Grass_02/Monster_Slime_Grass_02	ART/Char/Monster/Monster_Slime_Grass_02/Monster_Slime_Grass_02_Remote	4001	10.8672	7.536	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.1	0	草史莱姆	1		0		ConfigMonster_Slime_Grass_02		assist01					22010013	60	0	0	0	0	22010013					20010101	1		00101		1	8
