编号	称号编号	名字库编号
00101	1001	1001
00102	1011	1001
00103	1002	1001
00104	1021	1001
00105	1003	1001
00106	1031	1001
00107	1032	1001
00108	1004	1001
00109	1041	1001
00110	1005	1001
00111	1051	1001
00112	1006	1001
00113	1061	1001
00114	1007	1001
00115	1071	1001
00116	1051	1001
00117	1051	1001
00118	1051	1001
00119	1051	1001
00201	1201	1201
00401	2001	2001
00402	2002	2002
00403	2003	2003
00404	2004	2004
00405	2005	2005
00406	2006	2006
00407	2007	2007
00501	2201	2201
00502	2221	2221
00503	2222	2221
00504	2223	2221
00505	2224	2221
00506	2225	2221
00507	2226	2221
00508	2227	2221
00509	2228	2221
00601	1111	1111
00602	1112	1111
00603	1113	1111
00604	1114	1111
00605	1115	1111
00606	1116	1111
00607	1117	1111
00701	2202	2202
10101	3001	3001
10102	3001	3001
10103	3001	3001
10104	3011	3001
10105	3011	3001
10106	3001	3001
10107	3001	3001
10109	3011	3001
10110	3011	3001
10112	3001	3001
10113	3001	3001
10114	3001	3001
10115	3090	3090
10116	3001	3001
10201	3101	3101
10202	3102	3101
10203	3103	3101
10204	3112	3112
10205	3111	3111
10206	3104	3101
10207	3105	3101
10208	3113	3113
10301	3201	3201
10302	3202	3202
10303	3203	3203
10304	3204	3204
10305	3205	3205
10306	3206	3206
10401	3205	3205
10402	3206	3206
20101	4001	4001
20102	4002	4001
20103	4003	4001
20104	4004	4001
20201	4011	4011
20202	4011	4011
20301	4021	4021
20302	4022	4022
20401	4031	4031
20402	4031	4031
20501	4032	4031
20502	4032	4031
20601	4041	4041
20701	4051	4051
20702	4051	4052
20703	4051	4053
20801	4061	4061
20802	4061	4061
20901	123	4031
21001	4061	4061
30101	5111	5001
30102	5112	5001
30103	5121	5001
30104	5101	5001
30105	5122	5001
30106	5102	5001
30201	5001	5001
30301	5002	5002
30401	5003	5002
30501	5004	5002
40101	6001	6001
40102	6002	6002
40103	6003	6003
40104	6004	6004
40201	6011	6011
40202	6012	6011
40203	6013	6011
40204	6014	6011
40211	6101	6101
40301	6005	6005
40302	6006	6005
40303	6007	6007
40401	6111	6111
40402	6112	6111
40403	6113	6111
40501	6121	6121
50101	7005	7005
50102	7001	7001
50103	7121	7001
50104	7122	7001
50105	7123	7001
50106	7124	7001
50107	7111	7001
50201	7006	7006
50202	7002	7001
50301	7007	7007
50302	7003	7001
50303	7112	7001
50401	7008	7008
50501	7011	7011
50502	7012	7011
50503	7151	7151
50504	7152	7151
50505	7153	7151
50601	7131	7001
50701	7132	7001
50702	7006	7006
50801	7141	7141
50802	7142	7141
50803	7143	7141
50804	7146	7151
50901	7201	7201
50902	10018	7201
50903	10019	7201
50904	10020	7201
51001	7144	7141
51002	7145	7141
51003	7147	7147
51004	7148	7148
51101	7335	7335
51102	7334	7334
51103	7148	7148
51104	7148	7148
52101	7301	7301
52102	7302	7301
52103	7303	7301
52104	7304	7301
52105	7305	7301
52106	7201	7001
53101	7311	7311
53102	7321	7321
53103	7331	7331
54101	7332	7332
54102	7333	7333
54103	7331	7331
54104	7331	7331
60101	2101	2101
60102	2102	2101
60103	2103	2101
60201	2111	2111
60202	2112	2112
60203	2113	2113
60301	8001	8001
60401	8002	8002
60501	8003	8003
60502	8003	8003
60503	8003	8003
60504	8003	8003
60506	8004	8004
60507	8005	8004
60508	8006	8004
60509	8004	8004
60510	8005	8004
60511	8006	8004
60601	1101	1101
60602	1102	1102
60603	1103	1103
60801	8011	10001
60901	8021	8021
60902	8022	8021
60903	8023	8021
60904	8024	8022
60905	8025	8022
60906	8026	8022
60907	8027	8023
60908	8028	8023
60909	8029	8023
60910	8030	8023
61001	8011	10001
61002	8011	10001
61003	8011	10001
61004	8011	10001
61005	8011	10001
61101	8041	8041
61201	8031	8031
61202	8032	8031
61203	8033	8031
61204	8034	8031
61301	8011	10001
90101	101	101
90201	111	111
90301	121	121
90401	131	131
90501	141	141
90601	151	151
90602	153	153
90701	161	161
90801	161	161
