编号	掉落模型	稀有度	怪物模型	是否多态掉落
00101	史莱姆	1	草史莱姆	
00102	大史莱姆	1	大型草史莱姆	
00103	史莱姆	1	风史莱姆	
00104	大史莱姆	1	大型风史莱姆	
00105	史莱姆	1	雷史莱姆	
00106	大史莱姆	1	大型雷史莱姆	
00107	大史莱姆	1	变异雷史莱姆	
00108	史莱姆	1	冰史莱姆	
00109	大史莱姆	1	大型冰史莱姆	
00110	史莱姆	1	水史莱姆	
00111	大史莱姆	1	大型水史莱姆	
00112	史莱姆	1	火史莱姆	
00113	大史莱姆	1	大型火史莱姆	
00114	史莱姆	1	岩史莱姆	
00115	大史莱姆	1	大型岩史莱姆	
00116	魔法生物	5	无相之水召唤物	
00117	魔法生物	5	无相之水召唤物	
00118	魔法生物	5	无相之水召唤物	
00119	魔法生物	5	无相之水召唤物	
00120	魔法生物	5	无相之水召唤物	
00121	魔法生物	5	无相之水召唤物	
00122	魔法生物	5	无相之水召唤物	
00201	元素之核	2	狂风之核	
00401	无相之雷	3	无相之雷	
00402	无相之风	3	无相之风	
00403	无相之岩	3	无相之岩	
00404	无相之水	3	无相之水	
00405	无相之冰	3	无相之冰	
00406	无相之火	3	无相之火	
00407	无相之草	3	无相之草	
00501	纯水精灵	3	纯水精灵	
00502	魔法生物	5	纯水之猪	
00503	魔法生物	5	纯水之鹤	
00504	魔法生物	5	纯水之蟹	
00505	魔法生物	5	纯水之雀	
00506	魔法生物	5	纯水之鸭	
00507	魔法生物	5	纯水之鼠	
00508	魔法生物	5	纯水之蛙	
00509	魔法生物	5	纯水之鹰	
00601	飘浮灵	1	飘浮灵-水	
00602	飘浮灵	1	飘浮灵-岩	
00603	飘浮灵	1	飘浮灵-风	
00604	飘浮灵	1	飘浮灵-冰	
00605	飘浮灵	1	飘浮灵-雷	
00606	飘浮灵	1	飘浮灵-火	
00607	飘浮灵	1	飘浮灵-草	
00701	雷音权现	3	雷音权现	
10101	丘丘人	1	丘丘人	
10102	丘丘人	1	打手丘丘人	
10103	丘丘人	1	盾手丘丘人	
10104	远程丘丘人	1	射手丘丘人	
10105	远程丘丘人	1	火箭丘丘人	
10106	丘丘人	1	爆弹丘丘人	
10107	丘丘人	1	冲锋丘丘人	
10108	丘丘人	1	丘丘人	
10109	远程丘丘人	1	冰箭丘丘人	
10110	远程丘丘人	1	雷箭丘丘人	
10111	丘丘人	1	丘丘人	
10112	丘丘人	1	岩盾丘丘人	
10113	丘丘人	1	冰弹丘丘人	
10114	丘丘人	1	冰盾丘丘人	
10115	丘丘人	1	奇怪的丘丘人空手	
10116	丘丘人	1	雷弹丘丘人	
10201	丘丘暴徒	2	盾墙丘丘暴徒	
10202	丘丘暴徒	2	火斧丘丘暴徒	
10203	丘丘暴徒	2	岩盾丘丘暴徒	
10204	丘丘岩盔王	2	丘丘霜铠王	
10205	丘丘岩盔王	2	丘丘岩盔王	
10206	丘丘暴徒	2	冰盾丘丘暴徒	
10207	丘丘暴徒	2	雷斧丘丘暴徒	
10208	丘丘岩盔王	2	丘丘雷兜王	
10301	丘丘萨满	1	水丘丘萨满	
10302	丘丘萨满	1	草丘丘萨满	
10303	丘丘萨满	1	风丘丘萨满	
10304	丘丘萨满	1	岩丘丘萨满	
10305	丘丘萨满	1	冰丘丘萨满	
10306	丘丘萨满	1	雷丘丘萨满	
20101	深渊法师	2	火深渊法师	
20102	深渊法师	2	冰深渊法师	
20103	深渊法师	2	水深渊法师	
20104	深渊法师	2	雷深渊法师	
20201	深渊使徒	2	深渊使徒·激流	
