称号编号	编辑器可用
101	1
102	1
103	1
111	1
112	1
121	1
122	1
123	1
131	1
141	1
142	1
151	1
152	1
153	1
154	1
155	1
161	1
162	1
1001	
1002	
1003	
1004	
1005	
1006	
1007	
1011	
1021	
1031	
1032	
1041	
1051	
1061	
1071	
1101	
1102	
1103	
1111	
1112	
1113	
1114	
1115	
1116	
1117	
1201	
1202	
2001	
2002	
2003	
2004	
2005	
2006	
2007	
2101	
2102	
2103	
2111	
2112	
2113	
2201	
2202	
2211	1
2221	
2222	
2223	
2224	
2225	
2226	
2227	
2228	
3001	
3011	
3090	
3101	
3102	
3103	
3104	
3105	
3111	
3112	
3113	
3201	
3202	
3203	
3204	
3205	
3206	
4001	
4002	
4003	
4004	
4011	
4021	
4022	1
4031	
4032	
4041	
4051	
4061	
5001	
5002	
5003	
5004	
5101	
5102	
5111	
5112	
5121	
5122	
6001	
6002	
6003	
6004	
6005	
6006	
6007	
6011	
6012	
6013	
6014	
6101	
6111	
6112	
6113	
6121	
7001	
7002	
7003	
7004	
7005	1
7006	1
7007	1
7008	1
7011	
7012	
7111	
7112	
7121	
7122	
7123	
7124	
7131	
7132	
7141	
7142	
7143	
7144	
7145	
7146	
7147	
7148	
7151	
7152	
7153	
7201	
7301	
7302	
7303	
7304	
7305	
7311	
7321	
7331	
7332	
7333	
7334	
7335	
8001	
8002	
8003	
8004	
8005	
8006	
8011	
8021	
8022	
8023	
8024	
8025	
8026	
8027	
8028	
8029	
8030	
8031	
8032	
8033	
8034	
8041	
10001	1
10002	1
10003	1
10004	1
10005	1
10006	1
10007	1
10008	1
10009	1
10010	1
10011	1
10012	1
10013	1
10014	1
10015	1
10016	1
10017	1
10018	1
10019	1
10020	1
10021	1
10022	1
10023	1
10024	1
10025	1
10026	1
10027	1
10028	1
10029	1
10030	1
10031	1
10032	1
10033	1
10034	1
10035	1
10036	1
10037	1
10038	1
10039	1
10040	1
10041	1
10042	1
10043	1
10044	1
10045	1
10046	1
10047	1
10048	1
10049	1
10050	1
10051	1
10052	1
10053	1
10054	1
10055	1
10056	1
10057	1
10058	1
10059	1
10060	1
10061	1
10062	1
10063	1
10064	1
10065	1
10067	1
10068	1
10069	1
10070	1
10071	1
10072	1
10073	1
10074	1
10075	1
10076	1
10077	1
10078	1
10079	1
10080	1
10081	1
10082	1
10083	1
10084	1
10085	1
10086	1
10087	1
10088	1
10089	1
10090	1
10091	1
10092	1
10093	1
10094	1
10095	1
10096	1
10097	1
10098	1
10099	1
10100	1
10101	1
10102	1
10103	1
10104	1
10105	1
10106	1
10108	1
10109	1
10110	1
10111	1
10112	1
10113	1
10114	1
10115	1
10116	1
10117	1
10118	1
10119	1
10120	1
10121	1
10122	1
10123	1
10124	1
10125	1
10126	1
10127	1
10128	1
10129	1
10130	1
10131	1
10132	1
10133	1
10134	1
10135	1
10136	1
10137	1
10138	1
10139	1
10140	1
10141	1
10142	1
10143	1
10144	1
10145	1
10146	1
10147	1
10148	1
