ID,MpPlayId,结算类型,结算参数1,结算参数2,结算参数3,客户端同步值,客户端同步值参数,提示标题$text_name_mpchallengetitle,提示描述$text_name_mpchallenge,提示格式$text_name_mpchallengestyle,展示内容,优先级
1,1,1,2010102,,,1,,,(test)翻牌成就测试,,,99
3001,3,2,3010101,1,,1,,破冰的勇士,此次挑战中，击败了的敌人数量最多,{0},,80
3002,3,1,3010102,,,1,,霜之心,此次挑战中，击败了5名敌人,,,50
3003,3,1,3010103,,,1,,冰冷之血,此次挑战中，击败了10名敌人,,,60
3004,3,1,3010104,,,2,AVATAR_ICESHIELD_KILL_COUNT,栽种者,此次挑战中，通过击碎冬之种，创造了1个护罩,,,50
3005,3,1,3010105,,,2,AVATAR_ICESHIELD_KILL_COUNT,铸冰为盾,此次挑战中，通过击碎冬之种，创造了2个护罩,,,60
3006,3,1,3010106,,,2,AVATAR_ICESHIELD_KILL_COUNT,雪原的神盾,此次挑战中，通过击碎冬之种，创造了3个护罩,,,70
3007,3,1,3010107,,,2,AVATAR_SPECIALICE_KILL_COUNT,除草者,此次挑战中，粉碎了1个凛冬之棘,,,50
3008,3,1,3010108,,,2,AVATAR_SPECIALICE_KILL_COUNT,剪去旁枝,此次挑战中，粉碎了2个凛冬之棘,,,60
3009,3,1,3010109,,,2,AVATAR_SPECIALICE_KILL_COUNT,神篱的园丁,此次挑战中，粉碎了3个凛冬之棘,,,70
3010,3,1,3010110,,,2,AVATAR_OREDULINSBLOOD_PICK_COUNT,御寒者,此次挑战中，获取了5枚深赤之石,,,50
3011,3,1,3010111,,,2,AVATAR_OREDULINSBLOOD_PICK_COUNT,沸腾之血,此次挑战中，获取了10枚深赤之石,,,60
3012,3,1,3010112,,,2,AVATAR_OREDULINSBLOOD_PICK_COUNT,深赤的使徒,此次挑战中，获取了15枚深赤之石,,,70
3013,3,1,3010113,,,1,,雪原的折枝者,向复生的急冻树降下最后一击,,,99
3014,3,3,133002418,418001,,3,,霜风的驱逐者,此次挑战中，对复生的急冻树造成的伤害最高,{0},,90
3015,3,1,3010114,,,1,,深雪高眠,此次挑战中，不曾击碎任何冬之种,,,1
3016,3,1,3010115,,,1,,凛冬樊笼,此次挑战中，不曾粉碎任何凛冬之棘,,,1
4001,4,1,2040401,,,2,ACT_OCEANID_Use_Lift,鲑鱼洄游传说,此次挑战中，使用过间歇激流来回避攻击。,{0},,30
4002,4,1,2040402,,,2,ACT_OCEANID_Use_Lift,静水流深,此次挑战中，没有使用过间歇激流来回避攻击。,,,30
4003,4,1,2040403,,,2,ACT_OCEANID_Endure_Boss_EX_Skill,水中毒,此次挑战中，被杀生潮涌击中。,{0},,30
4004,4,1,2040404,,,2,ACT_OCEANID_Summon_In_Advance,呼唤暴雨者,此次挑战中，主动靠近引出了纯水动物。,{0},,30
4005,4,1,2040405,,,2,ACT_OCEANID_FallingAttack_Crab,埃斯库罗斯悲剧,此次挑战中，使用下落攻击杀死过纯水之蟹。,{0},,30
4006,4,3,133102112,112011,,3,,以理服人,此次挑战中，对洛蒂娅造成的伤害最高。,{0},,40
4007,4,1,2040406,,,1,,征服净水,向洛蒂娅降下最后一击。,,,40
4008,4,4,133102112,112011,,3,,纯水的屠户,此次挑战中，击败最多的纯水动物。,{0},,30
4009,4,4,133102112,112011,0,3,,保护水资源,此次挑战中，没有击败任何纯水动物。,,,20
4010,4,3,133102112,112011,0,3,,真的只是谈谈,此次挑战中，对洛蒂娅造成的伤害最低。,{0},,20
4011,4,1,2040407,,,2,ACT_OCEANID_Endure_Boss_EX_Skill,慢性水中毒,此次挑战中，被杀生潮涌击中两次。,{0},,32
4012,4,1,2040408,,,2,ACT_OCEANID_Endure_Boss_EX_Skill,急性水中毒,此次挑战中，被杀生潮涌击中三次。,{0},,33
