CondId	默认激活	通知客户端	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	[条件]5类型	[条件]5参数	[生效执行]1类型	[生效执行]1参数	[生效执行]2类型	[生效执行]2参数	[生效执行]3类型	[生效执行]3参数	[生效执行]4类型	[生效执行]4参数	[生效执行]5类型	[生效执行]5参数	[失效执行]1类型	[失效执行]1参数	[失效执行]2类型	[失效执行]2参数	[失效执行]3类型	[失效执行]3参数	[失效执行]4类型	[失效执行]4参数	[失效执行]5类型	[失效执行]5参数	生效一次
10011	1		1	1	0									3	4000100,4000101,4000601			1	150	1	151	6	301001009	4	40001,40006	2	150	2	151					
10013	1		1	1	1									3	4000201									4	40002									
10014	1		1	1	2									3	4000301									4	40003									
10015	1		1	1	3									3	4000401									4	40004									
10016	1		1	1	4									3	4000501									4	40005									
10017														6	301001008																			
10018														6	301001003	5	133104474																	
10019														6	301001002	5	133104006																	
10020														6	301001005	5	133106144																	
10021														6	301001006																			
500101	1		1	12	1	14	16							6	305001001	3	4091101,4091104							4	40911									
500102	1		1	12	1	4	4091105							7	1									8	1									
500103	0													5	133003151																			
5003001	1	1		8																														
5003002	1	1		9																														
5003101	1	1	1			7	4100101							6	305003001																			
5003102	1	1	1	6	305003001,1003;305003001,1005;305003001,1007;305003001,1009;305003001,1011;305003001,1013	7	4100102																											
5003103	1	1	1	6	305003001,1005;305003001,1007;305003001,1009;305003001,1011;305003001,1013	7	4100103																											
5003104	1	1	1	6	305003001,1007;305003001,1009;305003001,1011;305003001,1013	7	4100104																											
5003105	1	1	1	6	305003001,1009;305003001,1011;305003001,1013	7	4100105																											
5003106	1	1	1	6	305003001,1011;305003001,1013	7	4100106																											
5003107	1	1	1	6	305003001,1013	7	4100107																											
5003108	1													6	305003001																			
5012001	1	1		8																														
5012002	1	1		9																														
5012003	1			12	1									17	133004062									18	133004062									
5012004	1	1		7	4122001																													
2001001	1	1	1	12	1	13	15	14	20					3	4111101	6	302001001,302001002,302001003,302001041,302001042,302001043							4	41111,41112,41113,41114,41120,41122,41135,41130,41123,41124,41131,41127,41126									
2001002	1		1	12	3	13	15							3	4111200																			
2001003	1		1	12	8	13	15							3	4111301																			
2001004	1		1	12	11	13	15							3	4111401																			
2001101	0													6	302001901																			
2001102	0													6	302001902																			
2001103	0													6	302001903																			
2001104	0													6	302001006																			
2001105	0													6	302001010																			
2001106	0													6	302001009																			
2001107	0													6	302001011																			
2001108	0													6	302001018,302001019																			
2001109	0													6	302001904																			
2001110	0													5	302001901,302001006,302001010																			
2001111	0													5	302001902,302001009,302001011																			
2001112	0													5	302001018,302001019																			
2001113	0													5	302001904																			
2001114	1			4	4111307									10	2																			
2001115	0													6	302001144																			
2001116	0													5	302001144																			
2001301	1		1	12	1	4	4111114	13	15					9	1	6	302001005,302001012,302001013	3	4112009,4112247,4113501															
2001311	1		1	12	2	4	4111114	13	15							6	302001007,302001014,302001015																	
