ID	观察者WatcherID	教程ID	活动ID
2014001		1167	2014
2014002		1178	2014
2014003		1169	2014
2014004		1170	2014
2014007		1176	2014
2014008		1177	2014
2014009		1179	2014
2014010		1181	2014
2014011		1182	2014
2014012		1185	2014
2014013		1188	2014
2014014		1189	2014
2014015		1190	2014
2014016		1186	2014
2014017		1187	2014
2018001		932	2018
2018005		917	2018
2018006		919	2018
2018007		920	2018
2018008		921	2018
2018009		922	2018
2018010		923	2018
2018011		924	2018
2018012		925	2018
2018013		926	2018
2018014		927	2018
2018015		928	2018
2018016		918	2018
2018017		929	2018
2018018		930	2018
2018019		931	2018
