排期id	开始时间	结束时间	活动id	允许快速开启	快速开启前置父任务ID组	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	活动归属版本
1	2020-04-01 04:00:00	2020-04-16 04:00:00	1001												
5001001	2020-06-02 04:00:00	2020-07-09 04:00:00	5001				1	19	2	38406					0.9.5
5002001	2020-05-18 04:00:00	2020-07-18 04:00:00	5002			1	2	2010001							1.0.0
5002002	2020-07-20 04:00:00	2020-08-18 04:00:00	5002			1	2	2010001							1.0.0
5002003	2020-11-16 04:00:00	2020-11-30 04:00:00	5002			1	2	2010001							1.1.0
5002004	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.1.0
5002005	2020-11-16 04:00:00	2020-11-30 04:00:00	5002			1	2	2010001							1.2.0
5002006	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.2.0
5002007	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.3.0
5002008	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.3.0
5002009	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.4.0
5002010	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.4.0
5002011	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.3.0
5002012	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.5.0
5002013	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.5.0
5002014	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.6.0
5002015	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							1.6.0
5002016	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.0.0
5002017	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.0.0
5002018	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.1.0
5002019	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.1.0
5002020	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.2.0
5002021	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.2.0
5002022	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.3.0
5002023	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.3.0
5002024	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.4.0
5002025	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.4.0
5002026	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.5.0
5002027	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.5.0
5002028	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.6.0
5002029	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.6.0
5002030	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.7.0
5002031	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.7.0
5002032	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.8.0
