分数奖励ID	活动ID	完成奖励RewardID	分数
5023001	5023	3014001	300
5023002	5023	3014002	600
5023003	5023	3014003	900
5023004	5023	3014004	1200
5023005	5023	3014005	1500
5023006	5023	3014006	1800
5023007	5023	3014007	2100
5023008	5023	3014008	2400
5023009	5023	3014009	2700
5023010	5023	3014010	3000
5023011	5023	3014011	3400
5023012	5023	3014012	3800
5023013	5023	3014013	4200
5023014	5023	3014014	4600
5023015	5023	3014015	5000
5023016	5023	3014016	5500
5023017	5023	3014017	6000
5111001	5111	3014001	200
5111002	5111	3014002	400
5111003	5111	3014003	600
5111004	5111	3014004	800
5111005	5111	3014005	1000
5111006	5111	3014006	1200
5111007	5111	3014007	1500
5111008	5111	3014008	1800
5111009	5111	3014009	2100
5111010	5111	3014010	2400
5111011	5111	3014011	2700
5111012	5111	3014012	3000
5111013	5111	3014013	3400
5111014	5111	3014014	3800
5111015	5111	3014015	4200
5111016	5111	3014016	4600
5111017	5111	3014017	5000
5111018	5111	3014018	5500
5111019	5111	3014019	6000
