ID	活动类型	玩法持续时间
1001	1	
2001	1100	
5001	2	
5002	4	
5003	3	
50001	6	
50002	6	
50003	6	
10001	5	
10002	5	
10003	5	
10004	5	
10010	5	
101	7	
5004	8	
5006	9	
10005	5	
10006	5	
10007	5	
10011	5	
10012	5	
10013	5	
10014	5	
5007	10	
3001	1200	
5008	8	
5009	8	
5010	8	
5011	1204	
5012	1205	
6001	1203	
5014	1202	
5015	8	
8001	1201	
5016	1300	7
5017	1301	
2002	1302	18
6002	1501	
6003	1404	
5018	8	
5019	1402	
2003	1400	17
5020	1403	
5021	1405	
2004	1502	17
5022	1503	
5023	1504	14
5024	1505	10
5025	8	
5026	1506	
5027	1507	
2005	1600	21
5028	1405	
5029	8	
5030	1601	
5031	1202	
5032	1603	
5033	1602	
6005	1604	
6006	2004	
5034	1402	10
5035	1204	
2006	2001	18
5036	2003	
5037	2002	
5038	8	
5039	2005	
5040	2102	10
5041	2103	10
2007	2101	18
5042	2104	
5043	2105	
5044	1301	
5045	8	
5046	8	
5047	2200	6
5048	1405	
2008	2201	18
5049	2203	14
5050	2202	
2009	2301	18
5051	2302	13
5052	2204	
5053	1502	10
5054	1503	
2010	2402	18
5055	2401	10
5056	1405	
5057	1405	
5058	2400	10
5059	8	
5060	2100	
5061	2100	
2011	2501	40
5062	2502	11
5063	2100	
5064	2100	
5065	2503	19
5066	2602	24
5067	2601	14
2012	2600	18
5068	2603	10
5069	8	
5070	8	
5071	2100	
5072	2202	21
5073	1405	
5074	1405	
5075	2100	
5076	2102	10
5077	2100	
5078	8	
5079	2702	12
5080	2703	12
2013	2704	21
5081	8	
2014	2801	39
5082	2802	10
5083	2803	11
5084	1602	39
5085	1402	19
5086	2100	
5087	3001	11
2015	3000	35
5088	8	
5089	2100	
5090	3002	18
5091	3003	17
5092	8	
5093	2100	
2016	3103	18
5094	2102	14
5095	3101	14
5096	3102	10
5097	1405	
2017	3201	18
5099	3202	
5100	8	
5101	8	
5102	2100	
5103	2100	
5104	2100	
5105	2100	
5106	2100	
5107	3203	
5108	2603	19
5109	2100	
5110	2100	
5111	1504	14
5112	3301	14
5113	8	
5114	1503	14
2018	3300	
5115	2100	
5116	3403	99
2019	3401	99
5117	3400	99
5118	3402	19
