ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	JSON名称	JSON路径文件名	能否战斗	能否移动	能否发声	是否常驻	角色npc初见分组
1	(test)蒙德城主	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
2	(test)哥哥	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	StandOnly		0	0			
3	(test)妹妹	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
4	(test)塔主	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_02				2001	StandOnly		0	0			
5	(test)仆人	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	CanMove01		0	1			
6	(test)东北村长	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
7	(test)西北村长	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	StandOnly		0	0			
8	(test)西南村长	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_02				2001	StandOnly		0	0			
9	(test)正南村长	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
10	(test)晖哥	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
11	(test)果酱	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	StandOnly		0	0			
12	(test)汪汪1	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_02				2001	StandOnly		0	0			
13	(test)汪汪2	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
14	(test)汪汪3	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
15	(test)汪汪4	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	StandOnly		0	0			
21	(test)卫兵	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
22	(test)卫兵	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
23	(test)卫兵	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	StandOnly		0	0			
24	(test)卫兵	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_02				2001	StandOnly		0	0			
25	(test)路人	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
26	(test)路人	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
30	(test)补给兑换	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	StandOnly		0	0			
31	(test)武器兑换	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_02				2001	StandOnly		0	0			
32	(test)防具兑换	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
33	(test)饰品兑换	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
34	(test)酱油1	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_01				2001	StandOnly		0	0			
35	(test)酱油2	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	StandOnly		0	0			
36	(test)温迪观众1	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	CanMove01		0	1			
37	(test)温迪观众2	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_02				2001	CanMove01		0	1			
79	(test)阿三	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_02				2001	CanMove01		0	1	1		
80	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
81	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
82	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
83	(test)受伤的士兵	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
84	(test)受伤的士兵	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
85	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
86	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
87	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
88	(test)困扰的寻宝者	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Male_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
89	(test)爱丽丝	ART/Char/NPC/NPC_Temp/NPC_Temp_Mengde_Female_Sample_01				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1			
