供奉系统ID	等级	是否为最大等级	[升级消耗道具]1ID	[升级消耗道具]1数量	[升级消耗道具]2ID	[升级消耗道具]2数量	奖励ID	[升级执行行为]1类型	[升级执行行为]1参数	[升级执行行为]2类型	[升级执行行为]2参数	是否自动领取奖励
1	1						311101					
1	2		107010	10			311102			3	133008191	
1	3		107010	10			311103			3	133008191	
1	4		107010	10			311104			3	133008191	
1	5		107010	10			311105			3	133008191	
1	6		107010	10			311106			3	133008191	
1	7		107010	10			311107			3	133008191	
1	8		107010	10			311108	1	ROUTINE_SNOW_MOUNTAIN	3	133008191	
1	9		107010	10			311109			3	133008191	
1	10		107010	10			311110			3	133008191	
1	11		107010	10			311111			3	133008191	
1	12		107010	10			311112	2	ROUTINE_SNOW_MOUNTAIN	3	133008191	
2	0											
2	1		304	25			211001					
2	2		304	25			211002					
2	3		304	25			211003	4	100002,2	3	133220200	
2	4		304	25			211004					
2	5		304	25			211005					
2	6		304	25			211006					
2	7		304	25			211007	4	100002,3	3	133220200	
2	8		304	25			211008					
2	9		304	25			211009					
2	10		304	25			211010	4	100002,4	3	133220200	
2	11		304	25			211011					
2	12		304	25			211012					
2	13		304	25			211013	4	100002,5	3	133220200	
2	14		304	25			211014					
2	15		304	25			211015					
2	16		304	25			211016					
2	17		304	25			211017	4	100002,6	3	133220200	
2	18		304	25			211018					
2	19		304	25			211019					
2	20		304	25			211020	4	100002,7	3	133220200	
2	21		304	25			211021					
2	22		304	25			211022					
2	23		304	25			211023	4	100002,8	3	133220200	
2	24		304	25			211024					
2	25		304	25			211025					
2	26		304	25			211026					
2	27		304	25			211027	4	100002,9	3	133220200	
2	28		304	25			211028					
2	29		304	25			211029					
2	30	1	304	25			211030	4	100002,10	3	133220200	
2	31		304	25			211031					
2	32		304	25			211032					
2	33		304	25			211033	4	100002,11	3	133220200	
2	34		304	25			211034					
2	35		304	25			211035					
2	36		304	25			211036					
2	37		304	25			211037	4	100002,12	3	133220200	
2	38		304	25			211038					
2	39		304	25			211039					
2	40		304	25			211040	4	100002,13	3	133220200	
2	41		304	25			211041					
2	42		304	25			211042					
2	43		304	25			211043	4	100002,14	3	133220200	
2	44		304	25			211044					
2	45		304	25			211045					
2	46		304	25			211046					
2	47		304	25			211047	4	100002,15	3	133220200	
2	48		304	25			211048					
2	49		304	25			211049					
2	50		304	25			211050					
3	0											
3	1		107016	8			312001	4	100003,1			1
3	2		107016	8	101644	1	312002	4	100003,2			1
3	3		107016	8			312003	4	100003,3			1
3	4		107016	8			312004	4	100003,4			1
3	5		107016	8			312005	4	100003,5			1
3	6		107016	8	101644	1	312006	4	100003,6			1
3	7		107016	8			312007	4	100003,7			1
3	8		107016	8	101644	1	312008	4	100003,8			1
3	9		107016	8			312009	4	100003,9			1
3	10		107016	8			312010	4	100003,10			1
4	0											
4	1		101692	80			3037101					
4	2		101692	80			3037102					
4	3		101692	80			3037103					
4	4		101692	80			3037104					
4	5		101692	80			3037105					
4	6		101692	100			3037106					
4	7		101692	100			3037107					
4	8		101692	100			3037108					
4	9		101692	100			3037109					
4	10		101692	100			3037110					
4	11		101692	120			3037111					
4	12		101692	120			3037112					
4	13		101692	120			3037113					
4	14		101692	120			3037114					
4	15		101692	120			3037115					
5	0											
5	1		303	35			211101	3	133301220			
5	2		303	35			211102	3	133301220			
5	3		303	35			211103	3	133301220			
5	4		303	35			211104	3	133301220			
5	5		303	35			211105	3	133301220			
5	6		303	35			211106	3	133301220			
5	7		303	35			211107	3	133301220			
5	8		303	35			211108	3	133301220			
5	9		303	35			211109	3	133301220			
5	10		303	35			211110	3	133301220			
5	11		303	35			211111	3	133301220			
5	12		303	35			211112	3	133301220			
5	13		303	35			211113	3	133301220			
5	14		303	35			211114	3	133301220			
5	15		303	35			211115	3	133301220			
5	16		303	35			211116	3	133301220			
5	17		303	35			211117	3	133301220			
5	18		303	35			211118	3	133301220			
5	19		303	35			211119	3	133301220			
5	20		303	35			211120	3	133301220			
5	21		303	35			211121	3	133301220			
5	22		303	35			211122	3	133301220			
5	23		303	35			211123	3	133301220			
5	24		303	35			211124	3	133301220			
5	25		303	35			211125	3	133301220			
5	26		303	35			211126	3	133301220			
5	27		303	35			211127	3	133301220			
5	28		303	35			211128	3	133301220			
5	29		303	35			211129	3	133301220			
5	30	1	303	35			211130	3	133301220			
5	31		303	35			211131	3	133301220			
5	32		303	35			211132	3	133301220			
5	33		303	35			211133	3	133301220			
5	34		303	35			211134	3	133301220			
5	35		303	35			211135	3	133301220			
5	36		303	35			211136	3	133301220			
5	37		303	35			211137	3	133301220			
5	38		303	35			211138	3	133301220			
5	39		303	35			211139	3	133301220			
5	40		303	35			211140	3	133301220			
5	41		303	35			211141	3	133301220			
5	42		303	35			211142	3	133301220			
5	43		303	35			211143	3	133301220			
5	44		303	35			211144	3	133301220			
5	45		303	35			211145	3	133301220			
5	46		303	35			211146	3	133301220			
5	47		303	35			211147	3	133301220			
5	48		303	35			211148	3	133301220			
5	49		303	35			211149	3	133301220			
5	50		303	35			211150	3	133301220			
