ID	默认是否开启	客户端能否发起功能开启	条件1类型	条件1参数	条件1参数2	条件2类型	条件2参数	条件2参数2	系统开放界面ID
1	0	1							
2	0	1							
3	1	0							
4	1	0							
10	1	0							
5	1	0							
6	1	0							
7	1	1							
8	0	1							
9	1	1							
11	1	0							
12	1	0							
31	0	0	2	2010001					1
30	0	0	1	2					
37	0	0	1	2					
39	0	0	1	14					
45	1	0							
54	0	0	2	35723					13
2100	0	0	1	7					
13	0	1							
14	0	1							
15	0	1							
16	0	1							
17	0	1							
18	0	1							
19	0	1							
20	0	1							
21	0	1							
22	0	1							
23	0	1							
24	0	1							
25	0	1							
26	0	1							
27	1	0							
28	0	1							
29	1	0							
32	0	1							
33	0	1							
34	0	1							
35	0	1							
36	0	1							
38	0	1							
40	0	1							
41	0	1							
50	0	1							
51	0	1							
59	0	1							
52	0	1							
53	0	0	1	8					11
56	0	1							
58	0	1							
76	0	1							
60	0	1							
61	0	1							
62	0	1							
63	0	1							
64	0	1							
66	0	1							
67	0	1							
68	0	1							
69	0	1							
70	0	1							
71	0	1							
72	0	1							
73	0	1							
74	0	1							
75	0	1							
77	0	1							
78	0	1							
79	0	1							
80	0	1							
81	0	1							
82	0	1							
83	0	1							
84	0	1							
2001	0	1							
2002	0	1							
2003	0	1							
2004	0	1							
2104	0	1							
2105	0	1							
2106	0	1							
1411	0	1							
1412	0	1							
2205	0	1							
2206	0	1							
2400	0	1							
2401	0	1							
2402	0	1							
2210	0	1							
2211	0	1							
2212	0	1							
2601	0	1							
2700	0	1							
2701	0	1							
2702	0	1							
2703	0	1							
2800	0	1							
2704	0	1							
3006	0	1							
3007	0	1							
3100	0	1							
3101	0	1							
3102	0	1							
3103	0	1							
3201	0	1							
3312	0	1							
57	0	0	1	26					17
43	1	1							
1001	1	0							
1002	0	0	1	1		2	31101		
1003	1	0							
1004	0	0	1	5					
1005	0	0	1	5					
1006	0	0	1	13					
1007	1	0							
1008	0	0	1	5					
1009	0	0	1	1		2	31101		
1010	0	0	1	5					
903	0	0	1	1					
901	0	0	1	1					
902	0	0	1	1					
900	0	0	2	2010001					12
1011	0	0	5	2	50	2	31101		
1013	1	1							
3004	0	0	5	5	50	2	31101		
3005	1	1							
1100	0	0				2	2003003		
1103	0	0	1	8					
1101	1	1							
1102	0	0	2	2211102					
1104	0	0	2	39303					
2801	0	0	1	20					
44	1	1							
47	0	0	2	35001					
48	0	0	2	99902					
49	0	0	1	16		2	35001		9
1403	0	0	2	35311					
1200	0	0	2	4000100					2
1201	0	0	2	4000110					
1202	0	0	2	4000104					
1300	0	0	1	1					
1301	0	0	1	20					10
55	1	0							
1401	0	0	2	35802					
1402	0	0	2	39403					
802	0	0	1	25					14
800	0	0	2	7065001					
801	0	0	2	7165001					
803	0	0	2	7265701					
3000	0	0	2	7367301					
1404	0	0	4	1	2				
1405	0	0	4	2	2				
1409	0	0	4	3	2				
3002	0	0	4	4	2				
65	1	0							
1406	0	0	2	7014118					15
1407	0	0	2	7181210					
1408	0	0	1	26					
1410	0	0	2	7066103					19
2200	0	0	3	1025					
2201	0	0	3	70661					
1502	0	0	2	1100811					16
1500	0	0							
1501	0	0	1	28					
1700	0	0	1	10					
1600	0	0	1	45					
1504	0	0	3	71654					
1505	0	1							
2000	0	0	2	201310		1	30		18
1012	0	0	2	1201812					
2600	0	0	2	7103711		1	28		20
3001	0	0	2	7322902					21
1503	0	0	3	71655					
85	0	1							
86	0	1							
2101	0	0	1	2					
2103	0	1							
2102	0	1							
2005	0	1	2	201310					
87	0	1							
88	0	1							
89	0	1							
2500	0	0	1	30					
2403	0	0	2	7217716					
2501	0	1							
91	0	1							
92	0	1							
90	0	1							
3003	0	0	2	7303510					
3300	0	0	2	7066518					22
3301	0	0	6	1					
3302	0	0	6	4					
3303	0	0	6	1					
3304	0	0	2	7066510					
3305	0	0	6	1					
3306	0	0	6	3					
3307	0	0	2	7066510					
3308	0	0	6	2					
3309	0	0	2	7066518					
3310	0	0	6	7					
3200	1	1							
3311	0	0	6	1					
