索引ID,录入字段名称,筛选规则,筛选字段1,筛选字段2,筛选字段3,筛选字段4
1,overdose,1,,,,
2,shenhe_elemental_art,2,Avatar_Shenhe_ElementalArt_Attack_L,UNIQUE_Shenhe_ElementalArt_L_Buff,,
3,shenhe_elemental_art,2,Avatar_Shenhe_ElementalArt_Attack_L,UNIQUE_Shenhe_ElementalArt_L_Talent_Buff,,
4,shenhe_elemental_art,2,Avatar_Shenhe_ElementalArt_Attack_H,UNIQUE_Shenhe_ElementalArt_H_Buff,,
5,shenhe_elemental_art,2,Avatar_Shenhe_ElementalArt_Attack_H,UNIQUE_Shenhe_ElementalArt_H_Talent_Buff,,
6,yunjin_elemental_burst,2,Avatar_Yunjin_ElementalBurst_Buff,UNIQUE_Avatar_Yunjin_ElementalBurst_Buff,,
7,zhongli_permanentskill_2,2,SkillObj_Zhongli_PrimoPillar,PrimoPillar_RockWave,,
8,zhongli_permanentskill_2,2,SkillObj_Zhongli_PrimoPillar,RockResonance,,
9,zhongli_permanentskill_2,2,Avatar_Zhongli_RockShield,RockReunion_Start,,
10,zhongli_permanentskill_2,2,Avatar_Zhongli_GeoOrder,GeoOrder_End,,
11,zhongli_permanentskill_2,2,Avatar_Zhongli_NormalAttack,Attack01,,
12,zhongli_permanentskill_2,2,Avatar_Zhongli_NormalAttack,Attack02,,
13,zhongli_permanentskill_2,2,Avatar_Zhongli_NormalAttack,Attack03,,
14,zhongli_permanentskill_2,2,Avatar_Zhongli_NormalAttack,Attack04,,
15,zhongli_permanentskill_2,2,SkillObj_Zhongli_Attack05,Lance_Attack_Handler,,
16,zhongli_permanentskill_2,2,Avatar_Zhongli_NormalAttack,Attack06,,
17,zhongli_permanentskill_2,3,SkillObj_Zhongli_ExtraAttack,,,
18,zhongli_permanentskill_2,3,Avatar_Zhongli_FallingAnthem,,,
19,zhongli_permanentskill_2,2,Avatar_Zhongli_FallingAnthem,FallingAnthem_LoopDamage,,
