模块名称,类别,是否不限定产出来源,是否一次性,刷新类型,每日产出次数上限,历史产出次数上限,活动产出次数上限,允许产出道具数值用类型,允许产出道具ID列表,每日上限是否不报警
14,1,,1,3,,,,,,
22,1,,,1,,,,,,
15,1,,1,3,,,,,,
16,1,,1,3,,,,,,
23,1,,,1,,,,,,
17,1,,1,3,,,,,,
24,1,,,1,,,,,,
18,1,,1,3,,,,,,
25,1,,,1,,,,,,
19,1,,1,3,,,,,,
20,1,,,3,,,,,,
27,1,,,1,,,,,,
28,1,,,1,4,,,,,
29,1,,,1,1,,,,,
30,1,,,1,10,,,,,
31,1,,,1,,,,,,
53,1,,,1,,,,,,
37,1,,,1,,,,,,
32,1,,,1,1000,,,,,1
33,1,,,1,200,,,,,1
1501,1,,,1,,,,,,
36,1,,,1,,,,,,
34,1,,,1,,,,,,
35,1,,,1,,,,,,
56,1,,,1,,,,,,
58,1,,,1,,,,,,
57,1,,,2,,,,,,
88,1,,,1,,,,,,
98,1,,,1,,,,,,
1603,1,,,1,,,,,,
2001,1,,1,3,,,,,,
2007,1,,,1,288,,,,,
2300,1,,,1,105,,,,,
2303,1,,,1,,,,,,
85,1,,,1,,,,,,
87,1,,,1,,,,,,
26,1,,,1,,,,,,
2104,1,,1,2,,,,,,
2302,1,,,2,,,,,,
2404,1,,1,2,,,,,,
2501,1,,1,2,,,,,,
90,1,,,2,,,,,,
59,1,,,1,,,,,,
1406,1,,,1,,,,,,
97,1,,,2,,,,,,
2204,1,,,2,,,,,,
3,2,,,3,,,,,,
8,2,,,3,,,,,,
7,2,,,3,,,,,,
4,2,,,3,,,,,,
5,2,,,3,,,,,,
6,2,,,3,,,,,,
44,2,,,2,,,,,,
71,2,,,3,,,,,,
11,2,,,3,,,,,,
9,2,,,3,,,,,,
1509,2,,,1,10,,,,,
1510,2,,,1,10,,,,,
10,2,,,3,,,,,,
38,2,,,1,,,,,,
13,2,,,2,,,,,,
45,2,,,2,,,,,,
55,2,,,1,,,,,,
61,2,,,2,,,,,,
72,2,,,3,,,,,,
74,2,,,3,,,,,,
68,2,,,3,,,,,,
69,2,,,3,,,,,,
93,2,,,3,,,,,,
67,2,,,2,,,,,,
73,2,,,3,,,,,,
75,2,,,3,,,,,,
77,2,,,3,,,,,,
78,2,,,3,,,,,,
82,2,,,3,,,,,,
80,2,,,1,,,,,,
81,2,,,1,,,,,,
89,2,,,3,,,,,,
2600,2,,,3,,,,,,
1403,2,,,2,,,,,,
2002,2,,,3,,,,,,
2000,2,,,3,,,,,,
2102,2,,,1,,,,,,
101,2,,,2,,,1,,,
1511,2,,,2,,,1,,,
84,2,,,2,,,,,,
86,2,,,2,,,,,,
12,2,,,2,,,,,,
1407,2,,,2,,,,,,
1503,2,,,2,,,,,,
1601,2,,,2,,,,,,
2003,2,,,2,,,,,,
2004,2,,,2,,,,,,
2101,2,,,2,,,,,,
2200,2,,,2,,,,,,
2201,2,,,2,,,,,,
2301,2,,,2,,,,,,
2402,2,,,2,,,,,,
2403,2,,,2,,,1,,,
2500,2,,,2,,,,,,
2603,2,,,2,,,,,,
2604,2,,,2,,,1,,,
2701,2,,,2,,,,,,
2703,2,,,2,,,,,,
2801,2,,,2,,,,,,
2802,2,,,2,,,1,,,
3000,2,,,2,,,,,,
3001,2,,,2,,,1,,,
3102,2,,,2,,,,,,
3201,2,,,2,,,,,,
3202,2,,,2,,,1,,,
62,2,,,2,,,,,,
63,2,,,2,,,,,,
94,2,,,2,,,8,,,
60,2,,,2,,,,,,
76,2,,,2,,,,,,
83,2,,,2,,,,,,
91,2,,,2,,,,,,
95,2,,,2,,,,,,
99,2,,,2,,,63,,,
100,2,,,2,,,,,,
1402,2,,,2,,,,,,
1404,2,,,2,,,,,,
1405,2,,,2,,,,,,
1502,2,,,2,,,,,,
1504,2,,,2,,,,,,
1505,2,,,2,,,,,,
92,2,,,2,,,,,,
1507,2,,1,3,,,,,,
1605,2,,1,3,,,,,,
1602,2,,,2,,,,,,
1606,2,,,2,,,,,,
1607,2,,,2,,,,,,
2005,2,,,2,,,,,,
2100,2,,,2,,,,,,
2103,2,,,2,,,,,,
2202,2,,,2,,,,,,
2203,2,,,2,,,,,,
2205,2,,,2,,,,,,
2304,2,,,2,,,,,,
2400,2,,,2,,,,,,
2401,2,,,2,,,,,,
2502,2,,,2,,,,,,
2503,2,,,2,,,,,,
2601,2,,,2,,,,,,
2605,2,,,2,,,,,,
2602,2,,,2,,,,,,
2700,2,,,2,,,,,,
2804,2,,,2,,,,,,
2803,2,,,2,,,,,,
3003,2,,,2,,,,,,
3004,2,,,2,,,,,,
3005,2,,,2,,,,,,
3100,2,,,2,,,,,,
3101,2,,,2,,,,,,
3203,2,,,2,,,,,,
3204,2,,,2,,,,,,
1512,3,,,1,,,,家园币,,
1604,3,,,1,,,,好感经验,,
1506,3,,,1,,,,木材,101401#101402#101403#101404#101001#101002,
1508,3,,,1,,,,成品家具,121,
2008,3,,,1,,,,木材,101401#101402#101403#101404#101001#101002,
3002,3,,,1,,,,木材,,
2006,3,,,1,,,,采集物,,
39,3,,,1,,,,采集物#任务道具,,
40,3,,,1,,,,采集物#任务道具#元素神瞳#探索道具,373801#373802#373803#373804#373805#373806#373807#373808#373809#109,
42,3,,,1,,,,任务道具#食谱#采集物#食材加工物,1021#111027,
41,3,,,1,,,,,,
1513,3,,,2,,,,,,
2702,3,,,2,,,,,,
47,3,,,1,,,,角色#武器,,
48,3,,,1,,,,武器#圣遗物#体力#原石#摩拉#扭蛋券#角色#采集物#食材加工物#角色经验书#武器矿石#角色突破材料#天赋书#武器突破材料#圣遗物经验#食物#食谱#合成产物#怪物材料#武器原胚#任务道具#家园辅助道具#商城礼包#武器精炼道具#名片#小道具#小道具图纸#时装# 家具图纸#家具套装图纸#自选道具#成品家具#鱼竿#鱼饵图纸#武器图纸#卡牌道具#家园模组,911#912#913#914#915#916#917,
49,3,,,1,,,,食物,,
50,3,,,1,,,,食材加工物,100061#100084,
51,3,,,1,,,,角色突破材料#天赋书#合成产物#怪物材料#武器突破材料#采集物#食材加工物#任务道具#小道具#武器原胚,,
52,3,,,1,,,,武器#武器矿石#采集物#小道具,,
54,3,,,1,,,,武器#体力#天赋书#角色突破材料#武器突破材料#武器原胚#成品家具,373701#373702#373703,
46,3,,,2,,,,原石#摩拉#扭蛋券#角色经验书#武器矿石#体力#食物#食谱,,
43,3,,,1,,,,摩拉,1014#1023#1067,
2800,3,,,1,,,,任务道具,,
64,3,,,3,,,,月卡#战令#礼包币#原石,,
65,3,,,2,,,,礼包币#原石,,
70,3,,,1,,,,武器矿石#摩拉,,
79,3,,,1,,,,武器矿石,,
96,3,,,1,,,,体力,,
1401,3,,,1,,,,摩拉,,
