等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值
1	1	2	5.367859	2	2	2.02052	12	2	1.01	4	1	0	9	1	0	10	1	0	17	2	2.02052	23	2	5.404888	24	2	2.020524
2	1	2	6.818905	2	2	2.32577	12	2	1.02	4	1	0	9	1	0	10	1	0	17	2	2.32577	23	2	6.867565	24	2	2.32577
3	1	2	8.421231	2	2	2.65371	12	2	1.03	4	1	0	9	1	0	10	1	0	17	2	2.65371	23	2	8.483289	24	2	2.653707
4	1	2	10.17484	2	2	3.00456	12	2	1.04	4	1	0	9	1	0	10	1	0	17	2	3.00456	23	2	10.252208	24	2	3.004556
5	1	2	12.07987	2	2	3.37863	12	2	1.05	4	1	0	9	1	0	10	1	0	17	2	3.37863	23	2	12.174544	24	2	3.378627
6	1	2	14.13796	2	2	3.77619	12	2	1.06	4	1	0	9	1	0	10	1	0	17	2	3.77619	23	2	14.251988	24	2	3.776185
7	1	2	16.34828	2	2	4.19745	12	2	1.07	4	1	0	9	1	0	10	1	0	17	2	4.19745	23	2	16.483804	24	2	4.197452
8	1	2	17.50736	2	2	4.58077	12	2	1.08	4	1	0	9	1	0	10	1	0	17	2	4.58077	23	2	17.65636	24	2	4.580768
9	1	2	19.26782	2	2	4.98102	12	2	1.09	4	1	0	9	1	0	10	1	0	17	2	4.98102	23	2	19.436101	24	2	4.981024
10	1	2	21.09865	2	2	5.39831	12	2	1.1	4	1	0	9	1	0	10	1	0	17	2	5.39831	23	2	21.287471	24	2	5.39831
11	1	2	24.06383	2	2	5.95895	12	2	1.11	4	1	0	9	1	0	10	1	0	17	2	5.95895	23	2	24.350191	24	2	5.958953
12	1	2	27.14657	2	2	6.54609	12	2	1.12	4	1	0	9	1	0	10	1	0	17	2	6.54609	23	2	27.538501	24	2	6.54609
13	1	2	30.34872	2	2	7.16003	12	2	1.13	4	1	0	9	1	0	10	1	0	17	2	7.16003	23	2	30.854608	24	2	7.160032
