ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	怪物说明	类型	描述	安全等级	服务器脚本	战斗Config	精英词缀	AI	是否AI校验	装备1	装备2	会游泳	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	是否离线重置	不在指定天气下出生	特性组ID	联机动态属性ID	外观	生物大类ID	安全检测	战斗音乐	entityBudget档位
35210101	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_Female_Hatchet/Partner_Eremite_Female_Hatchet_01	ART/Char/Partner/Partner_Eremite_Female_Hatchet/Partner_Eremite_Female_Hatchet_01_Remote	ART/Char/Partner/Partner_Eremite_Female_Hatchet/Partner_Eremite_Female_Hatchet_01	ART/Char/Partner/Partner_Eremite_Female_Hatchet/Partner_Eremite_Female_Hatchet_01_Remote	3001	2260.8	1.3584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	17	4	1	7	12	0	0.1	0	镀金旅团-单手斧(森林书)	6				Partner/ConfigPartner_Eremite_Female_Hatchet_01	1049			50004079												1			1	NPC_Quest_Female_Standard_Rana_4198				4
35210301	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_Male_Standard_Pole/Partner_Eremite_Male_Standard_Pole_01	ART/Char/Partner/Partner_Eremite_Male_Standard_Pole/Partner_Eremite_Male_Standard_Pole_01_Remote	ART/Char/Monster/Monster_Eremite_Male_Standard_Pole/Monster_Eremite_Male_Standard_Pole_01	ART/Char/Monster/Monster_Eremite_Male_Standard_Pole/Monster_Eremite_Male_Standard_Pole_01_Remote	3001	16.3008	25.12	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	23	4	24	7	12	0	-0.2	0	镀金NPC - 3.2驻守士兵A	6	须弥主线第三章			ConfigMonster_Eremite_Male_Standard_Pole_01_NoVO	1049			50004080												1			1	Partner_Eremite_Male_Standard_Pole_01				6
35210302	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_Male_Standard_Pole/Partner_Eremite_Male_Standard_Pole_02	ART/Char/Partner/Partner_Eremite_Male_Standard_Pole/Partner_Eremite_Male_Standard_Pole_02_Remote	ART/Char/Monster/Monster_Eremite_Male_Standard_Pole/Monster_Eremite_Male_Standard_Pole_01	ART/Char/Monster/Monster_Eremite_Male_Standard_Pole/Monster_Eremite_Male_Standard_Pole_01_Remote	3001	16.3008	25.12	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	23	4	24	7	12	0	-0.2	0	镀金NPC - 3.2驻守士兵B	6	须弥主线第三章			ConfigMonster_Eremite_Male_Standard_Pole_01_NoVO	1049			50004080												1			1	Partner_Eremite_Male_Standard_Pole_02				6
35210303	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_Male_Standard_Pole/Partner_Eremite_Male_Standard_Pole_03	ART/Char/Partner/Partner_Eremite_Male_Standard_Pole/Partner_Eremite_Male_Standard_Pole_03_Remote	ART/Char/Monster/Monster_Eremite_Male_Standard_Pole/Monster_Eremite_Male_Standard_Pole_01	ART/Char/Monster/Monster_Eremite_Male_Standard_Pole/Monster_Eremite_Male_Standard_Pole_01_Remote	3001	16.3008	25.12	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	23	4	24	7	12	0	-0.2	0	镀金NPC - 3.2驻守士兵C	6	须弥主线第三章			ConfigMonster_Eremite_Male_Standard_Pole_01_NoVO	1049			50004080												1			1	Partner_Eremite_Male_Standard_Pole_03				6
35210401	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_MuscleMan_Gloves/Partner_Eremite_MuscleMan_Gloves_01	ART/Char/Partner/Partner_Eremite_MuscleMan_Gloves/Partner_Eremite_MuscleMan_Gloves_01_Remote	ART/Char/Monster/Monster_Eremite_MuscleMan_Gloves/Monster_Eremite_MuscleMan_Gloves_01	ART/Char/Monster/Monster_Eremite_MuscleMan_Gloves/Monster_Eremite_MuscleMan_Gloves_01_Remote	3001	21.7344	20.096	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	23	4	24	7	12	0	-0.2	0	镀金NPC - 卢森巴博	6	须弥主线第三章			ConfigMonster_Eremite_MuscleMan_Gloves_01_NoVO	1049			50004078	50004081											1			1	Partner_Eremite_MuscleMan_Gloves_01				6
35210501		ART/Char/Partner/Partner_Eremite_MuscleMan_Simitar/Partner_Eremite_MuscleMan_Simitar_01	ART/Char/Partner/Partner_Eremite_MuscleMan_Simitar/Partner_Eremite_MuscleMan_Simitar_01_Remote	ART/Char/Monster/Monster_Eremite_MuscleMan_Simitar/Monster_Eremite_MuscleMan_Simitar_01	ART/Char/Monster/Monster_Eremite_MuscleMan_Simitar/Monster_Eremite_MuscleMan_Simitar_01_Remote	3001	40.752	22	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	23	4	1	7	12	0	0.1	0	NPC - Habachi哈巴奇	6	定制NPC			Partner/ConfigPartner_Eremite_MuscleMan_Simitar_01	1049,5224			50004076												1		25210501	1	Partner_Eremite_MuscleMan_Simitar_01				6
35310101	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_Female_Slim_PushDagger_01/Partner_Eremite_Female_Slim_PushDagger_01	ART/Char/Partner/Partner_Eremite_Female_Slim_PushDagger_01/Partner_Eremite_Female_Slim_PushDagger_01_Remote	ART/Char/Partner/Partner_Eremite_Female_Slim_PushDagger_01/Partner_Eremite_Female_Slim_PushDagger_01	ART/Char/Partner/Partner_Eremite_Female_Slim_PushDagger_01/Partner_Eremite_Female_Slim_PushDagger_01_Remote	3001	4521.6	1.3584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	17	4	23	7	12	0	0.1	0	镀金旅团·沙中净水（黄金梦乡）	6	黄金梦乡WQ			Partner/ConfigPartner_Eremite_Female_Slim_PushDagger_01	1049			50004090	50004091											1		21020201	1					4
35310301	镀金旅团-单手斧	ART/Char/Partner/Partner_Eremite_Male_Standard_Polearm_01/Partner_Eremite_Male_Standard_Polearm_01	ART/Char/Partner/Partner_Eremite_Male_Standard_Polearm_01/Partner_Eremite_Male_Standard_Polearm_01_Remote	ART/Char/Partner/Partner_Eremite_Male_Standard_Polearm_01/Partner_Eremite_Male_Standard_Polearm_01	ART/Char/Partner/Partner_Eremite_Male_Standard_Polearm_01/Partner_Eremite_Male_Standard_Polearm_01_Remote	3001	4521.6	1.3584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	17	4	23	7	12	0	0.1	0	镀金旅团·白日鸣雷（黄金梦乡）	6	黄金梦乡WQ			Partner/ConfigPartner_Eremite_Male_Standard_Polearm_01	1049			50004094												1		21020201	1					4
35210102	丛林豹	ART/Char/Partner/Partner_Animal_Panther_01/Partner_Animal_Panther_01	ART/Char/Partner/Partner_Animal_Panther_01/Partner_Animal_Panther_01_Remote	ART/Char/Partner/Partner_Animal_Panther_01/Partner_Animal_Panther_01	ART/Char/Partner/Partner_Animal_Panther_01/Partner_Animal_Panther_01_Remote	3001	2260.8	1.3584	500	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	17	4	1	7	12	0	0.1	0	丛林豹	6	助战丛林豹			Partner/ConfigPartner_Panther_01	1049															1		28060201	1					
36090190		ART/Char/Monster/Monster_Fungus_Un_Gamma_Water_Enemy/Monster_Fungus_Un_Gamma_Water_Enemy	ART/Char/Monster/Monster_Fungus_Un_Gamma_Water_Enemy/Monster_Fungus_Un_Gamma_Water_Enemy_Remote	ART/Char/Monster/Monster_Fungus_Un_Gamma_Water_Enemy/Monster_Fungus_Un_Gamma_Water_Enemy	ART/Char/Monster/Monster_Fungus_Un_Gamma_Water_Enemy/Monster_Fungus_Un_Gamma_Water_Enemy_Remote	3001	20.376	54.2592	500	0	0	0	0.1	0.2	0.2	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	1	23	4	24	7	12	0	0.1	0	活动-友方飞行水	6	3.2蕈兽BVB活动			Partner/ConfigPartner_Fungus_Un_Gamma_Water										0	0	0	0	0				26090190	1					4
