ID	章节ID	起始任务ID	前置子任务ID	开启时间
1	2009	1020001	45406,46618	
2	2006	48601	39604,1020204	
3	2013	1011001	39604,1020204	
4	2010	1050007	46618,1020204	2020-10-26 04:00:00
6	2014	1102001	102510	2020-12-01 04:00:00
7	2012	1101001	102510,1200309	2020-11-10 00:00:00
8	2016	1103001	102510	2021-01-12 18:00:00
9	2017	1104001	38406	2021-01-12 04:00:00
10	2011	1110009	101801	2021-03-07 04:00:00
11	2018	1111001	101609	2021-03-02 18:00:00
12	2020	1112001	1102402,800311	2021-04-27 00:00:00
13	2019	1012001	39604	2021-05-18 18:00:00
14	2023	1201501	202102	2021-08-31 04:00:00
15	2024	1202001	1201812	2021-09-21 18:00:00
16	2026	1200901	1202405	2021-12-14 18:00:00
17	2025	1202801	1204209	2022-02-15 00:00:00
18	2027	1204002	1201812	2022-02-15 00:00:00
19	2028	1203301	200711,1201812,7280705	2022-03-29 04:00:00
20	2029	1101801	103106,1103204	2022-05-30 04:00:00
21	2031	1203701	1201812	2022-07-12 04:00:00
22	2030	1300001	301301	2022-08-23 04:00:00
23	2032	1300901	302110	2022-09-27 04:00:00
24	2033	1300601	301301	2022-10-14 18:00:00
25	2034	1301301	302617	2022-02-15 00:00:00
