ID	角色ID	开启条件1类型	开启条件1参数列表
10301	10000021		
10302	10000021		
10303	10000021		
3301	10000002		
3302	10000002		
3303	10000002		
4301	10000003		
4302	10000003		
4303	10000003		
1301	10000005		
1302	10000005		
1303	10000005		
5301	10000006		
5302	10000006		
5303	10000006		
2301	10000007		
2302	10000007		
2303	10000007		
6301	10000014		
6302	10000014		
6303	10000014		
7301	10000015		
7302	10000015		
7303	10000015		
8301	10000016		
8302	10000016		
8303	10000016		
9301	10000020		
9302	10000020		
9303	10000020		
11301	10000022		
11302	10000022		
11303	10000022		
12301	10000023		
12302	10000023		
12303	10000023		
14301	10000024		
14302	10000024		
14303	10000024		
13301	10000025		
13302	10000025		
13303	10000025		
16301	10000026		
16302	10000026		
16303	10000026		
15301	10000027		
15302	10000027		
15303	10000027		
18301	10000029		
18302	10000029		
18303	10000029		
17301	10000030		
17302	10000030		
17303	10000030		
19301	10000031		
19302	10000031		
19303	10000031		
20301	10000032		
20302	10000032		
20303	10000032		
23301	10000033		
23302	10000033		
23303	10000033		
21301	10000034		
21302	10000034		
21303	10000034		
24301	10000035		
24302	10000035		
24303	10000035		
22301	10000036		
22302	10000036		
22303	10000036		
25301	10000037		
25302	10000037		
25303	10000037		
35301	10000038		
35302	10000038		
35303	10000038		
34301	10000039		
34302	10000039		
34303	10000039		
30301	10000041		
30302	10000041		
30303	10000041		
32301	10000042		
32302	10000042		
32303	10000042		
31301	10000043		
31302	10000043		
31303	10000043		
33301	10000044		
33302	10000044		
33303	10000044		
36301	10000046		
36302	10000046		
36303	10000046		
37301	10000045		
37302	10000045		
37303	10000045		
38301	10000048		
38302	10000048		
38303	10000048		
39301	10000051		
39302	10000051		
39303	10000051		
47301	10000047		
47302	10000047		
47303	10000047		
49301	10000049		
49302	10000049		
49303	10000049		
53301	10000053		
53302	10000053		
53303	10000053		
52301	10000052		
52302	10000052		
52303	10000052		
54301	10000054		
54302	10000054		
54303	10000054		
56301	10000056		
56302	10000056		
56303	10000056		
62301	10000062		
62302	10000062		
62303	10000062		
50301	10000050		
50302	10000050		
50303	10000050		
55301	10000055		
55302	10000055		
55303	10000055		
57301	10000057		
57302	10000057		
57303	10000057		
63301	10000063		
63302	10000063		
63303	10000063		
64301	10000064		
64302	10000064		
64303	10000064		
58301	10000058		
58302	10000058		
58303	10000058		
66301	10000066		
66302	10000066		
66303	10000066		
60301	10000060		
60302	10000060		
60303	10000060		
65301	10000065		
65302	10000065		
65303	10000065		
59301	10000059		
59302	10000059		
59303	10000059		
67301	10000067		
67302	10000067		
67303	10000067		
68301	10000068		
68302	10000068		
68303	10000068		
69301	10000069		
69302	10000069		
69303	10000069		
70301	10000070		
70302	10000070		
70303	10000070		
71301	10000071		
71302	10000071		
71303	10000071		
72301	10000072		
72302	10000072		
72303	10000072		
73301	10000073		
73302	10000073		
73303	10000073		
74301	10000074		
74302	10000074		
74303	10000074		
75301	10000075		
75302	10000075		
75303	10000075		
76301	10000076		
76302	10000076		
76303	10000076		
