档位名称,VipPoint
Alternate_Tier_1,80
Alternate_Tier_2,120
Alternate_Tier_3,180
Alternate_Tier_4,280
Alternate_Tier_5,300
Alternate_Tier_A,10
Alternate_Tier_B,30
Tier_1,60
Tier_10,680
Tier_11,730
Tier_12,780
Tier_13,880
Tier_14,930
Tier_15,980
Tier_16,1080
Tier_17,1130
Tier_18,1180
Tier_19,1230
Tier_2,120
Tier_20,1280
Tier_21,1380
Tier_22,1480
Tier_23,1530
Tier_24,1580
Tier_25,1630
Tier_26,1680
Tier_27,1780
Tier_28,1880
Tier_29,1930
Tier_3,180
Tier_30,1980
Tier_31,2080
Tier_32,2180
Tier_33,2230
Tier_34,2280
Tier_35,2330
Tier_36,2380
Tier_37,2430
Tier_38,2480
Tier_39,2530
Tier_4,250
Tier_40,2580
Tier_41,2630
Tier_42,2680
Tier_43,2730
Tier_44,2780
Tier_45,2830
Tier_46,2880
Tier_47,2980
Tier_48,3080
Tier_49,3180
Tier_5,300
Tier_50,3280
Tier_51,3480
Tier_52,3880
Tier_53,4180
Tier_54,4480
Tier_55,4880
Tier_56,5180
Tier_57,5480
Tier_58,5880
Tier_59,6180
Tier_6,400
Tier_60,6480
Tier_61,6980
Tier_62,7980
Tier_63,8180
Tier_64,8480
Tier_65,8980
Tier_66,9980
Tier_67,10480
Tier_68,10980
Tier_69,11480
Tier_7,450
Tier_70,11980
Tier_71,12480
Tier_72,12980
Tier_73,13980
Tier_74,14480
Tier_75,14980
Tier_76,15980
Tier_77,16480
Tier_78,19980
Tier_79,22980
Tier_8,500
Tier_80,25980
Tier_9,600
Test_Tier_1,1
None,0
