技能ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	参数18	参数19	参数20	技能组ID	等级	类型	消耗金币	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	筛选条件1	筛选条件2	突破等级	生活效果类型	生活效果参数1	生活效果参数2	生活效果参数3	生活效果参数4	生活效果参数5	效果全队生效	生活天赋不可见
22101	Ayaka_PermanentSkill_1					0.3	6																			221	1	2	0	0	0	0	0	0	0	0	0			1								
22201	Ayaka_PermanentSkill_2					10	0.18	10																		222	1	2	0	0	0	0	0	0	0	0	0			4								
22301						0.1	2																			223	1	2	0	0	0	0	0	0	0	0	0			0	2	1000	2	1	1			
22501																										225	1	2	0	0	0	0	0	0	0	0	0			0	203	1	0.2					
23101	Ayaka_SkillUpgrade_1					0.457253	0.486846	0.626218	0.226464			0.781817	0.55126	20	0.639324	1.278377	1.596762									231	1	3	0	0	0	0	0	0	0	0	0			0								
23102	Ayaka_SkillUpgrade_1					0.494472	0.526473	0.677189	0.244897			0.845454	0.59613	20	0.691362	1.382431	1.726731									231	2	3	12500	104323	3	112044	6	0	0	0	0			2								
23103	Ayaka_SkillUpgrade_1					0.53169	0.5661	0.72816	0.26333			0.90909	0.641	20	0.7434	1.486485	1.8567									231	3	3	17500	104324	2	112045	3	0	0	0	0			3								
23104	Ayaka_SkillUpgrade_1					0.584859	0.62271	0.800976	0.289663			0.999999	0.7051	20	0.81774	1.635134	2.04237									231	4	3	25000	104324	4	112045	4	0	0	0	0			3								
23105	Ayaka_SkillUpgrade_1					0.622077	0.662337	0.851947	0.308096			1.063635	0.74997	20	0.869778	1.739187	2.172339									231	5	3	30000	104324	6	112045	6	0	0	0	0			4								
23106	Ayaka_SkillUpgrade_1					0.664613	0.707625	0.9102	0.329163			1.136363	0.80125	20	0.92925	1.858106	2.320875									231	6	3	37500	104324	9	112045	9	0	0	0	0			4								
23107	Ayaka_SkillUpgrade_1					0.723098	0.769896	0.990298	0.358129			1.236362	0.87176	20	1.011024	2.02162	2.525112									231	7	3	120000	104325	4	112046	4	113018	1	0	0			5								
23108	Ayaka_SkillUpgrade_1					0.781584	0.832167	1.070395	0.387095			1.336362	0.94227	20	1.092798	2.185133	2.729349									231	8	3	260000	104325	6	112046	6	113018	1	0	0			5								
23109	Ayaka_SkillUpgrade_1					0.84007	0.894438	1.150493	0.416061			1.436362	1.01278	20	1.174572	2.348646	2.933586									231	9	3	450000	104325	12	112046	9	113018	2	0	0			6								
23110	Ayaka_SkillUpgrade_1					0.903873	0.96237	1.237872	0.447661			1.545453	1.0897	20	1.26378	2.527025	3.15639									231	10	3	700000	104325	16	112046	12	113018	2	104319	1			6								
23111	Ayaka_SkillUpgrade_1					0.967676	1.030302	1.325251	0.479261			1.654544	1.16662	20	1.352988	2.705403	3.379194									231	11	3	0	0	0	0	0	0	0	0	0			6								
23112	Ayaka_SkillUpgrade_1					1.031479	1.098234	1.41263	0.51086			1.763635	1.24354	20	1.442196	2.883781	3.601998									231	12	3	0	0	0	0	0	0	0	0	0			6								
23113	Ayaka_SkillUpgrade_1					1.095281	1.166166	1.50001	0.54246			1.872725	1.32046	20	1.531404	3.062159	3.824802									231	13	3	0	0	0	0	0	0	0	0	0			6								
23114	Ayaka_SkillUpgrade_1					1.159084	1.234098	1.587389	0.574059			1.981816	1.39738	20	1.620612	3.240537	4.047606									231	14	3	0	0	0	0	0	0	0	0	0			6								
23115	Ayaka_SkillUpgrade_1					1.222887	1.30203	1.674768	0.605659			2.090907	1.4743	20	1.70982	3.418915	4.27041									231	15	3	0	0	0	0	0	0	0	0	0			6								
23201	Ayaka_SkillUpgrade_2					2.392	10																			232	1	3	0	0	0	0	0	0	0	0	0			0								
23202	Ayaka_SkillUpgrade_2					2.5714	10																			232	2	3	12500	104323	3	112044	6	0	0	0	0			2								
