图鉴ID,推送tipID,序号,已废弃
60100001,1002,1,
60100002,1003,2,
60100003,1004,3,
60100004,1006,4,
60100005,1008,5,
60100006,1009,6,
60100007,1010,7,
60100008,1011,8,
60100009,1012,9,
60100010,1013,10,
60100011,1014,11,
60100012,1015,12,
60100013,1016,13,
60100014,1028,14,
60100015,1029,15,
60100016,1034,16,
60100017,1038,17,
60100018,1039,18,
60200001,1018,6001,
60200002,1019,6002,
60200003,1020,6003,
60200004,1021,6004,
60200005,1022,6005,
60200006,1023,6006,
60200007,1025,6007,
60200008,1026,6008,
60200009,1027,6009,
60200010,4001,6010,
60200011,4002,6011,
60200012,4003,6012,
60200013,4004,6013,
60200014,1035,6014,
60300001,1030,6015,
60300002,1031,6016,
60300003,1032,6017,
60300004,1033,6018,
60300005,1100,6100,
60300006,1101,6101,
60300007,1102,6102,
60300008,1103,6103,
60300009,1104,6104,
60300010,1036,6105,
60300011,6029,6106,
60300012,1106,6107,
60300013,1107,6108,
60300014,1108,6109,
60300015,1109,6110,
60300016,1110,6111,
60300017,1111,6112,
60300018,1112,6113,
60300019,1113,6114,
60300020,1114,6115,
60300021,1115,6116,
60300022,1116,6117,
60300023,1117,6118,
60300025,1120,6120,
60300026,1121,6121,
60300027,1122,6122,
60300028,1125,6123,
60300029,1126,6124,
60300030,1127,6125,
60300031,1128,6126,
60300032,1129,6127,
60300033,1130,6128,
60300034,1131,6129,
60300035,1132,6130,
60300036,1133,6131,
60300037,1134,6132,
60300038,1135,6133,
60300039,1137,6134,
60300040,1138,6135,
60300041,1139,6136,
60300042,1140,6137,
60300043,1141,6138,
60300044,1142,6139,
60300045,1143,6140,
60300046,1144,6141,
60300047,1145,6142,
60300048,1146,6143,
60300049,1147,6144,
60300050,1148,6145,
60300051,1149,6146,
60300052,1150,6147,
60300053,1151,6148,
60300054,1152,6149,
60300055,1153,6150,
60300056,1154,6151,
60300057,1155,6152,
60300058,1156,6153,
60300059,1157,6154,
60300060,1158,6155,
60300061,1159,6156,
60300062,1160,6157,
60300063,1161,6158,
60300064,1162,6159,
60300065,1163,6160,
60300066,1164,6161,
60300067,1165,6162,
60300068,1166,6163,
60300069,1167,6164,
60300070,1168,6165,
60300071,1169,6166,
60300072,1170,6167,
60300073,1171,6168,
60300074,1172,6169,
60300075,1173,6170,
60300076,1174,6171,
60300077,1175,6172,
60300078,1176,6173,
60300079,1177,6174,
60300080,1178,6175,
60300081,1179,6176,
60300082,1180,6177,
60300083,1181,6178,
60300084,1182,6179,
60300085,1183,6180,
60300086,1184,6181,
60300087,1185,6182,
60300088,12039,6183,
60300089,12040,6184,
60400001,3001,4001,
60400004,3004,4002,
60400005,3005,4003,
60400006,3006,4004,
60400007,3007,4005,
60400008,3008,4006,
60400009,3009,4007,
60400010,3010,4008,
60400002,3002,4009,
60400003,3003,4010,
60400011,5001,4011,
60400012,5002,4012,
60400013,3011,4013,
60400014,3012,4014,
60400015,3101,4015,
60400016,3102,4016,
60400017,3103,4017,
60400018,3104,4018,
60400019,3105,4019,
60500001,2009,2001,
60500002,2015,2002,
60500003,2016,2003,
60500035,2065,2004,
60500037,2067,2005,
60500014,2044,2006,
60500010,2036,2007,
60500033,2063,2008,
60500015,2045,2009,
60500073,2103,2010,
60500026,2056,2011,
60500038,2068,2012,
60500049,2079,2013,
60500039,2069,2014,
60500041,2071,2015,
60500048,2078,2016,
60500059,2089,2017,
60500047,2077,2018,
60500040,2070,2019,
60500004,2019,2101,
60500012,2042,2102,
60500005,2027,2103,
60500013,2043,2104,
60500027,2057,2105,
60500016,2046,2106,
60500006,2032,2201,
60500008,2034,2202,
60500007,2033,2203,
60500031,2061,2204,
60500053,2083,2205,
60500032,2062,2206,
60500042,2072,2207,
60500043,2073,2208,
60500044,2074,2209,
60500045,2075,2210,
60500046,2076,2211,
60500022,2052,2301,
60500018,2048,2302,
60500021,2051,2303,
60500019,2049,2304,
60500017,2047,2305,
60500020,2050,2306,
60500034,2064,2307,
60500009,2035,2401,
60500011,2039,2402,
60500028,2058,2403,
60500036,2066,2404,
60500057,2087,2405,
60500062,2092,2406,
60500063,2093,2407,
60500068,2098,2408,
60500069,2099,2409,
60500070,2100,2410,
60500024,2054,2601,
60500023,2053,2602,
60500067,2097,2603,
60500025,2055,2604,
60500029,2059,2605,
60500030,2060,2606,
60500050,2080,2607,
60500051,2081,2608,
60500052,2082,2609,
60500054,2084,2610,
60500055,2085,2611,
60500056,2086,2612,
60500058,2088,2613,
60500060,2090,2614,
60500061,2091,2615,
60500064,2094,2616,
60500065,2095,2617,
60500066,2096,2618,
60500072,2102,2619,
60500071,2101,2620,
60700001,7001,6019,
60700002,7002,6020,
60700003,7003,6021,
60700004,7004,6023,
60700005,7005,6022,
60700006,1037,6023,
60700007,7006,6024,
60700008,7007,6025,
60700009,7008,6026,
60700010,7009,6027,
