ID,观察者WatcherID,消息奖励RewardID,教程ID,图鉴类型,组ID
1001,1001,300001,300,,
1002,1002,300001,303,1,
1003,1003,300001,304,1,
1004,1004,300001,305,1,
1005,1005,300001,306,,
1006,1006,300001,307,1,
1007,1007,300001,308,,
1008,1008,300001,309,1,
1009,1009,300001,311,1,
1010,1010,300001,313,1,
1011,1011,300001,314,1,
1012,1012,300001,315,1,
1013,1013,300001,316,1,
1014,1014,300001,317,1,
1015,1015,300001,318,1,
1016,1016,300001,319,1,
1018,1018,300001,325,4,
1019,1019,300001,326,4,
1020,1020,300001,327,4,
1021,1021,300001,328,4,
1022,1022,300001,329,4,
1023,1023,300001,330,4,
1025,1025,300001,332,4,
1026,1026,300001,333,4,
1027,1027,300001,320,4,
1028,1028,300001,310,1,
1029,1029,300001,312,1,
1030,1030,300001,335,4,
1031,1031,300001,336,4,
1032,1032,300001,337,4,
1033,1033,300001,338,4,
1034,1034,300001,339,1,
1035,1035,300001,340,4,
1036,1036,300001,346,4,
1037,8001,300001,192,4,
1038,1037,300001,380,1,
1039,1038,300001,381,1,
1100,1100,300001,341,4,
1101,1101,300001,342,4,
1102,1102,300001,343,4,
1103,1103,300001,344,4,
1104,1104,300001,345,4,
1106,1106,300001,347,4,
1107,1107,300001,348,4,
1108,1108,300001,349,4,
1109,1109,300001,350,4,
1110,1119,300001,351,4,
1111,1111,300001,352,4,
1112,1112,300001,353,4,
1113,1113,300001,354,4,
1114,1114,300001,355,4,
1115,1115,300001,356,4,
1116,1116,300001,357,4,
1117,1117,300001,358,4,
1120,1120,300001,360,4,
1121,1121,300001,361,4,
1122,1122,300001,362,4,
1125,1125,300001,359,4,
1126,1126,300001,363,4,
1127,1127,300001,364,4,
1128,1128,300001,365,4,
1129,1129,300001,366,4,
1130,1130,300001,367,4,
1131,1131,300001,368,4,
1132,1132,300001,369,4,
1133,1133,300001,370,4,
1134,1134,300001,371,4,
1135,1136,300001,372,4,
1137,1137,300001,373,4,
1138,1138,300001,374,4,
1139,1139,300001,375,4,
1140,1140,300001,376,4,
1141,1141,300001,377,4,
1142,1142,300001,378,4,
1143,1144,300001,379,4,
1144,10026,300001,1218,4,
1145,10002,300001,1219,4,
1146,10003,300001,1220,4,
1147,10004,300001,1221,4,
1148,10005,300001,1222,4,
1149,10006,300001,1223,4,
1150,10007,300001,1224,4,
1151,10008,300001,1225,4,
1152,10009,300001,1226,4,
1153,10010,300001,1227,4,
1154,10011,300001,1228,4,
1155,10012,300001,1229,4,
1156,10013,300001,1230,4,
1157,10014,300001,1231,4,
1158,10015,300001,1232,4,
1159,10016,300001,1233,4,
1160,10017,300001,1234,4,
1161,10018,300001,1235,4,
1162,10019,300001,1236,4,
1163,10020,300001,1237,4,
1164,10021,300001,1238,4,
1165,10022,300001,1239,4,
1166,10023,300001,1240,4,
1167,10024,300001,1241,4,
1168,10025,300001,1243,4,
1169,10027,300001,1247,4,
1170,10028,300001,1258,4,
1171,10029,300001,1259,4,
1172,10030,300001,1260,4,
1173,10031,300001,1261,4,
1174,10032,300001,1262,4,
1175,10033,300001,1263,4,
1176,10034,300001,1264,4,
1177,10035,300001,1265,4,
1178,10036,300001,1266,4,
1179,10037,300001,1267,4,
1180,10049,300001,1268,4,
1181,10040,300001,1269,4,
1182,10041,300001,1270,4,
1183,10042,300001,1271,4,
1184,10043,300001,1272,4,
1185,10044,300001,1273,4,
2009,2009,300001,117,2,
2015,2015,300001,128,2,
2016,2016,300001,148,2,
2019,2019,300001,139,2,
2027,2027,300001,146,2,
2032,2032,300001,130,2,
2033,2033,300001,131,2,
2034,2034,300001,132,2,
2035,2035,300001,136,2,
2036,2036,300001,236,2,
2039,2039,300001,239,2,
2042,2042,300001,242,2,
2043,2043,300001,243,2,
2044,2044,300001,248,2,
2045,2045,300001,249,2,
2046,2046,300001,250,2,
2047,2047,300001,258,2,
2048,2048,300001,259,2,
2049,2049,300001,260,2,
2050,2050,300001,261,2,
2051,2051,300001,262,2,
2052,2052,300001,263,2,
2053,2053,300001,264,2,
2054,2054,300001,265,2,
2055,2055,300001,266,2,
2056,2056,300001,268,2,
2057,2057,300001,269,2,
2058,2058,300001,270,2,
2059,2059,300001,271,2,
2060,2060,300001,272,2,
2061,2061,300001,276,2,
2062,2062,300001,277,2,
2063,2063,300001,278,2,
2064,2064,300001,280,2,
2065,2065,300001,281,2,
2066,2066,300001,282,2,
2067,2067,300001,283,2,
2068,2068,300001,284,2,
2069,2069,300001,285,2,
2070,2070,300001,286,2,
2071,2071,300001,287,2,
2072,2072,300001,289,2,
2073,2073,300001,290,2,
2074,2074,300001,291,2,
2075,2075,300001,292,2,
2076,2076,300001,293,2,
2077,2077,300001,3001,2,
2078,2078,300001,3002,2,
2079,2079,300001,3003,2,
2080,2080,300001,3004,2,
2081,2081,300001,3005,2,
2082,2082,300001,3006,2,
2083,2083,300001,3007,2,
2084,2084,300001,3008,2,
2085,2085,300001,3009,2,
2086,2086,300001,3010,2,
2087,2087,300001,3011,2,
2088,2088,300001,3012,2,
2089,2089,300001,3013,2,
2090,2090,300001,3014,2,
2091,2091,300001,3015,2,
2092,2092,300001,3016,2,
2093,2093,300001,3017,2,
2094,2094,300001,3018,2,
2095,2095,300001,3019,2,
2096,2096,300001,3020,2,
2097,2097,300001,3021,2,
2098,2098,300001,3022,2,
2099,2099,300001,3023,2,
2100,2100,300001,3024,2,
2101,2101,300001,3025,2,
2102,2102,300001,3026,2,
2103,2103,300001,3027,2,
3001,3001,300001,400,3,
3002,3009,300001,251,3,
3003,3010,300001,255,3,
3004,3002,300001,401,3,1
3005,3003,300001,402,3,1
3006,3004,300001,403,3,1
3007,3005,300001,404,3,1
3008,3006,300001,405,3,1
3009,3007,300001,406,3,1
3010,3008,300001,407,3,1
3011,3011,300001,408,3,
