子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
2100101	21001	1			1		1	99902	3										2	2	2100101				2	2100102			2	2100103																																																																	
2100102	21001	2			1		1	99902	3											6	1170																																																																										
2100103	21001	3			1		1	99902	3										2	6	1136				6	1166			6	1167																																																																	
2100104	21001	4				2	1	99902	3		1	2100102	3		1	2100103	3			6	1135																							1		Q2100102_Target		3	1	2				1			15	3	133103010																																				
2100105	21001	15	1				1	99902	3											24	210010401			3																														1			15	3	133103010		23	2100113	1																																
2100106	21001	20			1		44	10001	1											6	1169																															1		1																																									
2100110	21001	10			1		1	99902	3											20			133103010_progress1	1																														1			23	210010401	1																																				
2100111	21001	11			1		1	99902	3											20			133103010_progress2	1																														1			23	210010401	1																																				
2100112	21001	12			1		1	99902	3											20			133103010_progress3	1																														1			23	210010401	1																																				
2100113	21001	16			1		1	99902	3											24	2100113			1																														1																																									
2100201	21002	1			1		1	99902	3											20			133103106_start	1																																																																							
2100202	21002	2					1	99902	3											2	2100202																																	1																																									
2100203	21002	8			1		1	99902	3											24	210020301			5																														1			15	3	133103106																																				
2100204	21002	9					1	99902	3											20			133103106_activate	1																														1			15	3	133103106																																				
2100205	21002	10					1	99902	3											20			133103106_finish	1																												1		1			15	3	133103106																																				
2100206	21002	3	1				1	99902	3											20			133103106_progress1	1																				1		Q2100206_Target	40	3		2				1			23	210020301	1																																				
2100207	21002	4	1				1	99902	3											20			133103106_progress2	1																				1		Q2100207_Target	40	3		2				1			23	210020301	1																																				
2100208	21002	5	1				1	99902	3											20			133103106_progress3	1																				1		Q2100208_Target	40	3		2				1			23	210020301	1																																				
2100209	21002	6	1				1	99902	3											20			133103106_progress4	1																				1		Q2100209_Target	40	3		2				1			23	210020301	1																																				
2100210	21002	7	1				1	99902	3											20			133103106_progress5	1																				1		Q2100210_Target	40	3		2				1			23	210020301	1																																				
2100301	21003	1			1	2	38	2100302			38	2100303								2	2100302													2	2100303									2		2429		3	1	2							15	3	133102297																																				
2100302	21003	2			1		1	2100301	4											2	2100302																																				15	3	133102297																																				
2100311	21003	3			0	2	1	2100301	3		1	2100302	3						2	20			find_bridge	1	20		defeat_with_quest	1	20		already_defeat	1												1		IQ2100311TargetPoint		3						1																								19	3	133102297,2	15	3	133102297				2429								
2100320	21003	4			0		1	2100311	3										2	20			defeat_with_quest	1	20		already_defeat	1																1		IQ2100311TargetPoint		3						1																								15	3	133102297							2429								
2100321	21003	5			1		1	99902	3											20			defeat_without_quest	1																														1																																									
2100330	21003	6			1		1	99902	3											2	2100330																															1		1			15	3	133102297																																				
2100331	21003	7			1		1	99902	3											2	2100331																															1		1			15	3	133102297																																				
2100399	21003	8			0		1	2100320	3											2	2100399																							2		2429		3	3	2		1		1			15	3	133102297																												2429								
2100401	21004	1			0		1	2102214	3											2	2100401																							2		2211		3	4	2																																						2211							
