子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
2010201	20102	1					9	23000																2	2010201																											2		1537		3	1	1				1	100352	1																												1537,1429,1567								
2010202	20102	2				1	9	23000			1	2010201	3											2	2010203																											2		1429		3	2	2				1			29	100352																										1537,1429,1567								
2010203	20102	3				1	9	23000			1	2010202	3											2	2010204																											2		1567		3	2	2				1																														1537,1429,1567								
2010204	20102	4	1			1	9	23000			1	2010203	3											5	100057			3																								2		1567		3	2	2				1																														1537,1429,1567								
2010205	20102	5				1	9	23000			1	2010204	3											2	2010206																	111	100057	3								2		1567		3	3	2				1	100472	1	1	100057	3							14	2010204																	1537,1429,1567								
2010206	20102	6				1	9	23000			1	2010205	3											2	2010207																											2		1537		3	3	2		1		1			24	23000		29	100472																							1537,1429,1567								
2010301	20103	1					9	23300																2	2010301																											2		1565		3	1	1				1	100469	1																			19	3	133003092,2							1565,20025,20102,20103								
2010302	20103	2				1	9	23300			1	2010301	3											6	1173																											1		Q20103Hili1Born		3	2	2				1																														1565,20025,20102,20103								
2010303	20103	3				1	9	23300			1	2010302	3											24	2010303			1																								2		20025		3	2	2				1																														1565,20025,20102,20103								
2010304	20103	4			1	1	9	23300			1	2010302	3											2	2010303																											2				3									23	2010309	1																																	
2010305	20103	5			1	1	9	23300			1	2010302	3											2	2010304																											2				3									23	2010309	1																																	
2010306	20103	6			1	1	9	23300			1	2010302	3											2	2010305																											1				3									23	2010309	1																																	
2010307	20103	7			1	1	9	23300			1	2010302	3											2	2010306																											1				3									23	2010310	1																																	
2010308	20103	8			1	1	9	23300			1	2010302	3											2	2010307																											2				3									23	2010310	1																																	
2010309	20103	9			1	1	9	23300			1	2010302	3											24	2010309			3																								2				3																																												
2010310	20103	10			1	1	9	23300			1	2010302	3											24	2010310			1																								1				3																																												
2010311	20103	11			1	1	9	23300			1	2010302	3											2	2010310																	24	2010311	1								1				3									23	2010312	1	23	2010303	1																														
2010312	20103	12			1	1	9	23300			1	2010302	3											2	2010309																	24	2010312	1								1				3									23	2010311	1	19	3	133003518,2	23	2010303	1																											
2010313	20103	13				1	9	23300			1	2010312	3											20			1330035121	1																								1		Q20103Hili1Born	30	3	2	2				1																														1565,20025,20102,20103								
2010314	20103	14				1	9	23300			1	2010311	3											2	2010311																											2		1565		3	3	2		1		1	100507	1	24	23300		18	100469:999,100470:999,100471:999		19	3	133003092,1																			1565,20025,20102,20103								
2010315	20103	14				1	9	23300			1	2010313	3											2	2010312																											2		1565		3	3	2		1		1			24	23300		18	100469:999,100470:999,100471:999		19	3	133003092,1																			1565,20025,20102,20103								
