子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
1011001	10110	1				1	1	39604	3		44	20009	1		47	3				2	1011001																					2		160101	30	3	2	2	1			1																														1001,1601		1100						
1011002	10110	2					1	1011001	3											2	1011002																					2		1425		3	2	2				1			23	10110051	1																									1001,1425,1601		1100						
1011003	10110	3					1	1011002	3											2	1011003																					2		1567		3	2	2				1			23	10110051	1																									1001,1567,1425		1100						
1011004	10110	4					1	1011003	3											2	1011004																					2		1009	20	3	2	2				1			23	10110051	1																									1001,1004,1009,1593,1577,1567		1100						
1011005	10110	5					1	1011004	3											2	1011007																					2		1605		3	2	2				1																														1001,1605,1004,1009,1593,1577		1100						
1011010	10110	6	1	1			1	99902	3											24	10110101			3																		1		Q1011008Ailin	30	3	4	2				1																														1001,1605		1100						
1011006	10110	7		1	1		1	99902	3											20			1330049161	1										20		1330049162	1					1		Q1011008Ailin	30	3	4	2				1			19	3	133004916,1	23	10110101	1				14	1011006								19	3	133004916,2							1001,1605		1100						
1011007	10110	8		1	1		1	99902	3											20			1330043181	1										20		1330043182	1					1		Q1011008Ailin	30	3	4	2				1			19	3	133004918,1	23	10110101	1				14	1011007								19	3	133004318,2							1001,1605		1100						
1011008	10110	9		1			1	1011005	3											20			1330043191	1										20		1330043192	1					1		Q1011008Ailin	30	3	4	2				1			19	3	133004319,1							19	3	133004319,1	14	1011008					19	3	133004319,2							1001,1605		1100						
1011009	10110	10					1	1011008	3											2	1011009																					2		1605		3	2	2		1		1																														1001,1605		1100						
1011100	10111	1			1		1	1011009	3											4	1011100																																																																					
1011101	10111	2		1			1	1011009	3											9	1011	22																				1		LisaDungeon		3	2	2				1			12	18																										1001,1413,1411,1605		1100						
1011107	10111	3		1	1		1	1011101	3											20			200325005	1																																																													18					
1011102	10111	4		1			1	1011101	3											20			200322003	1									2	19	1011			10	3													1												14	1011101																	1001,1413,1411		1100	18					
1011103	10111	5		1			1	1011102	3											20			200322001	1									2	19	1011			10	3													1												14	1011101																	1001,1413,1411		1100	18					
1011111	10111	6		1	1		1	1011103	3											4	1011111																																		15	20032	220032002																												18					
1011104	10111	7		1	1		1	1011103	3											2	1011104												2	19	1011			10	3													1												14	1011101																	1001,1413,1411		1100	18					
1011105	10111	8		1			1	1011104	3											20			1011105	1									2	19	1011			10	3													1			20	18								14	1011101																	1001,1413,1411		1100	18					
