ID	类型ID	父任务ID	章节ID	优先级
1	1			1
2	2		2003	1
3	2		2005	2
4	2		1105	3
5	2		2021	4
6	2		2022	5
7	3	20031		1
8	3	20505		2
9	3	20506		3
10	3	70650		4
11	3	70651		5
12	3	22111		6
13	3	71650		7
14	3	11008		8
15	3	70665		9
16	3	70661		10
17	3	72657		11
18	3	71654		12
19	3	71655		13
20	3	72183		14
21	3	73802		15
22	3	73673		16
23	4	72233		1
24	4		10051	2
25	5		2020	1
26	5		2027	2
27	7		2013	1
28	7		2014	2
29	7		2023	3
30	7		2001	4
31	7		2002	5
32	7		2004	6
33	7		2006	7
34	7		2007	8
35	7		2008	9
36	7		2009	10
37	7		2010	11
38	7		2011	12
39	7		2012	13
40	7		2016	14
41	7		2017	15
42	7		2018	16
43	7		2019	17
44	7		2024	18
45	7		2025	19
46	7		2026	20
47	7		2028	21
48	7		2029	22
49	7		2031	23
50	7		2030	24
51	7		2032	25
52	7		2033	26
53	7		2034	27
54	8	71811		1
55	8	71812		2
56	8	72672		3
57	8	41402		4
58	9	70141		1
59	9		10061	2
60	9		10031	3
61	9		10032	4
62	9		10055	5
63	9		10025	6
64	9		10036	7
65	9		10037	8
66	9		10044	9
67	9		10070	10
68	9		10073	11
69	9		10076	12
70	9		10079	13
71	9		10069	14
72	9		10072	15
73	9		10083	16
74	9		10087	17
75	10		101401	1
76	10		103401	2
77	10		103601	3
78	10		103201	4
79	10		103402	5
80	10		103901	6
81	10		102401	7
82	10		105001	8
83	10		105301	9
84	10		105501	10
85	10		106401	11
86	10		102701	12
87	10		106501	13
88	10		105901	14
