合集ID,合集名称,是否禁止删除
1001,蒙德主线1,
1002,蒙德主线2,
1003,蒙德主线3,
1004,璃月主线1,
1005,璃月主线2,
1006,璃月主线3,
1007,双子线1,
1008,稻妻前置,
1009,稻妻主线1,
1010,稻妻主线2,
1011,稻妻主线3,
1012,双子线2层岩,
1013,申鹤间章1,
1014,层岩间章1,
1015,须弥主线1,
1016,须弥主线2,
1017,须弥主线3,
2001,凯亚线1,
2002,迪卢克线1,
2003,安柏线1,
2004,丽莎线1,
2005,雷泽线1,
2006,琴线1,
2007,香菱线1,
2008,行秋线1,
2009,可莉线1,
2010,莫娜线1,
2011,魈线1,
2012,公子线1,
2013,温迪线1,
2014,钟离线1,
2015,钟离线2,
2016,甘雨线1,
2017,阿贝多线1,
2018,胡桃线1,
2019,优菈线1,
2020,宵宫线1,
2021,神里绫华线1,
2022,心海线1,
2023,神子线1,
2024,一斗线1,
2025,雷电将军线1,
2026,雷电将军线2,
2027,神里绫人线1,
2028,夜兰线1,
2029,万叶线1,
2030,七七线1,
2031,提纳里线1,
2032,赛诺线1,
2033,妮露线1,
3001,芭芭拉coop1,1
3002,诺艾尔coop1,1
3003,重云coop1,1
3004,班尼特coop1,1
3005,诺艾尔coop2,1
3006,迪奥娜coop1,1
3007,北斗coop1,1
3008,托马coop1,1
3009,早柚coop1,1
3010,五郎coop1,1
3011,云堇coop1,1
3012,凝光coop1,1
3013,久歧忍coop1,1
3014,平藏coop1,1
4001,1.1未归的熄星,
4002,1.2雪山,
4003,1.3海灯节,
4004,1.4风花节,
4005,1.6海岛,
4006,2.2肉鸽活动,
4007,2.3雪山,
4008,2.4海灯节,
4009,2.5调饮品,
4010,2.5渊下宫,
4011,2.6容彩祭,
4012,2.1逐月节,
4013,2.8海岛,
4014,2.8 幻影心流,
4015,2.7音游三期,
4016,3.1佳酿节活动,
4017,3.0木刻活动,1
4018,3.2蕈兽大活动,
5001,WQ戴因报幕,
5002,尘歌壶,
8001,废弃任务,
8002,常驻任务,1
8003,稻妻3隐藏父任务,
8004,钟离1隐藏父任务,
8005,胡桃1隐藏父任务,
8006,钟离2隐藏父任务,
8007,宵宫1隐藏父任务,
8008,雷电将军1隐藏父任务,
8009,一斗1隐藏父任务,
