ConfigID,支付档位,ShopType,[内容]1材料id,[内容]1材料数量,[内容]2材料id,[内容]2材料数量,[内容]3材料id,[内容]3材料数量,[内容]4材料id,[内容]4材料数量,[内容]5材料id,[内容]5材料数量,邮件模板ID
401,None,,104003,10,104013,10,108046,5,,,,,19
402,None,,374203,1,104003,15,108046,5,,,,,20
403,None,,374311,1,374203,2,104003,5,108069,5,,,21
404,None,,210076,1,374311,1,374203,2,104003,10,,,22
405,None,,374203,1,104002,5,108046,5,,,,,37
406,None,,374311,1,374203,1,108046,5,,,,,38
407,None,,210076,1,104013,5,108069,5,,,,,39
408,None,,104003,5,202,50000,108046,5,,,,,72
409,None,,363105,1,104013,5,108056,5,,,,,73
410,None,,363105,2,104013,5,108056,5,108259,5,,,74
411,None,,104003,8,104013,8,108056,5,,,,,75
412,None,,363105,1,202,50000,108259,5,,,,,76
413,None,,363105,2,104003,5,202,50000,108259,5,,,77
