追加属性ID,追加属性库ID,组别,属性类别,追加属性值,随机权重,升级权重
101021,101,2,2,23.9,150,1000
101022,101,2,2,29.88,150,1000
201021,201,2,2,50.19,150,1000
201022,201,2,2,60.95,150,1000
201023,201,2,2,71.7,150,1000
301021,301,2,2,100.38,150,1000
301022,301,2,2,114.72,150,1000
301023,301,2,2,129.06,150,1000
301024,301,2,2,143.4,150,1000
401021,401,2,2,167.3,150,1000
401022,401,2,2,191.2,150,1000
401023,401,2,2,215.1,150,1000
401024,401,2,2,239,150,1000
501021,501,2,2,209.13,150,1000
501022,501,2,2,239,150,1000
501023,501,2,2,268.88,150,1000
501024,501,2,2,298.75,150,1000
101031,101,3,3,0.0117,100,1000
101032,101,3,3,0.0146,100,1000
201031,201,3,3,0.0163,100,1000
201032,201,3,3,0.0198,100,1000
201033,201,3,3,0.0233,100,1000
301031,301,3,3,0.0245,100,1000
301032,301,3,3,0.028,100,1000
301033,301,3,3,0.0315,100,1000
301034,301,3,3,0.035,100,1000
401031,401,3,3,0.0326,100,1000
401032,401,3,3,0.0373,100,1000
401033,401,3,3,0.042,100,1000
401034,401,3,3,0.0466,100,1000
501031,501,3,3,0.0408,100,1000
501032,501,3,3,0.0466,100,1000
501033,501,3,3,0.0525,100,1000
501034,501,3,3,0.0583,100,1000
101051,101,5,5,1.56,150,1000
101052,101,5,5,1.95,150,1000
201051,201,5,5,3.27,150,1000
201052,201,5,5,3.97,150,1000
201053,201,5,5,4.67,150,1000
301051,301,5,5,6.54,150,1000
301052,301,5,5,7.47,150,1000
301053,301,5,5,8.4,150,1000
301054,301,5,5,9.34,150,1000
401051,401,5,5,10.89,150,1000
401052,401,5,5,12.45,150,1000
401053,401,5,5,14,150,1000
401054,401,5,5,15.56,150,1000
501051,501,5,5,13.62,150,1000
501052,501,5,5,15.56,150,1000
501053,501,5,5,17.51,150,1000
501054,501,5,5,19.45,150,1000
101061,101,6,6,0.0117,100,1000
101062,101,6,6,0.0146,100,1000
201061,201,6,6,0.0163,100,1000
201062,201,6,6,0.0198,100,1000
201063,201,6,6,0.0233,100,1000
301061,301,6,6,0.0245,100,1000
301062,301,6,6,0.028,100,1000
301063,301,6,6,0.0315,100,1000
301064,301,6,6,0.035,100,1000
401061,401,6,6,0.0326,100,1000
401062,401,6,6,0.0373,100,1000
401063,401,6,6,0.042,100,1000
401064,401,6,6,0.0466,100,1000
501061,501,6,6,0.0408,100,1000
501062,501,6,6,0.0466,100,1000
501063,501,6,6,0.0525,100,1000
501064,501,6,6,0.0583,100,1000
101081,101,8,8,1.85,150,1000
101082,101,8,8,2.31,150,1000
201081,201,8,8,3.89,150,1000
201082,201,8,8,4.72,150,1000
201083,201,8,8,5.56,150,1000
301081,301,8,8,7.78,150,1000
301082,301,8,8,8.89,150,1000
301083,301,8,8,10,150,1000
301084,301,8,8,11.11,150,1000
401081,401,8,8,12.96,150,1000
401082,401,8,8,14.82,150,1000
401083,401,8,8,16.67,150,1000
401084,401,8,8,18.52,150,1000
501081,501,8,8,16.2,150,1000
501082,501,8,8,18.52,150,1000
501083,501,8,8,20.83,150,1000
501084,501,8,8,23.15,150,1000
101091,101,9,9,0.0146,100,1000
101092,101,9,9,0.0182,100,1000
201091,201,9,9,0.0204,100,1000
201092,201,9,9,0.0248,100,1000
201093,201,9,9,0.0291,100,1000
301091,301,9,9,0.0306,100,1000
301092,301,9,9,0.035,100,1000
301093,301,9,9,0.0393,100,1000
301094,301,9,9,0.0437,100,1000
401091,401,9,9,0.0408,100,1000
401092,401,9,9,0.0466,100,1000
401093,401,9,9,0.0525,100,1000
401094,401,9,9,0.0583,100,1000
501091,501,9,9,0.051,100,1000
501092,501,9,9,0.0583,100,1000
501093,501,9,9,0.0656,100,1000
501094,501,9,9,0.0729,100,1000
101231,101,23,23,0.013,100,1000
101232,101,23,23,0.0162,100,1000
201231,201,23,23,0.0181,100,1000
201232,201,23,23,0.022,100,1000
201233,201,23,23,0.0259,100,1000
301231,301,23,23,0.0272,100,1000
301232,301,23,23,0.0311,100,1000
301233,301,23,23,0.035,100,1000
301234,301,23,23,0.0389,100,1000
401231,401,23,23,0.0363,100,1000
401232,401,23,23,0.0414,100,1000
401233,401,23,23,0.0466,100,1000
401234,401,23,23,0.0518,100,1000
501231,501,23,23,0.0453,100,1000
501232,501,23,23,0.0518,100,1000
501233,501,23,23,0.0583,100,1000
501234,501,23,23,0.0648,100,1000
