图鉴ID	套装ID	阶数	杯	羽	冠	花	沙	序号	已废弃	解锁才显示
30106001	10010	1	60110	60120	60130	60140	60150	1		
30106101	10011	1	61110	61120	61130	61140	61150	2		
30106301	10013	1	63110	63120	63130	63140	63150	3		
30106002	10010	2	60210	60220	60230	60240	60250	4		
30106102	10011	2	61210	61220	61230	61240	61250	5		
30106302	10013	2	63210	63220	63230	63240	63250	6		
30106003	10010	3	60310	60320	60330	60340	60350	7		
30106103	10011	3	61310	61320	61330	61340	61350	8		
30106303	10013	3	63310	63320	63330	63340	63350	9		
30105103	10001	3	51310	51320	51330	51340	51350	10		
30105403	10004	3	54310	54320	54330	54340	54350	11		
30105503	10005	3	55310	55320	55330	55340	55350	12		
30105703	10007	3	57310	57320	57330	57340	57350	13		
30105903	10009	3	59310	59320	59330	59340	59350	14		
30105303	10003	3	53310	53320	53330	53340	53350	15		
30105203	10002	3	52310	52320	52330	52340	52350	16		
30105603	10006	3	56310	56320	56330	56340	56350	17		
30105803	10008	3	58310	58320	58330	58340	58350	18		
30106203	10012	3	62310	62320	62330	62340	62350	19		
30108303	15009	3			83330			20		
30108403	15010	3			84330			21		
30108503	15011	3			85330			22		
30108703	15013	3			87330			23		
30105104	10001	4	51410	51420	51430	51440	51450	24		
30105404	10004	4	54410	54420	54430	54440	54450	25		
30105504	10005	4	55410	55420	55430	55440	55450	26		
30105704	10007	4	57410	57420	57430	57440	57450	27		
30105904	10009	4	59410	59420	59430	59440	59450	28		
30105304	10003	4	53410	53420	53430	53440	53450	29		
30105204	10002	4	52410	52420	52430	52440	52450	30		
30105604	10006	4	56410	56420	56430	56440	56450	31		
30105804	10008	4	58410	58420	58430	58440	58450	32		
30106204	10012	4	62410	62420	62430	62440	62450	33		
30108304	15009	4			83430			34		
30108404	15010	4			84430			35		
30108504	15011	4			85430			36		
30108704	15013	4			87430			37		
30107104	14001	4	71410	71420	71430	71440	71450	38		
30107204	14002	4	72410	72420	72430	72440	72450	39		
30107304	14003	4	73410	73420	73430	73440	73450	40		
30107404	14004	4	74410	74420	74430	74440	74450	41		
30107504	15001	4	75410	75420	75430	75440	75450	42		
30107604	15002	4	76410	76420	76430	76440	76450	43		
30107704	15003	4	77410	77420	77430	77440	77450	44		
30107904	15005	4	79410	79420	79430	79440	79450	45		
30108004	15006	4	80410	80420	80430	80440	80450	46		
30108104	15007	4	81410	81420	81430	81440	81450	47		
30108204	15008	4	82410	82420	82430	82440	82450	48		
30108804	15014	4	88410	88420	88430	88440	88450	49		
30108904	15015	4	89410	89420	89430	89440	89450	50		
30109004	15016	4	90410	90420	90430	90440	90450	51		
30109104	15017	4	91410	91420	91430	91440	91450	52		
30109204	15018	4	92410	92420	92430	92440	92450	53		
30107105	14001	5	71510	71520	71530	71540	71550	54		
30107205	14002	5	72510	72520	72530	72540	72550	55		
30107305	14003	5	73510	73520	73530	73540	73550	56		
30107405	14004	5	74510	74520	74530	74540	74550	57		
30107505	15001	5	75510	75520	75530	75540	75550	58		
30107605	15002	5	76510	76520	76530	76540	76550	59		
30107705	15003	5	77510	77520	77530	77540	77550	60		
30107905	15005	5	79510	79520	79530	79540	79550	61		
30108005	15006	5	80510	80520	80530	80540	80550	62		
30108105	15007	5	81510	81520	81530	81540	81550	63		
30108205	15008	5	82510	82520	82530	82540	82550	64		
30108805	15014	5	88510	88520	88530	88540	88550	65		
30108905	15015	5	89510	89520	89530	89540	89550	66		
30109005	15016	5	90510	90520	90530	90540	90550	67		
30109105	15017	5	91510	91520	91530	91540	91550	68		
30109205	15018	5	92510	92520	92530	92540	92550	69		
30109304	15019	4	93413	93423	93433	93443	93453	70		
30109404	15020	4	94413	94423	94433	94443	94453	71		
30109305	15019	5	93513	93523	93533	93543	93553	72		
30109405	15020	5	94513	94523	94533	94543	94553	73		
30109504	15021	4	95413	95423	95433	95443	95453	74		
30109604	15022	4	96413	96423	96433	96443	96453	75		
30109505	15021	5	95513	95523	95533	95543	95553	76		
30109605	15022	5	96513	96523	96533	96543	96553	77		
30109704	15023	4	97413	97423	97433	97443	97453	78		
30109804	15024	4	98413	98423	98433	98443	98453	79		
30109705	15023	5	97513	97523	97533	97543	97553	80		
30109805	15024	5	98513	98523	98533	98543	98553	81		
30102004	15025	4	20413	20423	20433	20443	20453	82		
30102104	15026	4	21413	21423	21433	21443	21453	83		
30102005	15025	5	20513	20523	20533	20543	20553	84		
30102105	15026	5	21513	21523	21533	21543	21553	85		
