ID,类型,重量,排序权重,物件ID,可丢弃,使用等级,全局产出上限,数值用类型,圣遗物类别,阶数,主属性库ID,追加属性库ID,追加属性初始条数,套装ID,属性加成等级,基础转化经验,强化等级上限,摧毁规则,摧毁返还道具,摧毁返还数量,是否初始锁定
20002,3,1,10,70600041,,,,圣遗物,2,1,2000,101,0,,,420,1,,,,0
20004,3,1,10,70600041,,,,圣遗物,1,1,4000,101,0,,,420,1,,,,0
23334,3,1,10,70600041,,,,圣遗物,3,1,4000,999,4,,,300000,1,,,,0
51110,3,1,10,70600041,,,,圣遗物,4,1,5000,101,0,10001,5#9#13#17#21,420,5,1,202,420,0
51111,3,1,10,70600041,,,,圣遗物,4,1,5000,101,1,10001,5#9#13#17#21,420,5,1,202,420,0
51112,3,1,10,70600041,,,,圣遗物,4,1,5000,101,2,10001,5#9#13#17#21,420,5,1,202,420,0
51113,3,1,10,70600041,,,,圣遗物,4,1,5000,101,3,10001,5#9#13#17#21,420,5,1,202,420,0
51114,3,1,10,70600041,,,,圣遗物,4,1,5000,101,4,10001,5#9#13#17#21,420,5,1,202,420,0
51120,3,1,10,70600041,,,,圣遗物,2,1,2000,101,0,10001,5#9#13#17#21,420,5,1,202,420,0
51121,3,1,10,70600041,,,,圣遗物,2,1,2000,101,1,10001,5#9#13#17#21,420,5,1,202,420,0
51122,3,1,10,70600041,,,,圣遗物,2,1,2000,101,2,10001,5#9#13#17#21,420,5,1,202,420,0
51123,3,1,10,70600041,,,,圣遗物,2,1,2000,101,3,10001,5#9#13#17#21,420,5,1,202,420,0
51124,3,1,10,70600041,,,,圣遗物,2,1,2000,101,4,10001,5#9#13#17#21,420,5,1,202,420,0
51130,3,1,10,70600041,,,,圣遗物,5,1,3000,101,0,10001,5#9#13#17#21,420,5,1,202,420,0
51131,3,1,10,70600041,,,,圣遗物,5,1,3000,101,1,10001,5#9#13#17#21,420,5,1,202,420,0
51132,3,1,10,70600041,,,,圣遗物,5,1,3000,101,2,10001,5#9#13#17#21,420,5,1,202,420,0
51133,3,1,10,70600041,,,,圣遗物,5,1,3000,101,3,10001,5#9#13#17#21,420,5,1,202,420,0
51134,3,1,10,70600041,,,,圣遗物,5,1,3000,101,4,10001,5#9#13#17#21,420,5,1,202,420,0
51140,3,1,10,70600041,,,,圣遗物,1,1,4000,101,0,10001,5#9#13#17#21,420,5,1,202,420,0
51141,3,1,10,70600041,,,,圣遗物,1,1,4000,101,1,10001,5#9#13#17#21,420,5,1,202,420,0
51142,3,1,10,70600041,,,,圣遗物,1,1,4000,101,2,10001,5#9#13#17#21,420,5,1,202,420,0
51143,3,1,10,70600041,,,,圣遗物,1,1,4000,101,3,10001,5#9#13#17#21,420,5,1,202,420,0
51144,3,1,10,70600041,,,,圣遗物,1,1,4000,101,4,10001,5#9#13#17#21,420,5,1,202,420,0
51150,3,1,10,70600041,,,,圣遗物,3,1,1000,101,0,10001,5#9#13#17#21,420,5,1,202,420,0
51151,3,1,10,70600041,,,,圣遗物,3,1,1000,101,1,10001,5#9#13#17#21,420,5,1,202,420,0
51152,3,1,10,70600041,,,,圣遗物,3,1,1000,101,2,10001,5#9#13#17#21,420,5,1,202,420,0
51153,3,1,10,70600041,,,,圣遗物,3,1,1000,101,3,10001,5#9#13#17#21,420,5,1,202,420,0
51154,3,1,10,70600041,,,,圣遗物,3,1,1000,101,4,10001,5#9#13#17#21,420,5,1,202,420,0
51210,3,1,10,70600042,,,,圣遗物,4,2,5000,201,0,10001,5#9#13#17#21,840,5,1,202,840,0
51211,3,1,10,70600042,,,,圣遗物,4,2,5000,201,1,10001,5#9#13#17#21,840,5,1,202,840,0
51212,3,1,10,70600042,,,,圣遗物,4,2,5000,201,2,10001,5#9#13#17#21,840,5,1,202,840,0
51213,3,1,10,70600042,,,,圣遗物,4,2,5000,201,3,10001,5#9#13#17#21,840,5,1,202,840,0
51214,3,1,10,70600042,,,,圣遗物,4,2,5000,201,4,10001,5#9#13#17#21,840,5,1,202,840,0
51220,3,1,10,70600042,,,,圣遗物,2,2,2000,201,0,10001,5#9#13#17#21,840,5,1,202,840,0
51221,3,1,10,70600042,,,,圣遗物,2,2,2000,201,1,10001,5#9#13#17#21,840,5,1,202,840,0
51222,3,1,10,70600042,,,,圣遗物,2,2,2000,201,2,10001,5#9#13#17#21,840,5,1,202,840,0
51223,3,1,10,70600042,,,,圣遗物,2,2,2000,201,3,10001,5#9#13#17#21,840,5,1,202,840,0
51224,3,1,10,70600042,,,,圣遗物,2,2,2000,201,4,10001,5#9#13#17#21,840,5,1,202,840,0
51230,3,1,10,70600042,,,,圣遗物,5,2,3000,201,0,10001,5#9#13#17#21,840,5,1,202,840,0
51231,3,1,10,70600042,,,,圣遗物,5,2,3000,201,1,10001,5#9#13#17#21,840,5,1,202,840,0
51232,3,1,10,70600042,,,,圣遗物,5,2,3000,201,2,10001,5#9#13#17#21,840,5,1,202,840,0
51233,3,1,10,70600042,,,,圣遗物,5,2,3000,201,3,10001,5#9#13#17#21,840,5,1,202,840,0
51234,3,1,10,70600042,,,,圣遗物,5,2,3000,201,4,10001,5#9#13#17#21,840,5,1,202,840,0
51240,3,1,10,70600042,,,,圣遗物,1,2,4000,201,0,10001,5#9#13#17#21,840,5,1,202,840,0
51241,3,1,10,70600042,,,,圣遗物,1,2,4000,201,1,10001,5#9#13#17#21,840,5,1,202,840,0
51242,3,1,10,70600042,,,,圣遗物,1,2,4000,201,2,10001,5#9#13#17#21,840,5,1,202,840,0
51243,3,1,10,70600042,,,,圣遗物,1,2,4000,201,3,10001,5#9#13#17#21,840,5,1,202,840,0
51244,3,1,10,70600042,,,,圣遗物,1,2,4000,201,4,10001,5#9#13#17#21,840,5,1,202,840,0
51250,3,1,10,70600042,,,,圣遗物,3,2,1000,201,0,10001,5#9#13#17#21,840,5,1,202,840,0
51251,3,1,10,70600042,,,,圣遗物,3,2,1000,201,1,10001,5#9#13#17#21,840,5,1,202,840,0
51252,3,1,10,70600042,,,,圣遗物,3,2,1000,201,2,10001,5#9#13#17#21,840,5,1,202,840,0
51253,3,1,10,70600042,,,,圣遗物,3,2,1000,201,3,10001,5#9#13#17#21,840,5,1,202,840,0
51254,3,1,10,70600042,,,,圣遗物,3,2,1000,201,4,10001,5#9#13#17#21,840,5,1,202,840,0
51310,3,1,10,70600043,,,,圣遗物,4,3,5000,301,0,10001,5#9#13#17#21,1260,13,1,202,1260,0
51311,3,1,10,70600043,,,,圣遗物,4,3,5000,301,1,10001,5#9#13#17#21,1260,13,1,202,1260,0
51312,3,1,10,70600043,,,,圣遗物,4,3,5000,301,2,10001,5#9#13#17#21,1260,13,1,202,1260,0
51313,3,1,10,70600043,,,,圣遗物,4,3,5000,301,3,10001,5#9#13#17#21,1260,13,1,202,1260,0
51314,3,1,10,70600043,,,,圣遗物,4,3,5000,301,4,10001,5#9#13#17#21,1260,13,1,202,1260,0
51320,3,1,10,70600043,,,,圣遗物,2,3,2000,301,0,10001,5#9#13#17#21,1260,13,1,202,1260,0
51321,3,1,10,70600043,,,,圣遗物,2,3,2000,301,1,10001,5#9#13#17#21,1260,13,1,202,1260,0
51322,3,1,10,70600043,,,,圣遗物,2,3,2000,301,2,10001,5#9#13#17#21,1260,13,1,202,1260,0
51323,3,1,10,70600043,,,,圣遗物,2,3,2000,301,3,10001,5#9#13#17#21,1260,13,1,202,1260,0
51324,3,1,10,70600043,,,,圣遗物,2,3,2000,301,4,10001,5#9#13#17#21,1260,13,1,202,1260,0
51330,3,1,10,70600043,,,,圣遗物,5,3,3000,301,0,10001,5#9#13#17#21,1260,13,1,202,1260,0
51331,3,1,10,70600043,,,,圣遗物,5,3,3000,301,1,10001,5#9#13#17#21,1260,13,1,202,1260,0
51332,3,1,10,70600043,,,,圣遗物,5,3,3000,301,2,10001,5#9#13#17#21,1260,13,1,202,1260,0
51333,3,1,10,70600043,,,,圣遗物,5,3,3000,301,3,10001,5#9#13#17#21,1260,13,1,202,1260,0
51334,3,1,10,70600043,,,,圣遗物,5,3,3000,301,4,10001,5#9#13#17#21,1260,13,1,202,1260,0
51340,3,1,10,70600043,,,,圣遗物,1,3,4000,301,0,10001,5#9#13#17#21,1260,13,1,202,1260,0
51341,3,1,10,70600043,,,,圣遗物,1,3,4000,301,1,10001,5#9#13#17#21,1260,13,1,202,1260,0
51342,3,1,10,70600043,,,,圣遗物,1,3,4000,301,2,10001,5#9#13#17#21,1260,13,1,202,1260,0
51343,3,1,10,70600043,,,,圣遗物,1,3,4000,301,3,10001,5#9#13#17#21,1260,13,1,202,1260,0
51344,3,1,10,70600043,,,,圣遗物,1,3,4000,301,4,10001,5#9#13#17#21,1260,13,1,202,1260,0
51350,3,1,10,70600043,,,,圣遗物,3,3,1000,301,0,10001,5#9#13#17#21,1260,13,1,202,1260,0
51351,3,1,10,70600043,,,,圣遗物,3,3,1000,301,1,10001,5#9#13#17#21,1260,13,1,202,1260,0
