主属性ID,主属性库ID,属性类别,随机权重
10001,1000,2,0
10002,1000,3,1334
10003,1000,5,0
10004,1000,6,1333
10005,1000,8,0
10006,1000,9,1333
10007,1000,23,500
10008,1000,28,500
10009,1000,50,0
10010,1000,51,0
10011,1000,56,0
10012,1000,52,0
10013,1000,54,0
10014,1000,55,0
10015,1000,53,0
12001,2000,5,1000
13001,3000,2,0
13002,3000,3,1100
13003,3000,5,0
13004,3000,6,1100
13005,3000,8,0
13006,3000,9,1100
13007,3000,20,500
13008,3000,22,500
13009,3000,26,500
13010,3000,28,200
14001,4000,2,1000
15001,5000,2,0
15002,5000,3,770
15003,5000,5,0
15004,5000,6,770
15005,5000,8,0
15006,5000,9,760
15007,5000,28,100
15008,5000,40,200
15009,5000,41,200
15010,5000,46,200
15011,5000,42,200
15012,5000,44,200
15013,5000,45,200
15014,5000,43,200
15015,5000,30,200
10990,1099,6,999
10980,1098,3,999
10970,1097,9,999
10960,1096,23,999
10950,1095,28,999
30990,3099,6,999
30980,3098,3,999
30970,3097,9,999
30960,3096,20,999
30950,3095,22,999
30940,3094,26,999
30930,3093,28,999
50990,5099,6,999
50980,5098,3,999
50970,5097,9,999
50960,5096,40,999
50950,5095,41,999
50940,5094,46,999
50930,5093,42,999
50920,5092,44,999
50910,5091,45,999
50900,5090,43,999
50890,5089,30,999
50880,5088,28,999
