类型,星级,等级,对应分数
3,3,1,244
3,3,2,305
3,3,3,372
3,3,4,446
3,3,5,637
3,3,6,734
3,3,7,838
3,3,8,948
3,3,9,1211
3,3,10,1344
3,3,11,1483
3,3,12,1629
3,3,13,1965
3,3,14,2134
3,3,15,2309
3,3,16,2491
3,3,17,2899
3,3,18,3104
3,3,19,3316
3,3,20,3534
3,3,21,4014
3,4,1,480
3,4,2,571
3,4,3,669
3,4,4,774
3,4,5,1084
3,4,6,1216
3,4,7,1355
3,4,8,1502
3,4,9,1899
3,4,10,2073
3,4,11,2254
3,4,12,2443
3,4,13,2926
3,4,14,3141
3,4,15,3364
3,4,16,3595
3,4,17,4165
3,4,18,4422
3,4,19,4687
3,4,20,4959
3,4,21,5616
3,5,1,720
3,5,2,829
3,5,3,946
3,5,4,1070
3,5,5,1484
3,5,6,1633
3,5,7,1790
3,5,8,1953
3,5,9,2454
3,5,10,2644
3,5,11,2840
3,5,12,3044
3,5,13,3632
3,5,14,3861
3,5,15,4098
3,5,16,4341
3,5,17,5016
3,5,18,5285
3,5,19,5562
3,5,20,5845
3,5,21,6607
3,2,1,284
3,2,2,344
3,2,3,404
3,2,4,464
3,2,5,620
3,2,6,688
3,2,7,756
3,2,8,823
3,2,9,1020
3,2,10,1095
3,2,11,1171
3,2,12,1247
3,2,13,1483
3,2,14,1567
3,2,15,1650
3,2,16,1734
3,2,17,2010
3,2,18,2102
3,2,19,2193
3,2,20,2285
3,2,21,2601
3,1,1,166
3,1,2,199
3,1,3,231
3,1,4,264
3,1,5,363
3,1,6,401
3,1,7,439
3,1,8,478
3,1,9,604
3,1,10,647
3,1,11,691
3,1,12,735
3,1,13,888
3,1,14,937
3,1,15,986
3,1,16,1035
3,1,17,1215
3,1,18,1270
3,1,19,1325
3,1,20,1379
3,1,21,1587
