提示台词ID	停留显示时长
1000020000	3
1000020001	3
1000040000	3
1000040001	3
1000040002	3
1000050000	4
1000050001	4
1000050002	4
1000050003	3
1000050004	3
1000050005	4
1000050006	4
1000050007	4
1000050008	4
1000050009	4
1000050010	4
1000050011	4
1000050012	4
1000050013	2
1000050014	2
1000050015	4
1000050016	4
1000050017	4
1000050018	4
1000050019	4
1000050020	4
1000050021	4
1000050022	4
1000050023	4
1000050024	4
1000050025	4
1000050026	2
1000050027	4
1000050028	4
1000050029	4
1000050030	4
1000050031	3
1000050032	2
1000050033	2
1000050034	4
1000050035	4
1000050036	4
1000050037	2
1000050038	2
1000050039	4
1000050040	4
1000050041	4
1000050042	3
1000050043	4
1000050044	4
1000050045	4
1000050046	4
1000050047	3
1000050048	3
1000050049	3
1000050050	3
1000050051	3
1000050052	3
1000050053	3
1000050054	3
1000060000	5
1000060001	5
1000060002	3
1000060003	3
1000060004	3
1000060005	5
1000060006	6
1000060007	5
1000060008	5
1000060009	5
1000060010	5
1000060011	6
1000060012	4
1000060013	4
1000060014	6
1000060015	5
1000060016	3
1000060017	3
1000060018	3
1000060019	3
1000060020	5
1000060021	5
1000060022	5
1000060023	5
1000060024	5
1000060025	3
1000060026	4
1000060027	3
1000060028	4
1000060029	3
1000070000	3
1000070001	3
1000070002	3
1000070003	3
1000070004	3
1000070005	3
1000070006	3
1000070007	3
1000090000	3
1000090001	3
1000090002	3
1000090003	3
1000090004	3
1000100000	3
1000100001	3
1000100002	3
1000100003	3
1000100004	3
1000100005	3
1000100006	3
1000100007	3
1000110000	3
1000120000	3
1000120001	3
1000120002	3
1000130000	3
1000130001	3
1000130002	3
1000130003	3
1000130004	3
1000130005	3
1000130006	3
1000130007	3
1000130008	3
1000130009	3
1000130010	3
1000130011	3
1000130012	3
1000130013	3
1000130014	3
1000130015	3
1000130016	3
1000130017	4
