父任务ID,城市,奖励id
311,1,2010041
384,1,2010042
396,1,2010043
20740,1,2010051
20741,1,2010051
20743,1,2010051
70801,1,2010051
70810,1,2010051
70812,1,2010051
70813,1,2010051
70821,1,2010051
70824,1,2010051
70825,1,2010051
418,1,2010051
71012,1,2010051
70141,1,2010051
70102,1,2010051
70104,1,2010051
70108,1,2010051
70106,1,2010051
70121,1,2010051
70123,1,2010051
1018,2,2020041
1016,2,2020042
1025,2,2020043
70814,2,2020051
70815,2,2020051
70822,2,2020051
70823,2,2020051
71014,2,2020051
71018,2,2020051
71020,2,2020051
71802,2,2020051
71803,2,2020051
71804,2,2020051
71805,2,2020051
71807,2,2020051
71808,2,2020051
71809,2,2020051
71810,2,2020051
21003,2,2020051
21004,2,2020051
21007,2,2020051
21009,2,2020051
21015,2,2020051
21020,2,2020051
21021,2,2020051
21022,2,2020051
21023,2,2020051
21024,2,2020051
21025,2,2020051
71005,2,2020051
71555,2,2020051
71011,2,2020051
71008,2,2020051
71006,2,2020051
71814,2,2020051
71813,2,2020051
71811,2,2020051
41402,2,2020051
71812,2,2020051
71022,2,2020051
71044,2,2020051
71045,2,2020051
71054,2,2020051
71063,2,2020051
71064,2,2020051
71066,2,2020051
71074,2,2020051
71057,2,2020051
71099,2,2020051
2007,3,2030041
2009,3,2030042
2021,3,2030043
72153,3,2030051
72801,3,2030051
72800,3,2030051
22016,3,2030051
72802,3,2030051
72803,3,2030051
72804,3,2030051
72806,3,2030051
72807,3,2030051
72808,3,2030051
72809,3,2030051
72183,3,2030051
72144,3,2030051
72154,3,2030051
72168,3,2030051
72122,3,2030051
72123,3,2030051
72124,3,2030051
72105,3,2030051
72199,3,2030051
72132,3,2030051
72138,3,2030051
72140,3,2030051
72161,3,2030051
72158,3,2030051
72163,3,2030051
72162,3,2030051
72149,3,2030051
72150,3,2030051
72151,3,2030051
72812,3,2030051
22050,3,2030051
72813,3,2030051
72173,3,2030051
72175,3,2030051
72232,3,2030051
71035,2,2020051
71830,2,2020051
71831,2,2020051
72177,3,2030051
72239,3,2030051
72244,3,2030051
72233,3,2030051
72235,3,2030051
72275,3,2030051
3006,4,2040041
3012,4,2040042
73800,4,2040051
73801,4,2040051
73802,4,2040051
73803,4,2040051
73105,4,2040051
73109,4,2040051
73104,4,2040051
73185,4,2040051
73503,4,2040051
73027,4,2040051
73062,4,2040051
73018,4,2040051
73059,4,2040051
73099,4,2040051
73067,4,2040051
73076,4,2040051
73038,4,2040051
73013,4,2040051
73049,4,2040051
73066,4,2040051
73023,4,2040051
3018,4,2040043
3021,4,2040044
73267,4,2040051
73233,4,2040051
73055,4,2040051
73083,4,2040051
73084,4,2040051
73110,4,2040051
3026,4,2040045
