ID,[触发条件]类型,[触发条件]参数1,[触发条件]参数2,进度,已废弃,组ID,激活等级区间,奖励ID,积分,可领奖天数
52001,501,,,1,,1001,10#61,3006009,10,
52002,301,,,4,,1001,10#61,3006010,10,
52003,502,106,,100,,1001,10#61,3006011,20,
52004,401,2,,3,,1001,10#61,3006012,10,
52005,402,,,3,,1001,10#61,3006013,10,
52006,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401,可联机,1,,1001,10#30,3006014,20,
52007,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401,可联机,1,,1001,30#40,3006016,20,
52008,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401,可联机,1,,1001,40#50,3006018,20,
52009,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401,可联机,1,,1001,50#61,3006020,20,
52010,109,24010101#23030101#23010501,可联机,1,,1001,10#30,3006015,20,
52011,109,24010101#23030101#23010501,可联机,1,,1001,30#40,3006017,20,
52012,109,24010101#23030101#23010501,可联机,1,,1001,40#50,3006019,20,
52013,109,24010101#23030101#23010501,可联机,1,,1001,50#61,3006021,20,
52014,501,,,1,,1002,10#61,3006009,10,
52015,301,,,4,,1002,10#61,3006010,10,
52016,502,104001#104002#104003,,1,,1002,10#61,3006023,10,
52017,225,1,,1,,1002,10#61,3006024,10,
52018,226,1,,1,,1002,10#61,3006025,10,
52019,401,2,,3,,1002,10#61,3006012,10,
52020,502,106,,40,,1002,10#30,3006014,20,
52021,502,106,,60,,1002,30#40,3006016,20,
52022,502,106,,80,,1002,40#50,3006018,20,
52023,502,106,,100,,1002,50#61,3006020,20,
52024,109,24010101#23030101#23010501,可联机,1,,1002,10#30,3006015,20,
52025,109,24010101#23030101#23010501,可联机,1,,1002,30#40,3006017,20,
52026,109,24010101#23030101#23010501,可联机,1,,1002,40#50,3006019,20,
52027,109,24010101#23030101#23010501,可联机,1,,1002,50#61,3006021,20,
52028,505,,,1,,1003,10#61,3006208,10,0
52029,301,,,4,,1003,10#61,3006209,10,0
52030,1010,,,1,,1003,28#61,3006210,10,0
52031,303,,,1,,1003,10#61,3006211,10,0
52033,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,8,,1003,10#30,3006213,20,0
52034,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,10,,1003,30#40,3006214,20,0
52035,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,12,,1003,40#50,3006215,20,0
52036,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,14,,1003,50#61,3006216,20,0
52037,502,106,,60,,1003,10#30,3006217,20,0
52038,502,106,,80,,1003,30#40,3006218,20,0
52039,502,106,,100,,1003,40#50,3006219,20,0
52040,502,106,,120,,1003,50#61,3006220,20,0
52041,505,,,2,,1003,10#61,3006221,10,1
52042,301,,,8,,1003,10#61,3006222,10,1
52043,1005,,,1,,1003,28#61,3006223,10,1
52044,310,1#2#3#4#20#21#26#27,,1,,1003,10#61,3006224,10,1
52045,225,1,,1,,1003,10#61,3006225,10,1
52046,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,3,,1003,10#30,3006226,20,1
52047,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,4,,1003,30#40,3006227,20,1
52048,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,5,,1003,40#50,3006228,20,1
52049,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,6,,1003,50#61,3006229,20,1
52050,502,106,,120,,1003,10#30,3006230,20,1
52051,502,106,,160,,1003,30#40,3006231,20,1
52052,502,106,,200,,1003,40#50,3006232,20,1
52053,502,106,,240,,1003,50#61,3006233,20,1
52054,505,,,3,,1003,10#61,3006234,10,2
52055,301,,,12,,1003,10#61,3006235,10,2
52056,948,,,1,,1003,31#61,3006236,10,2
52057,307,,,1,,1003,10#61,3006237,10,2
52058,226,1,,1,,1003,10#61,3006238,10,2
52059,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401#20040501#25090101#20040601#24021101#20040401#20070101#22060101#26050701#24010401#26110101#26020301,可联机,1,,1003,10#30,3006239,20,2
