ID	难度1	难度2	难度3	难度4	难度5	难度6	难度7	难度8	难度9
1	12	21	27	33	33	33	35	31	29
2	19	25	34	36	32	32	30	13	9
3	11	18	24	27	25	25	25	21	19
4	17	18	24	27	25	25	25	21	19
5	29	31	33	33	33	33	33	33	33
6	30	31	32	33	33	33	33	33	33
7	31	32	33	34	34	34	34	34	34
8	11	18	24	27	25	25	25	21	19
9	29	32	33	35	31	31	29	23	29
10	27	29	30	31	27	27	25	19	25
11	14	18	25	25	21	21	19	13	19
12	19	25	33	35	31	31	29	23	29
13	15	20	27	27	23	23	21	15	21
14	17	22	30	31	27	27	25	19	25
15	19	25	33	35	31	31	29	23	29
16	24	24	24	24	25	26	27	28	28
1000	15	19	26	26	22	22	20	14	20
1001	21	27	35	37	33	33	31	25	31
1002	27	35	44	48	44	44	42	36	42
1003	5	1	1	1	1	1	1	1	1
1004	11	9	8	6	6	6	6	6	6
1005	17	17	17	17	17	17	17	17	17
1006	10	18	27	31	27	27	25	19	25
17	19	25	33	35	31	21	9	3	9
18	24	32	41	45	41	31	19	13	19
19	29	38	49	55	51	41	29	23	29
20	17	22	30	31	27	27	25	19	25
21	18	24	32	33	29	29	27	21	27
22	19	25	33	35	31	31	29	23	29
23	19	25	33	35	31	31	29	23	29
24	14	18	25	25	21	21	19	13	19
25	19	25	33	35	31	31	29	23	29
26	19	25	33	35	31	31	29	23	29
27	20	26	30	30	30	28	30	24	30
2000	9	12	17	15	11	11	9	3	9
2001	14	18	25	25	21	21	19	13	19
2002	19	25	33	35	31	31	29	23	29
2003	24	34	44	52	59	65	71	78	84
2004	27	37	47	55	62	68	74	81	87
2005	29	39	49	57	64	70	76	83	89
2006	32	42	52	59	67	75	79	88	94
