流水ID,牌库ID,牌子品级,概率,牌子ID,权重
1,1,1,6,1,30
2,1,1,6,12,20
3,1,1,6,13,20
4,1,1,6,74,20
5,1,1,6,77,20
6,1,1,6,80,20
7,1,1,6,83,10
8,1,1,6,86,10
9,1,1,6,89,10
10,1,1,6,92,20
11,1,1,6,105,10
12,1,1,6,106,10
13,1,1,6,107,10
14,1,1,6,108,15
15,1,1,6,109,15
16,1,1,6,110,10
17,1,1,6,111,15
18,1,1,6,112,15
19,1,2,20,6,30
20,1,2,20,7,30
21,1,2,20,22,10
22,1,2,20,62,10
23,1,2,20,63,10
24,1,2,20,64,10
25,1,2,20,65,10
26,1,2,20,66,10
27,1,2,20,67,10
28,1,2,20,71,10
29,1,2,20,72,10
30,1,2,20,73,10
31,1,2,20,75,10
32,1,2,20,78,10
33,1,2,20,81,10
34,1,2,20,84,10
35,1,2,20,87,10
36,1,2,20,90,10
37,1,2,20,93,10
38,1,2,20,95,10
39,1,2,20,96,10
40,1,2,20,97,10
41,1,2,20,98,10
42,1,2,20,99,10
43,1,2,20,113,10
44,1,2,20,114,10
45,1,2,20,115,10
46,1,3,74,100,20
47,1,3,74,101,20
48,1,3,74,102,20
49,1,3,74,103,20
50,1,3,74,104,20
51,1,3,74,14,20
52,1,3,74,15,20
53,1,3,74,16,5
54,1,3,74,18,20
55,1,3,74,19,5
56,1,3,74,20,20
57,1,3,74,21,20
58,2,1,6,1,30
59,2,1,6,2,30
60,2,1,6,12,20
61,2,1,6,13,20
62,2,1,6,74,20
63,2,1,6,77,20
64,2,1,6,80,20
65,2,1,6,83,10
66,2,1,6,86,10
67,2,1,6,89,10
68,2,1,6,92,20
69,2,1,6,105,10
70,2,1,6,106,10
71,2,1,6,107,10
72,2,1,6,108,15
73,2,1,6,109,15
74,2,1,6,110,10
75,2,1,6,111,15
76,2,1,6,112,15
77,2,2,30,3,15
78,2,2,30,4,15
79,2,2,30,5,15
80,2,2,30,6,30
81,2,2,30,7,30
82,2,2,30,22,15
83,2,2,30,62,10
84,2,2,30,63,10
85,2,2,30,64,10
86,2,2,30,65,10
87,2,2,30,66,10
88,2,2,30,67,10
89,2,2,30,71,10
90,2,2,30,72,10
91,2,2,30,73,10
92,2,2,30,75,10
93,2,2,30,78,10
94,2,2,30,81,10
95,2,2,30,84,10
96,2,2,30,87,10
97,2,2,30,90,10
98,2,2,30,93,10
99,2,2,30,95,10
100,2,2,30,96,10
101,2,2,30,97,10
102,2,2,30,98,10
103,2,2,30,99,10
104,2,2,30,113,10
105,2,2,30,114,10
106,2,2,30,115,10
107,2,3,64,100,20
108,2,3,64,101,20
109,2,3,64,102,20
110,2,3,64,103,20
111,2,3,64,104,20
112,2,3,64,14,20
113,2,3,64,15,20
114,2,3,64,16,5
115,2,3,64,18,5
116,2,3,64,19,20
117,2,3,64,20,20
118,2,3,64,21,20
119,3,1,8,1,30
120,3,1,8,2,30
121,3,1,8,12,20
122,3,1,8,13,20
123,3,1,8,74,20
124,3,1,8,77,20
125,3,1,8,80,20
126,3,1,8,83,10
127,3,1,8,86,10
128,3,1,8,89,10
129,3,1,8,92,20
130,3,1,8,105,10
131,3,1,8,106,10
132,3,1,8,107,10
133,3,1,8,108,15
134,3,1,8,109,15
135,3,1,8,110,10
136,3,1,8,111,15
137,3,1,8,112,15
138,3,2,92,3,15
139,3,2,92,4,15
140,3,2,92,5,15
141,3,2,92,6,30
142,3,2,92,7,30
143,3,2,92,22,15
144,3,2,92,62,10
145,3,2,92,63,10
146,3,2,92,64,10
147,3,2,92,65,10
148,3,2,92,66,10
149,3,2,92,67,10
150,3,2,92,71,10
151,3,2,92,72,10
152,3,2,92,73,10
153,3,2,92,75,10
154,3,2,92,78,10
155,3,2,92,81,10
156,3,2,92,84,10
157,3,2,92,87,10
158,3,2,92,90,10
159,3,2,92,93,10
160,3,2,92,95,10
161,3,2,92,96,10
162,3,2,92,97,10
163,3,2,92,98,10
164,3,2,92,99,10
165,3,2,92,113,10
166,3,2,92,114,10
167,3,2,92,115,10
168,4,1,6,1,30
169,4,1,6,2,30
170,4,1,6,12,20
171,4,1,6,13,20
172,4,1,6,74,20
173,4,1,6,77,20
174,4,1,6,80,20
175,4,1,6,83,10
176,4,1,6,86,10
177,4,1,6,89,10
178,4,1,6,92,20
179,4,1,6,105,10
180,4,1,6,106,10
181,4,1,6,107,10
182,4,1,6,108,15
183,4,1,6,109,15
184,4,1,6,110,10
185,4,1,6,111,15
186,4,1,6,112,15
187,4,1,6,26,20
188,4,1,6,30,20
189,4,1,6,34,20
190,4,1,6,38,20
191,4,1,6,42,20
192,4,1,6,46,20
193,4,1,6,50,20
194,4,1,6,54,20
195,4,1,6,58,20
196,4,2,94,3,15
197,4,2,94,4,15
198,4,2,94,5,15
199,4,2,94,6,30
200,4,2,94,7,30
201,4,2,94,22,15
202,4,2,94,62,10
203,4,2,94,63,10
204,4,2,94,64,10
205,4,2,94,65,10
206,4,2,94,66,10
207,4,2,94,67,10
208,4,2,94,71,10
209,4,2,94,72,10
210,4,2,94,73,10
211,4,2,94,75,10
212,4,2,94,78,10
213,4,2,94,81,10
214,4,2,94,84,10
215,4,2,94,87,10
