id,类型,效果类型,AbilityName
1,2,1,ActivityAbility_RogueV2_StrengthenNormalAttack
2,2,1,ActivityAbility_RogueV2_ExtraAttack
3,2,1,ActivityAbility_RogueV2_ReviveEnergy
4,2,1,ActivityAbility_RogueV2_FallingWindZone
5,2,1,ActivityAbility_RogueV2_RockGadgetUp
6,2,1,ActivityAbility_RogueV2_EnergyMax_Strengthen
24,2,1,ActivityAbility_RogueV2_ChangeAvatarCD
25,2,1,ActivityAbility_RogueV2_HealAndHolyNova
7,1,1,ActivityAbility_RogueV2_Blue_NormalAttackDamageUp
8,1,1,ActivityAbility_RogueV2_Blue_ExtraAttackDamageUp
9,1,1,ActivityAbility_RogueV2_Blue_ExtraAttackGenerateBall
10,1,1,ActivityAbility_RogueV2_Blue_FallingAttackDamageUp
11,1,1,ActivityAbility_RogueV2_Blue_FallingAttack_ReviveEnergy
12,1,1,ActivityAbility_RogueV2_Blue_AfterUseUltimateSkill
13,1,1,ActivityAbility_RogueV2_Blue_ElecSubHurtDelta
14,1,1,ActivityAbility_RogueV2_Blue_CalculateWaterElecAvatar
15,1,1,ActivityAbility_RogueV2_Blue_PickUpCrystal
16,1,1,ActivityAbility_RogueV2_Blue_ShieldBeingHitDoAttack
17,1,1,ActivityAbility_RogueV2_Blue_ArtDamageUp
18,1,1,ActivityAbility_RogueV2_Blue_BeingHealed_MaxHpUp
19,1,1,ActivityAbility_RogueV2_Blue_BeingHealed_AtkUp
20,1,1,ActivityAbility_RogueV2_Blue_LoseHp_CritDmgUp
21,1,1,ActivityAbility_RogueV2_Blue_ElementalDamageUp
22,1,1,ActivityAbility_RogueV2_Blue_SwirlIncreaseWindDmg
23,1,1,ActivityAbility_RogueV2_Blue_WeaponCheck
26,1,1,ActivityAbility_RogueV2_Blue_AddElementalBurstLevel
27,1,1,ActivityAbility_RogueV2_Blue_BigCDmgUp
28,1,1,ActivityAbility_RogueV2_Blue_NormalAttack_CJB
