ConfigID,PoolID,BuffID,BuffLevel,Weight
1,601,1,2,10
2,601,2,2,10
3,601,4,2,10
4,601,6,2,10
5,601,24,2,10
6,601,3,2,10
7,601,7,1,10
8,601,28,1,10
9,601,8,1,10
10,601,9,1,10
11,601,10,1,10
12,601,11,1,10
13,601,13,1,10
14,601,17,1,10
15,601,23,1,10
16,601,21,1,10
17,601,27,1,10
18,601,14,1,10
19,601,12,1,10
20,601,26,1,10
21,602,2,2,10
22,602,25,2,10
23,602,5,2,10
24,602,3,2,10
25,602,6,2,10
26,602,1,2,10
27,602,8,1,10
28,602,9,1,10
29,602,12,1,10
30,602,26,1,10
31,602,15,1,10
32,602,18,1,10
33,602,16,1,10
34,602,19,1,10
35,602,20,1,10
36,602,23,1,10
37,602,21,1,10
38,602,27,1,10
39,602,7,1,10
40,602,28,1,10
41,603,4,2,10
42,603,25,2,10
43,603,24,2,10
44,603,3,2,10
45,603,6,2,10
46,603,1,2,10
47,603,10,1,10
48,603,11,1,10
49,603,12,1,10
50,603,26,1,10
51,603,13,1,10
52,603,14,1,10
53,603,17,1,10
54,603,18,1,10
55,603,20,1,10
56,603,23,1,10
57,603,22,1,10
58,603,27,1,10
59,603,7,1,10
60,603,28,1,10
61,604,1,2,10
62,604,2,2,10
63,604,3,2,10
64,604,4,2,10
65,604,5,2,10
66,604,6,2,10
67,604,24,2,10
68,604,25,2,10
69,604,7,1,10
70,604,8,1,10
71,604,9,1,10
72,604,10,1,10
73,604,11,1,10
74,604,12,1,10
75,604,13,1,10
76,604,14,1,10
77,604,15,1,10
78,604,16,1,10
79,604,17,1,10
80,604,18,1,10
81,604,19,1,10
82,604,20,1,10
83,604,21,1,10
84,604,22,1,10
85,604,23,1,10
86,604,26,1,10
87,604,28,1,10
88,604,27,1,10
