地城id,循环group列表,轮次1房间个数,轮次1怪物配置,轮次1血量补正,轮次2房间个数,轮次2怪物配置,轮次2血量补正,轮次3房间个数,轮次3怪物配置,轮次3血量补正
7601,246201001#246201002#246201003#246201004,3,1001,10,3,1002#1003,10,3,1044#1045,10
7602,246202001#246202002#246202003#246202005#246202006#246202007,3,1006,10,3,1002#1005,10,3,1046#1047#1048,10
7603,246203001#246203002#246203003#246203004,3,1007#1008#1009,10,3,1003#1004,10,3,1038#1041#1049,10
7604,246201001#246201002#246201003#246201004,3,1001#1002#1003,10,3,1009#1012#1016,10,3,1071#1072#1064,10
7605,246202001#246202002#246202003#246202005#246202006#246202007,3,1001#1006#1007,10,3,1002#1004#1011,10,3,1063#1064#1065#1066,10
7606,246203001#246203002#246203003#246203004,3,1008#1009#1010,10,3,1003#1005#1015,10,3,1055#1056#1057#1058#1067,10
7616,246201001#246201002#246201003#246201004,3,1001#1002#1003,10,3,1009#1012#1016,10,3,1071#1072#1064,10
7617,246202001#246202002#246202003#246202005#246202006#246202007,3,1017#1006#1007,10,3,1002#1004#1011,10,3,1063#1064#1065#1066,10
7618,246203001#246203002#246203003#246203004,3,1008#1014#1010,10,3,1003#1005#1015,10,3,1055#1056#1057#1058#1067,10
7607,246201001#246201002#246201003#246201004,3,1090#1073#1074,10,3,1077#1078#1079,10,,,
7608,246202001#246202002#246202003#246202005#246202006#246202007,3,1091#1075#1076,10,3,1084#1085#1086#1087#1088,10,,,
7609,246203001#246203002#246203003#246203004,3,1080#1081#1089,10,3,1059#1060#1061#1062#1069#1070,10,,,
7610,246201001#246201002#246201003#246201004,3,1090#1073#1074,10,3,1077#1078#1079,10,,,
7611,246202001#246202002#246202003#246202005#246202006#246202007,3,1091#1075#1076,10,3,1084#1085#1086#1087#1088,10,,,
7612,246203001#246203002#246203003#246203004,3,1080#1081#1089,10,3,1059#1060#1061#1062#1069#1070,10,,,
7613,246201001#246201002#246201003#246201004,3,1073#1074,10,3,1077#1078#1079,10,,,
7614,246202001#246202002#246202003#246202005#246202006#246202007,3,1091#1075#1076,10,3,1084#1085#1086#1087#1088,10,,,
7615,246203001#246203002#246203003#246203004,3,1080#1081#1089,10,3,1059#1060#1061#1062#1069#1070,10,,,
