id	普通难度资源包id	高难难度资源包id	替换挑战id	普通难度代币	高难难度代币	BOSS房间
33001	33001		111198	50	200	
33002	33002			50	200	
33003	33003			50	200	
33004	33004			50	200	
33005	33005			50	200	
33006	33006		111198	50	200	
33007	33007			50	200	
33008	33008			50	200	
33009	33009			50	200	
33010	33010			50	200	
33011	33011			50	200	
33012	33012			50	200	
33013	33013			50	200	
33014	33014			50	200	
33015	33015			50	200	
33016	33016			50	200	
33017	33017			50	200	
33020	33020			50	200	
33021	33021		111198	50	200	
33022	33022			50	200	
33023	33023			50	200	
33024	33024		111198	50	200	
33029	33029		111198	50	200	
33030	33030	33036		50	200	
33031	33031		111198	50	200	
33036	33036			50	200	
33037	33037	33039		50	200	
33038	33038	33040		50	200	
33039	33039			50	200	
33040	33040			50	200	
33041	33041		111198	50	200	
33042	33042		111198	50	200	
33043	33043		111197	50	200	
33044	33044		111197	50	200	
33045	33045			50	200	
33046	33046			50	200	
33047	33047			50	200	
33048	33048	33051		50	200	
33049	33049	33052		50	200	
33050	33050	33053		50	200	
33051	33051			50	200	
33052	33052			50	200	
33053	33053			50	200	
33019	33019			50	200	
33025	33025			50	200	
33027	33027			50	200	
33028	33028			50	200	
33032	33032			50	200	
33033	33033			50	200	
33034	33034			50	200	
33018	33018			50	200	
33035	33035		111197	50	200	
33054	33054		111197	50	200	
33055	33055		111198	50	200	
33056	33056		111198	50	200	
33057	33057		111198	50	200	
33058	33058		111198	50	200	
33059	33059			50	200	
33060	33060			50	200	
33061	33061			0	0	1
33062	33062		111198	50	200	
33063	33063		111198	50	200	
33064	33064		111198	50	200	
33065	33065		111198	50	200	
33066	33066			0	0	1
33067	33067			0	0	1
33068	33068			0	0	1
33069	33069			0	0	1
33070	33070		111198	50	200	
33071	33071		111198	50	200	
33072	33072			0	0	1
33073	33073			0	0	1
33074	33074		111198	50	200	
33075	33075		111198	50	200	
33076	33076		111198	50	200	
33077	33077			50	200	
33078	33078		111198	50	200	
33079	33079		111198	50	200	
33080	33080		111198	50	200	
33081	33081		111198	50	200	
33082	33082			50	200	
33083	33083			50	200	
33084	33084		111197	50	200	
33085	33085		111197	50	200	
33086	33086			50	100	1
33087	33087			50	100	1
33088	33088			0	0	1
33089	33089			0	0	1
33090	33090			0	0	
33091	33091			0	0	
33092	33092			0	0	
33093	33093			0	0	
33094	33094			0	0	
33095	33095			0	0	
33096	33096			0	0	
33097	33097			0	0	
33098	33098			0	0	
33099	33099			0	0	
33100	33100			0	0	
33101	33101			0	0	
33102	33102			0	0	
33103	33103			0	0	
33104	33104			0	0	
33105	33105			0	0	
33106	33106			0	0	
33107	33107			0	0	
33108	33108			0	0	
33109	33109			0	0	
33110	33110			0	0	
33111	33111			0	0	
33112	33112			0	0	
33113	33113			0	0	
33114	33114			0	0	
33115	33115			0	0	
33116	33116			0	0	
33117	33117			0	0	
33118	33118			0	0	
33119	33119			0	0	
33120	33120			0	0	
33121	33121			0	0	
33122	33122			0	0	
33123	33123			0	0	
33124	33124			0	0	
33125	33125			0	0	
33126	33126			0	0	
33127	33127			0	0	
33128	33128			0	0	
33129	33129			0	0	
33130	33130			0	0	
33131	33131			0	0	
33132	33132			0	0	
33133	33133			0	0	
33134	33134			0	0	
33135	33135			0	0	
33136	33136			0	0	
33137	33137			0	0	
33138	33138			0	0	
33139	33139			0	0	
33140	33140			0	0	
33141	33141			0	0	
33142	33142			0	0	
33143	33143			0	0	
33144	33144			0	0	
33145	33145			0	0	
33146	33146			0	0	
33147	33147			0	0	
33148	33148			0	0	
33149	33149			0	0	
33150	33150			0	0	
33151	33151			0	0	
33152	33152			0	0	
33153	33153			0	0	
33154	33154			0	0	
33155	33155			0	0	
33156	33156			0	0	
33157	33157			0	0	
33158	33158			0	0	
33159	33159			0	0	
33160	33160			0	0	
33161	33161			0	0	
33162	33162			0	0	1
33163	33163			0	0	1
33164	33164			100	100	
33165	33165			100	100	
33166	33166			100	100	
33167	33167			100	100	
33168	33168			100	100	
33169	33169			100	100	
33170	33170			100	100	
33171	33171			0	0	
33172	33172			50	100	1
33173	33173			50	100	1
33174	33174			50	100	1
33175	33175			50	100	1
33176	33176			50	100	1
33177	33177			50	100	1
33178	33178			50	100	1
